"Experiment","ID","Description_QuickGO","GeneRatio","BgRatio","p.adjust","qvalue","geneID","log2FoldChange"
"Acute","GO:0042147","retrograde transport, endosome to Golgi",0.022,0.0037,0.0993,0.0548,"evm.utg1345.2/evm.utg1420.4","0.7832/1.1316"
"Acute","GO:0050882","voluntary musculoskeletal movement",0.011,5e-04,0.0993,0.0548,"evm.utg2108.27","0.6256"
"Acute","GO:0004143","ATP-dependent diacylglycerol kinase activity",0.0081,3e-04,0.0996,0.0631,"evm.utg12476.1","-0.6665"
"Acute","GO:0003884","D-amino-acid oxidase activity",0.0081,3e-04,0.0997,0.0632,"evm.utg1972.20","0.4941"
"Acute","GO:0008061","chitin binding",0.0163,0.0025,0.0997,0.0632,"evm.utg888.2/evm.utg3522.54","-1.0281/-1.1404"
"Acute","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor",0.0081,3e-04,0.0997,0.0632,"evm.utg1555.33","0.4959"
"Primed","GO:0009755","hormone-mediated signaling pathway",0.5,0.0015,0.0058,NA,"evm.utg3013.18","2.704"
"Primed","GO:0016500","protein-hormone receptor activity",0.2,8e-04,0.0078,NA,"evm.utg3013.18","2.704"
"Primed","GO:0000209","protein polyubiquitination",0.5,0.0053,0.0106,NA,"evm.utg92.58","0.4632"
"Primed","GO:0030414","peptidase inhibitor activity",0.2,0.0031,0.0153,NA,"evm.utg3872.21","1.4517"
