ID,Description,Description_QuickGO,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GO
GO:0010114,epigenetic regulation of gene expression ,response to red light,0.010989011,3.46E-05,0.003152935,0.032475227,0.017921944,evm.utg788.82,1,biological_processes
GO:0010759,myoblast migration involved in skeletal muscle regeneration ,positive regulation of macrophage chemotaxis,0.010989011,6.93E-05,0.006296037,0.043232789,0.023858667,evm.utg1663.12,1,biological_processes
GO:0010940,autophagosome assembly ,obsolete positive regulation of necrotic cell death,0.010989011,0.000138591,0.012552867,0.061568825,0.033977686,evm.utg47.12,1,biological_processes
GO:0015229,L-ascorbic acid transmembrane transporter activity ,L-ascorbic acid transmembrane transporter activity,0.016260163,0.000434518,0.001282663,0.037624784,0.023853033,evm.utg170.23/evm.utg170.24,2,molecular_functions
GO:0015293,symporter activity ,symporter activity,0.024390244,0.004576924,0.01908779,0.077697712,0.049258119,evm.utg27.125/evm.utg27.127/evm.utg1925.10,3,molecular_functions
GO:0016684,heme binding ,"oxidoreductase activity, acting on peroxide as acceptor",0.008130081,0.000318647,0.038508182,0.099668235,0.063186799,evm.utg1555.33,1,molecular_functions
GO:0016830,carbon-carbon lyase activity ,carbon-carbon lyase activity,0.008130081,0.000231743,0.028154261,0.088484819,0.056096835,evm.utg3753.61,1,molecular_functions
GO:0017147,Wnt-protein binding ,Wnt-protein binding,0.016260163,0.00176704,0.020095111,0.077697712,0.049258119,evm.utg801.104/evm.utg4709.1,2,molecular_functions
GO:0018126,positive regulation of translational termination ,protein hydroxylation,0.010989011,0.000173238,0.015666655,0.062064057,0.034250987,evm.utg788.82,1,biological_processes
GO:0019148,D-cysteine desulfhydrase activity ,D-cysteine desulfhydrase activity,0.008130081,0.000173807,0.021190285,0.077697712,0.049258119,evm.utg1683.40,1,molecular_functions
GO:0021517,cell division ,ventral spinal cord development,0.010989011,0.000277181,0.02494987,0.077873837,0.042975853,evm.utg97204.12,1,biological_processes
GO:0021978,apoptotic process involved in development ,telencephalon regionalization,0.010989011,3.46E-05,0.003152935,0.032475227,0.017921944,evm.utg777.43,1,biological_processes
GO:0030246,carbohydrate binding ,carbohydrate binding,0.032520325,0.006314997,0.007826014,0.077697712,0.049258119,evm.utg203.93/evm.utg203.94/evm.utg684.2/evm.utg1575.19,4,molecular_functions
GO:0030878,camera-type eye development ,thyroid gland development,0.010989011,0.000138591,0.012552867,0.061568825,0.033977686,evm.utg777.43,1,biological_processes
GO:0031433,actin filament binding ,telethonin binding,0.008130081,0.000115871,0.014176816,0.077697712,0.049258119,evm.utg729.116,1,molecular_functions
GO:0032093,ATP binding ,SAM domain binding,0.008130081,8.69E-05,0.010651412,0.077697712,0.049258119,evm.utg12476.1,1,molecular_functions
GO:0032474,cilium assembly ,otolith morphogenesis,0.010989011,0.000242533,0.021865127,0.075070268,0.041428661,evm.utg1931.94,1,biological_processes
GO:0032526,response to retinoic acid ,response to retinoic acid,0.010989011,0.000381124,0.034146488,0.092554956,0.05107785,evm.utg97204.12,1,biological_processes
GO:0032956,regulation of actin cytoskeleton organization ,regulation of actin cytoskeleton organization,0.021978022,0.000415772,0.000635714,0.016369626,0.009033825,evm.utg801.104/evm.utg4709.1,2,biological_processes
GO:0033387,putrescine biosynthetic process from ornithine ,"putrescine biosynthetic process from arginine, via ornithine",0.010989011,0.000173238,0.015666655,0.062064057,0.034250987,evm.utg3753.61,1,biological_processes
GO:0035567,canonical Wnt signaling pathway ,non-canonical Wnt signaling pathway,0.021978022,0.000796896,0.002382543,0.032475227,0.017921944,evm.utg801.104/evm.utg4709.1,2,biological_processes
