"geneID","proteinID","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"utg2338.equina_smart_890756.mrna2","A0A6P8H0Z5",57.8927159724981,5.71481583926879,0.696606871415606,4.10082412231913e-17,1.12046817494126e-12
"evm.utg5414.35","A0A6P8H0Z5",41.3839454565177,4.69670844683935,0.784642218816718,3.43863858168814e-11,4.3680646093534e-07
"evm.utg1140.9","A0A6P8H0R6",19120.0956142168,-1.27929818721184,0.207213231765162,4.79603038760758e-11,4.3680646093534e-07
"evm.utg1925.59","A0A6P8IVD5",636.649713247138,-1.49751345483186,0.28349467725642,3.01232594378764e-09,2.05764454405274e-05
"evm.utg7149.21","A0A6P8IUL1",60.2120156627339,-3.02777122188166,0.956599349351002,2.43200024615512e-08,0.00011074923787616
"evm.utg3790.21","A0A6P8I5H0",17546.7162566776,-1.43741446179411,0.290091943187362,2.11904161114127e-08,0.00011074923787616
"evm.utg16690.14","A0A913WYE0",46.977564827132,1.83850843430279,0.481569627053891,1.34636601242527e-07,0.000459834481968694
"evm.utg203.148","A0A1D7XF02",286.04975407414,1.50731109806142,0.338655201533536,1.29121318130069e-07,0.000459834481968694
"evm.utg868.112","A0A6P8I4D9",38.2666274513602,-1.84895183106884,0.516339161412643,2.24733940368092e-07,0.000619363548892801
"evm.utg27.73","A0A6P8I334",1406.36035182457,1.59629571188328,0.385157120305194,2.2668211722461e-07,0.000619363548892801
"evm.utg4082.39","A0A6P8HD73",17.9276895467163,2.72154973595002,1.20665941472972,3.51177513322018e-07,0.000860070121589841
"evm.utg55.33","A0A6P8HC30",876.042144463156,1.3680059564283,0.315879125748861,3.77734562788789e-07,0.000860070121589841
"evm.utg788.56","A0A6P8IWV2",909.305144644274,-1.37232283598456,0.322152345373201,4.65432800739169e-07,0.000978232339584332
"evm.utg888.2","A0A6P8I8R1",526.746392789697,-1.02808759783981,0.229803247538601,8.40144322617863e-07,0.00163966166620628
"evm.utg26219.16","A0A6P8I117",829.478344513914,1.52064753346253,0.418358593482223,1.13489383996057e-06,0.00200406153548946
"evm.utg5074.9","A0A913YAD9",504.369061808218,1.01203329454143,0.230714244001853,1.17355285173046e-06,0.00200406153548946
"evm.utg1345.50","A0A6P8HC40",739.789757151566,-1.39352042555331,0.380300423541754,1.86590673199982e-06,0.00299895115520183
"evm.utg26517.1","A0A6P8J7F4",301.727982069017,1.52996557772784,0.486433274576607,2.41206127078205e-06,0.00366137500564322
"evm.utg5996.10","A0A6P8J7F4",327.431114201467,1.48274236669732,0.494979623315538,3.61104536256206e-06,0.00506799842941299
"evm.utg479.104","A0A6P8HDS0",156.126989042207,0.972587236516274,0.243171184566109,3.70969397900157e-06,0.00506799842941299
"evm.utg150.65","A0A6P8IQ84",25.1896083982872,1.57928515695734,0.7357853596839,4.89371164725881e-06,0.00636718492085964
"evm.utg5074.11","A0A6P8I0R9",488.709641697239,-1.0221267739072,0.27274921380816,5.58731177939932e-06,0.00693918726129672
"evm.utg736.13","A0A6P8H9S7",54.1121495520046,-1.52153603306789,0.722489239232938,6.35825749053974e-06,0.00723861122558406
"evm.utg788.54","A0A6P8H2V8",395.04422213376,-1.30839489623544,0.417474413277117,6.20185792246341e-06,0.00723861122558406
"utg4155.evm.utg4695.64.mrna2","A0A6P8IQX8",308.543554547769,-1.43884524540782,0.567380488210678,7.0138554922338e-06,0.00750209839205173
"evm.utg3790.36","A0A6P8IL23",61.5101170559983,-1.31236553826817,0.446097513440101,7.8444797349147e-06,0.00750209839205173
"evm.utg788.55","A0A6P8IUB5",254.517774541534,-1.28354187249826,0.424421159180019,7.89102542399565e-06,0.00750209839205173
"evm.utg5074.12","A0A6P8HCY0",595.664966275392,-0.966658349851079,0.267370471814511,8.2199628028806e-06,0.00750209839205173
"evm.utg1919.69","A0A6P8I6K0",152.369664898072,0.889202976237466,0.240020719625514,8.23712446515946e-06,0.00750209839205173
"evm.utg686.60","A0A6P8IL53",356.656254145337,-0.77982878376181,0.201331684373681,7.13992453687819e-06,0.00750209839205173
"evm.utg8792.40","A0A6P8HJ94",5354.77166668274,1.24050611499618,0.408799326177708,9.1125711341802e-06,0.0080317026161034
"evm.utg344.68","A0A6P8I4J0",37.9172018258915,1.2442929320763,0.426764261289859,1.0468599782474e-05,0.00893854849551679
"evm.utg3174.51","A0A6P8HNZ8",142.254266906914,1.17624392944542,0.393838333744969,1.21157010588854e-05,0.0100314333343008
"evm.utg418.5","A0A6P8I4E6",208.852282431268,-0.739692496427072,0.211579376531936,1.50198351280176e-05,0.012070204564789
"evm.utg3470.19","A0A6P8I8T2",533.991721232703,0.847050006842116,0.250518896554136,1.55788036995067e-05,0.0121617043851892
"evm.utg194.25","A0A6P8IEI8",445.985028429212,0.895551282472858,0.27086672385553,1.60534903795427e-05,0.0121841532677846
"evm.utg3522.54","A0A6P8J3G8",1044.46226936683,-1.1404074055985,0.403755474992905,1.67553191695781e-05,0.0123731239370373
"evm.utg3019.11","A0A6P8IHN5",5671.45617331842,-1.12178473362395,0.40959864846799,1.9748996209736e-05,0.0136780053176331
"utg1272.equina_smart_16100.mrna1","NA",58.6515429152472,1.07197614643995,0.376072349932042,2.00241632582558e-05,0.0136780053176331
"evm.utg777.43","A0A6P8H4Z0",2246.40328840047,-0.90962649904899,0.288326789749351,1.96412677889533e-05,0.0136780053176331
"evm.utg203.119","A0A7M5XBH0",46.2344665078354,-1.07888737299716,0.40745962158032,2.51708315566274e-05,0.016774210502969
"evm.utg788.53","A0A6P8HBR5",906.191536675159,-0.912412330993284,0.308847989240865,2.60180354430799e-05,0.0169259710097922
"evm.utg5885.87","A0A6P8H1M9",52.8050469845381,-1.09996075507753,0.452486536198201,2.99530400081224e-05,0.0190327188870216
"evm.utg4155.2","A0A6P8H1X3",128.990034311382,-1.14241076640783,0.638435535902932,3.96984383548233e-05,0.0212682437484086
"evm.utg1420.4","A0A6S7IFQ3",21.303881925706,1.13161067159281,0.581283825393683,3.95011766311538e-05,0.0212682437484086
"evm.utg2487.55","A7SCB3",45.1594181290616,1.12888239185703,0.768345935910275,3.83706837371757e-05,0.0212682437484086
"evm.utg540.62","A0A6P8H6B2",73.6964451265363,1.11574072387357,0.808421953910774,3.75481294101407e-05,0.0212682437484086
"evm.utg27.125","A0A6P8J467",9526.69647768498,1.0930153193623,0.486462955658389,3.6774849060891e-05,0.0212682437484086
"evm.utg1525.20","A0A6P8IVP7",184.539157267069,1.0181285550659,0.418905361540503,3.87728988744588e-05,0.0212682437484086
"evm.utg389.107","A0A6P8IAM4",562.240190994635,0.779993741883474,0.274210958521116,3.81887839075866e-05,0.0212682437484086
"evm.utg7.74","A0A6P8I873",409.57980930835,-0.690020875147808,1.43612412296071,3.52633475169665e-05,0.0212682437484086
"evm.utg3470.16","A0A6P8I8T2",1533.66968601253,0.807923483734721,0.292072281152216,4.08021569563202e-05,0.0214391795099526
"evm.utg1005.68","A0A6P8I1K4",1957.80962350612,0.974821861102972,0.401374132335075,4.39048708617018e-05,0.0224839001625747
"evm.utg1049.13","A0A6P8IMV9",2212.93599031272,-0.888028974833069,0.342896255662293,4.44362115719004e-05,0.0224839001625747
"evm.utg788.82","A0A6P8IU16",57.8904758317618,-1.10341137430643,0.620109632014844,4.76620848619445e-05,0.0228468621874195
"evm.utg1575.18","A0A6P8I5Y6",1390.26243458672,1.02689877309646,0.462884978382002,4.72630798972191e-05,0.0228468621874195
"evm.utg370.56","A0A6P8I1X6",195.044405125881,-1.01307880867736,0.44784118229703,4.72296210628535e-05,0.0228468621874195
"evm.utg324.183","A0A6P8IUU4",278.851867982453,0.951390776981883,0.402436445859116,5.03792687288431e-05,0.0237329786116927
"evm.utg1683.40","A0A6P8GX01",22856.6849392625,0.97122191038083,0.424960256763947,5.21510282085303e-05,0.0241512295549436
"evm.utg992.42","A0A6P8I334",676.518623861263,0.979978648170109,0.443088086493378,5.50443454052828e-05,0.025066277491809
"evm.utg5074.13","A0A6P8I0R9",1626.91867617505,-0.803635525863613,0.322654593711621,5.92961280436937e-05,0.026131421073191
"evm.utg5074.17","A0A6P8HDW7",1118.2008033288,-0.710422285731808,1.03058680482818,5.90737765735763e-05,0.026131421073191
"evm.utg3019.49","A0A6P8H1X3",638.31194920982,-0.806930687206381,0.326322030198182,6.0356908290971e-05,0.0261766953211778
"evm.utg7066.24","NA",2416.81179544818,-1.00193185689783,0.497007111966241,6.20444002655069e-05,0.0264881116946007
"evm.utg181.10","NA",6879.5737943621,1.00186191672135,0.502256886668803,6.32010377569358e-05,0.0265667993020424
"evm.utg280.44","A0A6P8IIM2",1503.38176559372,0.659520993469974,0.259950702956236,6.63862027414622e-05,0.0274828820834087
"evm.utg203.93","A0A6P8IDG2",923.108424241478,0.904047507175878,0.408171012333778,6.75978739581553e-05,0.0275668165695325
"evm.utg23901.3","A0A7M5X6D2",66.84646752982,1.01675393183643,0.636692246540107,7.28879179973443e-05,0.0285904074573656
"utg77.equina_smart_1078796.mrna1","NA",124.450022918024,0.905058678501837,0.42159136954161,7.28285145963192e-05,0.0285904074573656
"evm.utg170.24","A0A6P8I3D5",567.168406241171,0.890387620131287,0.409412447107283,7.32470271205794e-05,0.0285904074573656
"evm.utg4922.1","A0A6P8HZF8",50.0968598669011,1.00338845875012,0.620131675219277,7.74575497866496e-05,0.0293940643447309
"evm.utg3409.15","A0A6P8IK88",283.724727097726,-0.991373524313561,0.559298035975012,7.70776070369472e-05,0.0293940643447309
"evm.utg3722.21","A0A6P8H9W0",253.974413164182,-0.871481359684006,0.405650771256782,7.90967823602289e-05,0.0296049504716237
"evm.utg1239.25","A0A6P8I9L1",113.983560090894,0.989822904696453,0.630466425175618,8.27500258525581e-05,0.0301463860849259
"evm.utg293.6","A0A6P8I6R9",47.4735461095766,0.943900117340597,0.493216319971,8.23623513389704e-05,0.0301463860849259
"evm.utg6432.13.14","A0A6P8I4Q3",20366.6158353116,0.877305800655201,0.423169168719767,8.49519606156015e-05,0.0305413476302642
"evm.utg6459.35","A0A6P8H7G6",151.839961450559,0.976218534187644,0.622101880912009,8.81393693881699e-05,0.0312757401271814
"evm.utg6875.9","A0A6P8ISZ2",39.4768576663027,0.950706762550181,0.673441412742057,9.67247995274509e-05,0.0318411047890185
"evm.utg78.74","A0A6P8J4C4",410.329554721771,0.948713998339874,0.569549400311217,9.64858121754187e-05,0.0318411047890185
"evm.utg1648.11.10","A0A6P8J5J4",352.499191873836,0.854787543452769,0.422042575748699,9.48677172114235e-05,0.0318411047890185
"evm.utg420.20","A0A6P8I2U1",2869.59186231609,0.852634950917346,0.415360341278274,9.24343503888641e-05,0.0318411047890185
"evm.utg170.23","A0A6P8I3D5",440.506258012019,0.851036980510889,0.418718725761691,9.49733191223e-05,0.0318411047890185
"evm.utg15586.1","A0A6P8HDS9",27.5288943016823,-0.740609682820186,0.878035138900491,9.35278807290495e-05,0.0318411047890185
"evm.utg4607.34","A0A6P8HFP2",509.582224789457,0.646793748739233,0.287082431430002,9.93715002813537e-05,0.0319426764963227
"evm.utg8792.67","A0A6P8I750",430.804688305412,0.463538378769214,0.971292404026149,9.88713497396432e-05,0.0319426764963227
"evm.utg234.38","A0A6P8HVN2",846.115320983109,0.830443282258973,0.42817151255745,0.000110997925905998,0.0352650735991812
"evm.utg1127.40","A0A6P8HJU3",1594.86937759523,-0.805595435707748,0.409356587957096,0.000113832885008816,0.0357500680125964
"evm.utg567.16","A0A6P8H1G5",208.681263681797,0.905611745890221,0.592276356846732,0.000121283272335114,0.0365514691771274
