"ID","Description","ontology","semantic_cluster_id","semantic_cluster_GO","semantic_cluster_Description","cluster_size","mean_similarity_to_cluster","n_hits","best_p_adjust","sources"
"GO:0048511","rhythmic process","BP","BP_26","GO:0050896","response to stimulus",2,0.705882352941176,1,0.0454111065291808,"Primed Experiment_ORA"
"GO:0050896","response to stimulus","BP","BP_26","GO:0050896","response to stimulus",2,0.705882352941176,1,0.0454111065291808,"Primed Experiment_ORA"
"GO:0051715","cytolysis in another organism","BP","BP_27","GO:0051715","cytolysis in another organism",1,1,1,0.0353330656720758,"Primed Experiment_ORA"
"GO:0060271","cilium assembly","BP","BP_28","GO:0060271","cilium assembly",1,1,2,0.00664794007490643,"Acute_GSEA;Primed Experiment_ORA"
"GO:0070202","regulation of establishment of protein localization to chromosome","BP","BP_29","GO:0070202","regulation of establishment of protein localization to chromosome",1,1,1,0.0284544244784047,"Primed Experiment_ORA"
"GO:0001732","formation of cytoplasmic translation initiation complex","BP","BP_3","GO:0001732","formation of cytoplasmic translation initiation complex",1,1,1,0.0448198344071432,"Primed Experiment_ORA"
"GO:0070507","regulation of microtubule cytoskeleton organization","BP","BP_30","GO:0070507","regulation of microtubule cytoskeleton organization",1,1,2,0.0435268750726157,"Acute Experiment_ORA"
"GO:2000036","regulation of stem cell population maintenance","BP","BP_31","GO:2000036","regulation of stem cell population maintenance",1,1,1,0.0400652494209068,"Acute Experiment_ORA"
"GO:0001822","kidney development","BP","BP_4","GO:0001822","kidney development",2,0.774944169954757,1,0.0435268750726157,"Acute Experiment_ORA"
"GO:0007399","nervous system development","BP","BP_4","GO:0001822","kidney development",2,0.774944169954757,1,0.0809922230708489,"Primed Experiment_ORA"
"GO:0006508","proteolysis","BP","BP_5","GO:0006508","proteolysis",3,0.629328943199752,3,0.00261517888890912,"Acute_GSEA;Primed_GSEA"
"GO:0005975","carbohydrate metabolic process","BP","BP_5","GO:0006508","proteolysis",3,0.625119628442948,2,0.0438329249955345,"Primed Experiment_ORA"
"GO:0046416","D-amino acid metabolic process","BP","BP_5","GO:0006508","proteolysis",3,0.604026913947936,2,0.0408858139147683,"Acute Experiment_ORA;Primed Experiment_ORA"
"GO:0006325","chromatin organization","BP","BP_6","GO:0030261","chromosome condensation",2,0.77729439755601,1,0.0926387538913578,"Acute Experiment_ORA"
"GO:0030261","chromosome condensation","BP","BP_6","GO:0030261","chromosome condensation",2,0.77729439755601,1,0.0400652494209068,"Acute Experiment_ORA"
"GO:0045944","positive regulation of transcription by RNA polymerase II","BP","BP_7","GO:0045944","positive regulation of transcription by RNA polymerase II",3,0.754930068226593,1,0.0787788980006949,"Primed Experiment_ORA"
"GO:0045892","negative regulation of DNA-templated transcription","BP","BP_7","GO:0045944","positive regulation of transcription by RNA polymerase II",3,0.728638701869188,1,0.0748009197910827,"Primed Experiment_ORA"
"GO:0006366","transcription by RNA polymerase II","BP","BP_7","GO:0045944","positive regulation of transcription by RNA polymerase II",3,0.720654583807491,1,0.0454111065291808,"Primed Experiment_ORA"
"GO:0006468","protein phosphorylation","BP","BP_8","GO:0006468","protein phosphorylation",4,0.703374850063978,2,0.0249837778791863,"Acute_GSEA;Primed_GSEA"
"GO:0006470","protein dephosphorylation","BP","BP_8","GO:0006468","protein phosphorylation",4,0.703374850063978,1,0.139015225587209,"Acute Experiment_ORA"
"GO:0016567","protein ubiquitination","BP","BP_8","GO:0006468","protein phosphorylation",4,0.64162730393185,2,0.0439999997341412,"Acute Experiment_ORA;Acute_GSEA"
"GO:0016573","histone acetylation","BP","BP_8","GO:0006468","protein phosphorylation",4,0.585425173071308,1,0.0454111065291808,"Primed Experiment_ORA"
"GO:0006635","fatty acid beta-oxidation","BP","BP_9","GO:0006635","fatty acid beta-oxidation",2,0.742963013239012,1,0.0435268750726157,"Acute Experiment_ORA"
"GO:0034440","lipid oxidation","BP","BP_9","GO:0006635","fatty acid beta-oxidation",2,0.742963013239012,1,0.0454111065291808,"Primed Experiment_ORA"
"GO:0000166","nucleotide binding","MF","MF_1","GO:0000166","nucleotide binding",5,0.697829679860166,1,0.158006821693927,"Primed Experiment_ORA"
"GO:0070403","NAD+ binding","MF","MF_1","GO:0000166","nucleotide binding",5,0.676500078801786,3,0.00774346958549662,"Acute Experiment_ORA;Primed Experiment_ORA"
"GO:0043531","ADP binding","MF","MF_1","GO:0000166","nucleotide binding",5,0.675150071736791,2,0.000693426933090639,"Primed Experiment_ORA"
"GO:0071949","FAD binding","MF","MF_1","GO:0000166","nucleotide binding",5,0.671803089356653,2,0.0993784532573009,"Acute Experiment_ORA;Primed Experiment_ORA"
"GO:0005524","ATP binding","MF","MF_1","GO:0000166","nucleotide binding",5,0.668475810051244,4,0.00463920452395089,"Acute_GSEA;Primed_GSEA"
"GO:0003964","RNA-directed DNA polymerase activity","MF","MF_10","GO:0003964","RNA-directed DNA polymerase activity",2,0.834574652908918,9,0.00774346958549662,"Acute_GSEA;Primed Experiment_ORA;Primed_GSEA"
"GO:0016779","nucleotidyltransferase activity","MF","MF_10","GO:0003964","RNA-directed DNA polymerase activity",2,0.834574652908918,1,0.0993784532573009,"Acute Experiment_ORA"
"GO:0004721","phosphoprotein phosphatase activity","MF","MF_11","GO:0004721","phosphoprotein phosphatase activity",3,0.83773674242409,1,0.0120106885689539,"Acute Experiment_ORA"
"GO:0004725","protein tyrosine phosphatase activity","MF","MF_11","GO:0004721","phosphoprotein phosphatase activity",3,0.809602608572543,1,0.159719753472142,"Acute Experiment_ORA"
"GO:0004035","alkaline phosphatase activity","MF","MF_11","GO:0004721","phosphoprotein phosphatase activity",3,0.727463992889562,1,0.00901535356149274,"Acute Experiment_ORA"
"GO:0004100","chitin synthase activity","MF","MF_12","GO:0004100","chitin synthase activity",1,1,1,0.0665860842812354,"Primed Experiment_ORA"
"GO:0004197","cysteine-type endopeptidase activity","MF","MF_13","GO:0004197","cysteine-type endopeptidase activity",3,0.768509265961093,1,0.0993784532573009,"Acute Experiment_ORA"
"GO:0008234","cysteine-type peptidase activity","MF","MF_13","GO:0004197","cysteine-type endopeptidase activity",3,0.754222534454821,1,0.232257109015841,"Primed Experiment_ORA"
"GO:0004252","serine-type endopeptidase activity","MF","MF_13","GO:0004197","cysteine-type endopeptidase activity",3,0.679112524927811,1,0.315972838838286,"Primed Experiment_ORA"
"GO:0004300","enoyl-CoA hydratase activity","MF","MF_14","GO:0004300","enoyl-CoA hydratase activity",1,1,1,0.0080128946247721,"Acute Experiment_ORA"
"GO:0004402","histone acetyltransferase activity","MF","MF_15","GO:0004402","histone acetyltransferase activity",1,1,1,0.0539871072072001,"Primed Experiment_ORA"
"GO:0004540","RNA nuclease activity","MF","MF_16","GO:0004540","RNA nuclease activity",1,1,2,0.0108525160876044,"Acute Experiment_ORA"
"GO:0004563","beta-N-acetylhexosaminidase activity","MF","MF_17","GO:0102148","N-acetyl-beta-D-galactosaminidase activity",2,0.774999587499244,1,0.00581030520768433,"Primed Experiment_ORA"
