"ID","Description","Description_QuickGO","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GO","log2FoldChange","Representative_GO"
"GO:0004715","ATP binding ","non-membrane spanning protein tyrosine kinase activity",0.016260163,0.001622201,0.017106531,0.077697712,0.049258119,"evm.utg73.95/evm.utg1239.25",2,"molecular_functions","-0.545700608884195/0.989822904696453","non-membrane spanning protein tyrosine kinase activity"
"GO:0004805","alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity ","trehalose-phosphatase activity",0.008130081,0.000115871,0.014176816,0.077697712,0.049258119,"evm.utg280.44",1,"molecular_functions","0.659520993469974","cholinesterase activity"
"GO:0004838","L-tyrosine:2-oxoglutarate aminotransferase activity ","L-tyrosine:2-oxoglutarate transaminase activity",0.008130081,8.69e-05,0.010651412,0.077697712,0.049258119,"evm.utg26697.9",1,"molecular_functions","0.878409487233776","L-tyrosine:2-oxoglutarate transaminase activity"
"GO:0004869","cysteine-type endopeptidase inhibitor activity ","cysteine-type endopeptidase inhibitor activity",0.008130081,0.000260711,0.031617797,0.092745538,0.058798008,"evm.utg868.112",1,"molecular_functions","-1.84895183106884","peptidase inhibitor activity"
"GO:0005160","cytokine activity ","transforming growth factor beta receptor binding",0.008130081,5.79e-05,0.007113505,0.077697712,0.049258119,"evm.utg3722.21",1,"molecular_functions","-0.871481359684006","growth factor activity"
"GO:0005313","calcium ion binding ","L-glutamate transmembrane transporter activity",0.016260163,0.000231743,0.000347677,0.030595612,0.01939674,"evm.utg27.73/evm.utg992.42",2,"molecular_functions","1.59629571188328/0.979978648170109","L-glutamate transmembrane transporter activity"
"GO:0005991","trehalose metabolic process ","trehalose metabolic process",0.010989011,0.000346476,0.031090521,0.086549289,0.047763532,"evm.utg280.44",1,"biological_processes","0.659520993469974","trehalose biosynthetic process"
"GO:0005992","trehalose biosynthetic process ","trehalose biosynthetic process",0.010989011,0.000242533,0.021865127,0.075070268,0.041428661,"evm.utg280.44",1,"biological_processes","0.659520993469974","trehalose biosynthetic process"
"GO:0006091","bioluminescence ","generation of precursor metabolites and energy",0.010989011,6.93e-05,0.006296037,0.043232789,0.023858667,"evm.utg1581.4",1,"biological_processes","-0.656307927578067","malate-aspartate shuttle"
"GO:0006396","RNA processing ","RNA processing",0.021978022,0.003291525,0.036328497,0.095771776,0.0528531,"evm.utg1463.13/evm.utg7289.25",2,"biological_processes","0.506701647219889/0.497792339966594","nucleoside metabolic process"
"GO:0006559","L-phenylalanine catabolic process ","L-phenylalanine catabolic process",0.010989011,0.000173238,0.015666655,0.062064057,0.034250987,"evm.utg26697.9",1,"biological_processes","0.878409487233776","L-phenylalanine catabolic process"
"GO:0006572","L-phenylalanine catabolic process ","L-tyrosine catabolic process",0.010989011,0.000450419,0.040229853,0.096364532,0.053180222,"evm.utg26697.9",1,"biological_processes","0.878409487233776","L-phenylalanine catabolic process"
"GO:0006596","polyamine biosynthetic process ","polyamine biosynthetic process",0.021978022,0.000485067,0.000872923,0.017982207,0.009923752,"evm.utg78.54/evm.utg3753.61",2,"biological_processes","0.834422051487675/0.678083869810475","polyamine biosynthetic process"
