"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"evm.TU.utg2099.78",116.702846059359,19.7064987570202,3.06999336684742,6.41906883898475,1.37110402394494e-10,4.01239881567249e-06
"evm.TU.utg178.50",79.5104976852577,2.11846041439249,0.4101641616127,5.16490862113121,2.40556413266331e-07,0.00351982143891295
"evm.TU.utg3013.18",24.5348746768615,3.36185266685179,0.663986476181892,5.06313424662409,4.12419216821208e-07,0.00402301198701861
"evm.TU.utg715.41",122.420021998123,1.85332506691962,0.397381105467025,4.66384798225745,3.10350681213818e-06,0.0227052558376029
"evm.TU.utg107.37",173.16033082398,1.36867224444694,0.300161337928899,4.55978859199762,5.12051434117743e-06,0.0271134803510248
"evm.TU.utg3872.21",81.7131062488143,2.6731044667513,0.588465382843091,4.54250079050794,5.55907880351793e-06,0.0271134803510248
"evm.TU.utg1205.143.145",390.301021520381,1.70642880188693,0.387333711532691,4.40557780301265,1.05502275190046e-05,0.0396395449581
"evm.TU.utg82.23",547.971290180672,1.69149313381214,0.384450058460532,4.39977338171165,1.08363982936304e-05,0.0396395449581
"evm.TU.utg1432.30",27.9129211849943,1.89365376668185,0.439935044491097,4.30439400178354,1.67443437533385e-05,0.0544451639552997
"evm.TU.utg1051.74",163.239354301034,2.21234969235356,0.517367367017487,4.27616783236114,1.90137904123212e-05,0.0556419562626168
"evm.TU.utg92.58",35.5564495715471,2.10241092488052,0.511023430277437,4.11411845390164,3.88661830059108e-05,0.0974132636480385
"evm.TU.utg4567.7",42.1564850718026,2.8984130125253,0.705588381487267,4.10779583192103,3.99452967392176e-05,0.0974132636480385
"evm.TU.utg522.42",323.888829813844,0.715897687671294,0.175426400381717,4.08090051505101,4.48615547502744e-05,0.100986810631695
"evm.TU.utg3174.51",154.515606096658,1.97218181569608,0.487135454620735,4.04852859094714,5.15406387895163e-05,0.107734660966886
"evm.TU.utg567.16",121.699220883158,1.76750723579103,0.439754954844053,4.01930033151719,5.8371225442738e-05,0.113878369423752
"evm.TU.utg2017.16",86.776697336526,2.03441180730454,0.513636523899774,3.96080051289639,7.46989192232241e-05,0.1213342037865
"evm.TU.utg441.11",1552.01449943927,1.45886143246139,0.369117574967767,3.95229469252117,7.74053326906484e-05,0.1213342037865
"evm.TU.utg14287.34.35",207.471233384485,0.837973111618357,0.212763940222441,3.93851096544965,8.19888477781097e-05,0.1213342037865
"evm.TU.utg2246.21",18.0425082711331,3.29171619643345,0.837088638875973,3.93233887495296,8.4123363659634e-05,0.1213342037865
"evm.TU.utg1432.28",33.9993912724739,2.54113951568478,0.647516616600703,3.92443908084569,8.69320536238637e-05,0.1213342037865
"utg379.equina_smart_919633.path2",84.2424172110094,1.71129447106207,0.436402772461991,3.92136480116224,8.80488457447766e-05,0.1213342037865
"evm.TU.utg1205.130",44.6271987872545,2.18178672910714,0.557596442912756,3.9128419071506,9.12162548969042e-05,0.1213342037865
"evm.TU.utg4886.44",103.323067953817,2.00945501038984,0.515716564467778,3.89643294173342,9.76198200792506e-05,0.122017494019866
"evm.TU.utg62.99",103.998773990508,1.81881413540515,0.467659226573057,3.88918689519541,0.000100580640429565,0.122017494019866
"evm.TU.utg2024.16",689.111653415558,0.698706690448925,0.180055474898829,3.88050788703604,0.000104238564464757,0.122017494019866
"evm.TU.utg420.82",168.896017260994,1.17859493334121,0.306053325504713,3.85094633883684,0.000117662280381268,0.132433422041439
