"gene_id","paired_baseMean","paired_log2FoldChange","paired_lfcSE","paired_pvalue","paired_padj","paired_significant","unpaired_baseMean","unpaired_log2FoldChange","unpaired_lfcSE","unpaired_pvalue","unpaired_padj","unpaired_significant","DEG_category","same_LFC_direction"
"evm.TU.utg7.74",409.57980930835,-0.690020875147808,1.43612412296071,3.52633475169665e-05,0.0212682437484086,TRUE,409.57980930835,-3.54260344326234,2.63675522132079,2.68841086070302e-06,0.0132066116513764,TRUE,"Shared DEG",TRUE
"evm.TU.utg55.33",876.042144463156,1.3680059564283,0.315879125748861,3.77734562788789e-07,0.000860070121589841,TRUE,876.042144463156,1.01133517598656,0.579478135125824,3.61052673900043e-05,0.0666496684952702,TRUE,"Shared DEG",TRUE
"evm.TU.utg150.65",25.1896083982872,1.57928515695734,0.7357853596839,4.89371164725881e-06,0.00636718492085964,TRUE,25.1896083982872,1.74293156720205,0.71574513504123,2.94414909425588e-06,0.0132066116513764,TRUE,"Shared DEG",TRUE
"evm.TU.utg194.25",445.985028429212,0.895551282472858,0.27086672385553,1.60534903795427e-05,0.0121841532677846,TRUE,445.985028429212,0.920317259156661,0.225408552811865,1.92366652919433e-06,0.0120806258033404,TRUE,"Shared DEG",TRUE
"evm.TU.utg203.119",46.2344665078354,-1.07888737299716,0.40745962158032,2.51708315566274e-05,0.016774210502969,TRUE,46.2344665078354,-0.952834892936444,0.525402456430974,3.82068163348683e-05,0.0666496684952702,TRUE,"Shared DEG",TRUE
"evm.TU.utg389.107",562.240190994635,0.779993741883474,0.274210958521116,3.81887839075866e-05,0.0212682437484086,TRUE,562.240190994635,0.787472083046417,0.334230000665812,2.45898711317769e-05,0.0482576220961121,TRUE,"Shared DEG",TRUE
"evm.TU.utg512.20",2777.68879069342,0.237299341319166,0.650806750649505,0.000390858266436165,0.0643338579146706,TRUE,2777.68879069342,5.74319844071973,1.25304439281786,2.76354664943081e-08,0.00062036124428259,TRUE,"Shared DEG",TRUE
"evm.TU.utg512.60",156.609611699875,0.572453596793155,0.53329755012313,0.000541798913662781,0.0821838215032374,TRUE,156.609611699875,0.750824849916458,0.605971356101244,0.000104449822943751,0.0993855891040537,TRUE,"Shared DEG",TRUE
"evm.TU.utg686.60",356.656254145337,-0.77982878376181,0.201331684373681,7.13992453687819e-06,0.00750209839205173,TRUE,356.656254145337,-0.752436272473343,0.224069680690926,6.85523436547939e-06,0.0215254359076053,TRUE,"Shared DEG",TRUE
"evm.TU.utg736.13",54.1121495520046,-1.52153603306789,0.722489239232938,6.35825749053974e-06,0.00723861122558406,TRUE,54.1121495520046,-1.3144940565084,1.22230632281579,1.78233853119926e-05,0.0399753070568978,TRUE,"Shared DEG",TRUE
"evm.TU.utg777.43",2246.40328840047,-0.90962649904899,0.288326789749351,1.96412677889533e-05,0.0136780053176331,TRUE,2246.40328840047,-0.793606457468848,0.478294536843874,5.98008064437659e-05,0.0782393884305937,TRUE,"Shared DEG",TRUE
"evm.TU.utg788.54",395.04422213376,-1.30839489623544,0.417474413277117,6.20185792246341e-06,0.00723861122558406,TRUE,395.04422213376,-1.00845450025604,0.646199749341863,4.22398684145131e-05,0.0667851470024847,TRUE,"Shared DEG",TRUE
"evm.TU.utg788.55",254.517774541534,-1.28354187249826,0.424421159180019,7.89102542399565e-06,0.00750209839205173,TRUE,254.517774541534,-0.812580233371991,0.675283143834571,8.99958138445368e-05,0.0911570501522082,TRUE,"Shared DEG",TRUE
"evm.TU.utg788.56",909.305144644274,-1.37232283598456,0.322152345373201,4.65432800739169e-07,0.000978232339584332,TRUE,909.305144644274,-1.18338385895974,0.493383272643724,1.2931013474221e-05,0.0338361519242115,TRUE,"Shared DEG",TRUE
"evm.TU.utg868.112",38.2666274513602,-1.84895183106884,0.516339161412643,2.24733940368092e-07,0.000619363548892801,TRUE,38.2666274513602,-1.68650899841753,1.05725983741036,6.81355032030347e-06,0.0215254359076053,TRUE,"Shared DEG",TRUE
"evm.TU.utg1239.25",113.983560090894,0.989822904696453,0.630466425175618,8.27500258525581e-05,0.0301463860849259,TRUE,113.983560090894,0.819855883925515,0.795411944093566,8.48922551142798e-05,0.0904788276920127,TRUE,"Shared DEG",TRUE
"utg1272.equina_smart_16100.path1",58.6515429152472,1.07197614643995,0.376072349932042,2.00241632582558e-05,0.0136780053176331,TRUE,58.6515429152472,0.879629422707737,0.512678282715666,4.87095697604336e-05,0.0728324043084578,TRUE,"Shared DEG",TRUE
"evm.TU.utg1420.4",21.303881925706,1.13161067159281,0.581283825393683,3.95011766311538e-05,0.0212682437484086,TRUE,21.303881925706,1.38613011337145,0.572256584087936,7.71768814078931e-06,0.0220304916018895,TRUE,"Shared DEG",TRUE
"utg2338.equina_smart_890756.path2",57.8927159724981,5.71481583926879,0.696606871415606,4.10082412231913e-17,1.12046817494126e-12,TRUE,57.8927159724981,3.03438524060376,3.09775475736855,4.20946072508496e-06,0.0165221333459585,TRUE,"Shared DEG",TRUE
"evm.TU.utg2801.36",62.6524658552764,-0.751550541966359,0.721296039459208,0.000192670179770319,0.0478575211078584,TRUE,62.6524658552764,-0.83757029393209,0.87768573320805,7.17520412555247e-05,0.0855863146816121,TRUE,"Shared DEG",TRUE
"evm.TU.utg3409.15",283.724727097726,-0.991373524313561,0.559298035975012,7.70776070369472e-05,0.0293940643447309,TRUE,283.724727097726,-0.835456400700713,0.771703307347221,8.26123939570891e-05,0.0904788276920127,TRUE,"Shared DEG",TRUE
"evm.TU.utg4155.2",128.990034311382,-1.14241076640783,0.638435535902932,3.96984383548233e-05,0.0212682437484086,TRUE,128.990034311382,-0.863517380544124,0.867732779918724,6.78819198539906e-05,0.0852596913366122,TRUE,"Shared DEG",TRUE
"utg4155.evm.utg4695.64.path2",308.543554547769,-1.43884524540782,0.567380488210678,7.0138554922338e-06,0.00750209839205173,TRUE,308.543554547769,-0.571515470734019,1.00945709920761,9.92762927958383e-05,0.0974148623059164,TRUE,"Shared DEG",TRUE
"evm.TU.utg4695.64",307.476638397532,-0.320002078837406,0.658107954805138,0.000450244632737067,0.0715234540713656,TRUE,307.476638397532,-1.47507928848283,1.67361149900224,1.53716581665132e-05,0.0371284666483473,TRUE,"Shared DEG",TRUE
