"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","model","significant","direction"
"evm.TU.utg4.1",49.575694359928,-0.0216815720373551,0.134200456188212,0.104194932839697,0.816437668476925,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.3",12.1527163693347,0.0036790822404042,0.0777636353633182,0.633401444642975,NA,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.4",130.438386736269,0.0102809480409008,0.0794963414173923,0.196515856538019,0.910897431848908,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.5",1132.07207241495,-0.00524387294072322,0.0522082108239119,0.314550167802227,0.959461722478369,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.6",15.1800103791928,-0.0364592661909231,0.173443466608557,0.0504237361591512,NA,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.7",286.485075729028,-0.00476837879233546,0.048192987142415,0.320308399958099,0.960728484386034,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.8",31.9142742287528,-0.00560435314226448,0.0585070601670142,0.343943186799771,0.967565413000226,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.9",1034.32740223178,0.000205377558910117,0.0421552268114496,0.964871184936683,0.998683342004946,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.10",9.27565268129568,-0.00381612864343315,0.0818276389098586,0.628859617911866,NA,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.11",240.391131380867,-0.00312375226364004,0.0323233970986122,0.33276414292392,0.96508363776187,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.12",5.01510047349326,0.0301503799075372,0.180660192158271,0.0525465961743768,NA,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.13",396.278240698048,0.00967092591659451,0.0726464936874696,0.181691129636254,0.896415083974605,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.14",493.02990950032,-0.000272304137976045,0.0200474983417835,0.902546863475886,0.998212313473018,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.15",314.02680677731,0.00182681223823996,0.0241555848081631,0.471239094593133,0.987392977182077,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.16",524.958850544869,0.0123252404416796,0.0708790306648441,0.0878265588025026,0.778360384742387,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.17",133.619827235395,-0.000903590469519477,0.0260356449839478,0.746300365217674,0.997907053518423,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.18",1070.11503922488,-0.00109937570438909,0.0217524786705634,0.640137923088081,0.997907053518423,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.19",1806.04475338795,-0.000498205783851273,0.0234383265537862,0.844899586315104,0.997907053518423,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"tRNAscan-SE.tRNA.utg4.Ser(GGA).1",14.0327514273518,0.00182847308397566,0.0571212571957574,0.766723574841142,NA,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.20",212.579625506155,-0.00162584081046298,0.0293783578208882,0.597193962845125,0.993778726061932,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"utg4.equina_smart_817336.path2",66.5604805066316,0.00217019933469029,0.0350931242802974,0.552263413233987,0.993623602323309,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.21",1.56702087787794,0.00278322612615811,0.111440577789249,0.642037626964598,NA,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.22",0.526153700727066,0.00137252690786291,0.116797125552637,0.756102137201986,NA,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.23",70.4079402520083,-0.0143716364833228,0.0904642269886157,0.119148716368405,0.837516519592786,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.24",65.7103987320258,0.00397376240411803,0.0484139942871105,0.422103577104372,0.983527164558428,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.25",1.22808605980188,0.0030237739944225,0.109320522154074,0.637852224509436,NA,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.26",60.8706256971385,0.00385454754848804,0.0495328312474901,0.45037684668581,0.984127557973931,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.27",2027.88016124739,-0.00305856202908467,0.0281445745577135,0.286393013263905,0.950926011038677,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"tRNAscan-SE.tRNA.utg4.Pseudo(GTT).1",0.591124140355594,0.000961601317457115,0.115308303002916,0.837688333715781,NA,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.31",1113.31969693031,-0.000341903984989332,0.0220293451561968,0.887187337513694,0.998102311351632,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.28",1.00377013395711,-0.000938098473486591,0.112668564728303,0.859251092288225,NA,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.29",0.654505718358756,-0.00248267328102468,0.116891397773562,0.602418579845843,NA,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.30",1.66696656871498,-0.00491093635750119,0.109463146869881,0.49085073386904,NA,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.32",105.383421007349,-0.00915363909634702,0.0722967671538677,0.204398485910165,0.915387613591776,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.33",0.886341668132864,-0.000836600586567261,0.11303283329172,0.872130143145006,NA,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
"evm.TU.utg4.34",757.503219467844,-0.00116435554179249,0.0243414433651754,0.65331951328835,0.997907053518423,"Paired clone design: ~ Clone + Group",FALSE,"Not significant"
