"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","model","significant","direction"
"evm.TU.utg4.37",1170.17791668587,0.000246371308694881,0.0110069196582998,0.696141681407306,0.989524958827978,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.38",58.7821361529915,-0.000201965907411442,0.0151870080748554,0.81491180741994,0.992251839807026,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.39",319.502530073939,0.001358544481022,0.0187466648502061,0.166355778031678,0.864686546961545,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.40",405.124988956455,-0.00108390231372827,0.014606395336315,0.183931004313877,0.878125822632774,"No-clone design: ~ Group",FALSE,"Not significant"
"tRNAscan-SE.tRNA.utg4.SeC(TCA).1",0.996605501550886,0.00404294723608266,0.0845461493038484,0.222930531904946,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.41",4.88380645377301,0.00137451782344668,0.0466395416146241,0.598713419325605,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.42",52.856334266317,-0.000107744007005426,0.0179710880553183,0.917714762346826,0.996322228657529,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.43",579.679359016921,0.000295072591231291,0.016603390345937,0.753622522805491,0.991251360824174,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.44",432.254468664828,0.000225592024848485,0.0106415098187306,0.713985150617114,0.989828726300393,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.45",64003.1191074411,-1.12511977893884e-05,0.00958776739527969,0.984359676360912,0.998658637770577,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.46",244.706947128705,0.00030761894883194,0.0114213263959483,0.634798208685187,0.985156305394721,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.47",163235.809020428,1.70897736449194e-05,0.00944091380297681,0.976030977754675,0.998333757016384,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.48",1137.96318396236,-0.000375491463848078,0.0146903427363598,0.644195190711815,0.986478458986765,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.49",4387.07180654847,-0.000218493513198115,0.00916898142504762,0.700102631625558,0.989828726300393,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.50",832.091381941927,-0.000131601861904877,0.0106493721490461,0.831196447801201,0.99259120748997,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.51",199.929421489235,0.000805164184113095,0.0144628780510681,0.29988252133051,0.94200792014586,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.52",226.582819450434,8.76024505388353e-06,0.0129148013300976,0.990530065567265,0.999458890878105,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.53",4271.22552898259,0.000133373525094565,0.00993937117233938,0.820411298210014,0.992539415052642,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.54",264.388484108347,8.48063125115822e-05,0.0106519582003197,0.890897854359637,0.995285798995474,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.55",3.26700786521812,0.0134283728091093,0.128046367282984,0.047646132176517,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.56",2.62291990270895,0.00232840878466131,0.0606742442522788,0.447709640925573,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"tRNAscan-SE.tRNA.utg4.SeC(TCA).2",0.767339889097244,0.00125688108721403,0.0709438112973523,0.635067569451366,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.57",3.45662251557071,0.0033650638635983,0.0602678999291222,0.295075545792421,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.59",2.68253978333637,-0.000664377060824833,0.0521493430644399,0.809428241006,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.61",59.3417979546072,-0.000881523558062367,0.0202270371142937,0.40940376573639,0.969209545271415,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.62",56.0400336594023,-0.0544785394396915,0.221272118463204,0.00736901807941723,0.405120040138887,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.63",1191.08388600483,0.0031920282825917,0.0404289115507622,0.134652378908401,0.839292866437654,"No-clone design: ~ Group",FALSE,"Not significant"
"tRNAscan-SE.tRNA.utg4.Pseudo(AGA).4",1.05415466028484,-0.00037572218452379,0.0708916570953713,0.880363242191609,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"tRNAscan-SE.tRNA.utg4.Ser(AGA).2",6.82081565682911,-3.55980948286222e-05,0.0312984200727817,0.984882564399859,0.998658637770577,"No-clone design: ~ Group",FALSE,"Not significant"
"tRNAscan-SE.tRNA.utg4.Pseudo(AGA).5",0.73952529126785,0.00202345570368665,0.0744641290539012,0.463406768487833,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.64",0.472203317191637,-0.000192261064123898,0.0792036652148346,0.926911080338744,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.65",0.19119438304148,0.00084300435068621,0.0816136840009354,0.685732233871719,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.66",3783.28569184441,2.52955154927916e-05,0.0103146425636465,0.966563672168251,0.997490914478893,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.67",131.594992234539,-0.000163912423041983,0.014059837759727,0.837331456216751,0.992626910602559,"No-clone design: ~ Group",FALSE,"Not significant"
"utg4.equina_smart_1391783.path1",2.84789134275921,0.000681842792677634,0.0581472981490218,0.808527805021799,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.68",4.08796589505928,-0.00238666715802167,0.0636223805324129,0.440506941835129,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.69",11.8062888343781,-0.00286069498535118,0.0500046160463143,0.295592551037651,0.938408633379832,"No-clone design: ~ Group",FALSE,"Not significant"
"utg4.equina_smart_49562.path1",52.6793953333751,0.00089462206868958,0.0220874542329,0.451174397982788,0.972365831607811,"No-clone design: ~ Group",FALSE,"Not significant"
"tRNAscan-SE.tRNA.utg4.Cys(ACA).2",2.12345535297868,0.00161679520064504,0.0609221834250548,0.581651722039334,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"tRNAscan-SE.tRNA.utg4.Cys(ACA).3",1.82583662293876,0.0273000292401173,0.235951246725838,0.00814339342457054,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.70",38.8312374422627,-0.000781426951630043,0.0216177683160631,0.507714927100978,0.97661410873381,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.71",79.5887789346835,-1.29946419524048e-05,0.0177690297816288,0.989959650176327,0.999458890878105,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.72",11.8590562830816,0.00198944775525237,0.0412874526352608,0.385194332881457,0.963951505878777,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.73",3.37871392075496,0.00936876185236405,0.107621569061844,0.0794394239647983,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.74",782.489922007298,0.000477497770049869,0.0212540362304025,0.694189365016652,0.989524958827978,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.76",0.213093328231833,-0.000500908064475568,0.0805696257162522,0.808109420701452,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.77",5.07911341295492,-0.00222678945098368,0.0651837571209483,0.464991223944179,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.78",3.8045771571321,0.000212358710368737,0.0453662691786342,0.933868505815701,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.79",231.165228155946,-6.72544821106677e-05,0.023537532925404,0.96168751999804,0.997490914478893,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.80",0.264949440844607,8.60568021306978e-05,0.0785713376200787,0.967658026703468,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.81",11.0570341772395,0.00137240123354736,0.0388809030594488,0.536470195849477,0.978433357640623,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.83",268.199801977212,0.00384319757722561,0.0531859965013378,0.183234110563903,0.877645038922191,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.82",18.3423533856097,0.000863947470394914,0.0272390839970908,0.576656308808872,0.983345486491426,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.84",20.6164600691457,-0.000835434753580137,0.0258727667146606,0.567084453684334,0.982421885276523,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.85",212.429252144185,0.000456061543331791,0.0155809050285149,0.593459233689401,0.984558773047805,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.86",1.55647056329423,-0.00284694945874978,0.0693013076541263,0.371590156446221,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.87",4.91621375431843,0.00171742594898211,0.04348481624421,0.483112822039717,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg4.88",56.6235574999635,-0.0283155823065712,0.136808355598466,0.0118811547709995,0.454961292450467,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.1",3.61565540262437,-0.000473806721067223,0.0426158642871129,0.846765920696133,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.3",2.14673078094298,0.00195673441943696,0.0611658390570534,0.514063641777413,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.4",19.9864051862845,-0.000749715165365015,0.0258812575800157,0.611738531841098,0.984558773047805,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.5",0.721969910259672,-0.000133202056759539,0.0741029272671393,0.954582295280861,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.6",14.6111512111885,-0.00030940693856963,0.0273464913809555,0.849399747451679,0.995003633905458,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.9",410.267994149249,0.000268269322059302,0.0137876093273182,0.728643968384648,0.989828726300393,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.10",0.220029636695854,0.00113286591463543,0.0828920932175966,0.591102769061568,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.11",0.599772278570666,0.00224237421598878,0.08400100692414,0.369395135198196,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.12",9.41810690568417,-0.00138096533119358,0.0398072392189068,0.543507721189225,0.979799198836931,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.16",1.93391901509981,0.000985345609110743,0.0608835999482614,0.728087663979046,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.17",63.6840043854827,0.00820851988969465,0.0845249068746858,0.087431142682888,0.774425354088204,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.26",0.198481947522892,-0.000500908064475568,0.0805696257162522,0.808109420701452,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.28",15.9555706692807,-0.000274909641040873,0.0297174256656547,0.877125321121388,0.995003633905458,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.29",69.9527370554379,-0.000316895806532795,0.0215955480778386,0.801272073795115,0.992251839807026,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.36",0.118109631284308,0.000783647325221445,0.0813994067655177,0.706190734982353,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.37",26.67665525762,0.0210986343600889,0.136263785630109,0.0249916238294553,0.563964777370084,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.38",10.2105422200836,0.010609237881459,0.105413773134292,0.0700396861220591,0.73389381469006,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.39",0.700312737617503,0.000206852747687623,0.0743400362989616,0.929289444360788,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.40",443.424397779915,0.00262509861270993,0.0330816910451926,0.12592022167871,0.830404299834227,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.41",56.036432605468,0.00102090285096333,0.0254708230999731,0.463274047269284,0.97365710554381,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.46",4.62236610243083,-0.00127289825093124,0.0547116056625722,0.654201128816754,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.47",1209.05194437192,0.000552887762401472,0.0128688625481555,0.433605828970884,0.970769401843143,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.48",762.607721953699,3.34129407582908e-05,0.0124753125888802,0.962633587684477,0.997490914478893,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.50",0.357073852098006,-0.000397621437317403,0.0802018500735967,0.847370885806605,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.52",27.3932235628358,-0.239388343739613,0.591323620925624,0.000608141475469157,0.170393226019107,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.53",344.68733173311,-0.000427191053086739,0.0181074316925359,0.67429204579641,0.989185876406507,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.54",1697.7770510929,0.000118397026110926,0.0113823537706798,0.856098024238341,0.995003633905458,"No-clone design: ~ Group",FALSE,"Not significant"
"utg5.evm.utg2716.12.path6",217.8510410105,0.000431558894500796,0.0125840928055724,0.535210782997001,0.978352350502684,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.55",634.325795958175,0.000374457814770177,0.010993676163314,0.552391275086584,0.981613689890193,"No-clone design: ~ Group",FALSE,"Not significant"
"tRNAscan-SE.tRNA.utg5.Pseudo(AGA).1",0.38439453084385,0.00140412129410912,0.08438658663255,0.511535910485124,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.56",87.1210613325764,-0.000203182705858318,0.0155974031773076,0.818961213630745,0.992539415052642,"No-clone design: ~ Group",FALSE,"Not significant"
"utg5.equina_smart_1391812.path1",373.619777023142,-0.000206002065272856,0.0101323254455249,0.72931625112443,0.989828726300393,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.57",88830.1930848033,1.53202441918618e-05,0.00944288441184638,0.978514554806165,0.998333757016384,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.59",0.311482127331413,0.00134594063563209,0.0840453544448719,0.527813632729921,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.60",1.04494955405095,0.00426982778404923,0.104322465771561,0.140262636693867,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.61",1.46693485343907,0.00410073094452727,0.107259692369863,0.13485457022108,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.62",1.16592024088364,0.00474218439752324,0.10892162133183,0.117167346467894,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.65",5209.76560668964,-7.99610611014196e-05,0.00882459021673193,0.885025660566826,0.995003633905458,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.66",191.492340003774,0.00348109653584012,0.0448579792813137,0.146008741128236,0.851062645521925,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.70",0.126898032127541,-0.000500908064475568,0.0805696257162522,0.808109420701452,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.71",154.330286471716,0.000528609121768212,0.0223252809462077,0.678969368457304,0.989185876406507,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.72",24.1330835614247,0.0253944737712361,0.151482976123267,0.0200000077208248,0.530853966554438,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg5.73",0.276542344295604,-0.00089739659110736,0.0817793770294887,0.667603964030636,NA,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg7.3",91.5207131043825,-0.00165562235132353,0.0279514473053551,0.25171665907053,0.917492089778771,"No-clone design: ~ Group",FALSE,"Not significant"
"evm.TU.utg7.4",205.105279892389,0.00100689845813975,0.0176865844861882,0.272037344520276,0.927879841094533,"No-clone design: ~ Group",FALSE,"Not significant"
