"analysis_design","genes_tested","total_DEGs","positive_LFC_DEGs","negative_LFC_DEGs","shared_DEGs_between_designs","unique_DEGs_to_design","coefficient_direction","padj_threshold"
"Paired clone design: ~ Clone + Group",44628,211,125,86,28,183,"Group_X_vs_A",0.1
"No-clone design: ~ Group",44628,33,15,18,28,5,"Group_X_vs_A",0.1
