"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","GO","contrast"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen ",17,-0.716944084921788,-1.89123650173165,0.000903049764403992,0.0478616375134116,0.0430352902079606,8810,"tags=76%, list=21%, signal=60%","evm.utg97204.7/evm.utg625.108/evm.utg7652.38/evm.utg3878.12/evm.utg194.23/evm.utg234.61/evm.utg14.77/evm.utg6183.29/evm.utg7652.39/evm.utg77.61/evm.utg77.64/evm.utg6183.30/evm.utg910.169","biological_processes","salinity_only"
"GO:0090729","toxin activity ",406,-0.473802146996953,-2.09257080650516,1e-10,4.26e-08,3.69473684210526e-08,6961,"tags=29%, list=17%, signal=24%","evm.utg18036.9/utg144.equina_smart_1400019.mrna1/evm.utg467.24/evm.utg6373.9/evm.utg4455.2/evm.utg590.7/utg2156.equina_smart_1400709.mrna2/evm.utg9285.28/evm.utg115.11/evm.utg190.77/evm.utg2083.47/utg1846.equina_smart_916736.mrna1/evm.utg1031.51/evm.utg376.34/evm.utg1910.12/evm.utg3210.28/utg2667.equina_smart_398419.mrna2/evm.utg699.90/evm.utg52.22/utg2156.equina_smart_1442310.mrna1/evm.utg72.17/utg144.equina_smart_1238220.mrna1/evm.utg1970.8/utg415.equina_smart_445360.mrna1/evm.utg579.59/evm.utg126.83/utg245.equina_smart_826176.mrna1/evm.utg470.62/evm.utg125.190/evm.utg415.28/evm.utg7048.5/evm.utg7977.4/evm.utg1781.40/utg2156.equina_smart_428150.mrna1/evm.utg435.3/evm.utg34958.1/evm.utg150.55/evm.utg6781.19/evm.utg1302.15/evm.utg2379.5/utg9284.equina_smart_1466336.mrna1/utg2156.equina_smart_1726560.mrna2/evm.utg7048.7/utg1846.equina_smart_1438253.mrna1/evm.utg579.114/evm.utg11123.1/evm.utg104.55/evm.utg2994.23/utg19074.equina_smart_1473917.mrna1/evm.utg4177.22/evm.utg1629.3/evm.utg2099.30/evm.utg1629.2/utg144.equina_smart_1389976.mrna1/evm.utg3550.6/evm.utg2932.7/evm.utg23510.8/evm.utg279.40/evm.utg104.57/evm.utg924.26/utg55.equina_smart_1394036.mrna1/evm.utg1919.9/evm.utg1205.15/utg2156.equina_smart_270287.mrna1/evm.utg910.42/evm.utg234.34/evm.utg262.71/evm.utg2858.31/utg9284.equina_smart_1466335.mrna1/evm.utg276.4/utg415.equina_smart_1806938.mrna1/evm.utg14703.3/utg6781.equina_smart_1461350.mrna1/utg6781.equina_smart_1389976.mrna2/evm.utg2757.78/utg52.equina_smart_1128767.mrna1/evm.utg101.176/evm.utg1629.15/evm.utg2115.17/evm.utg338.4/evm.utg1828.28/evm.utg1629.18/evm.utg1031.52/utg4062.equina_smart_1466336.mrna2/evm.utg1272.125/evm.utg1629.17/evm.utg4605.4/evm.utg3550.12/evm.utg104.53/evm.utg2932.9/evm.utg910.22/evm.utg579.116/evm.utg1272.27/evm.utg1694.43/evm.utg2247.30/evm.utg735.57/evm.utg1900.52/utg2156.equina_smart_934493.mrna1/evm.utg27988.8/evm.utg1278.52/evm.utg7066.3/evm.utg418.58/evm.utg2757.6/evm.utg1623.26/evm.utg4177.21/evm.utg347.11/evm.utg5652.14/evm.utg3899.24/evm.utg1278.50/evm.utg567.16/evm.utg924.28/evm.utg2007.2/evm.utg3790.30/evm.utg104.54/evm.utg4796.27/evm.utg4177.23/evm.utg7066.5","molecular_functions","salinity_only"
"GO:0030414","peptidase inhibitor activity ",82,-0.68174338342294,-2.4455621123243,3.31150201643863e-08,7.05349929501429e-06,6.11756425142084e-06,4536,"tags=44%, list=11%, signal=39%","utg544.equina_smart_1559235utrorf.mrna1/evm.utg24357.20/evm.utg54553.6/evm.utg1800.5/evm.utg1609.6/evm.utg1819.3/utg1609.evm.utg3137.1.mrna2/evm.utg104.64/evm.utg37512.1/evm.utg580.26/evm.utg379.46/evm.utg32458.10/evm.utg8.10/evm.utg544.14/evm.utg8615.4/evm.utg334.78/evm.utg1609.5/evm.utg5073.2/evm.utg413.26/evm.utg580.6/evm.utg2858.29/evm.utg2108.7/evm.utg21078.2/evm.utg9740.7/utg334.equina_smart_1340223.mrna2/utg19074.equina_smart_1694011.mrna2/evm.utg10358.5/evm.utg413.23/evm.utg19074.8/evm.utg544.16/evm.utg544.11/evm.utg55.212/evm.utg20736.15/evm.utg14703.2/evm.utg104.63/evm.utg52.99","molecular_functions","salinity_only"
"GO:0005201","extracellular matrix structural constituent ",140,-0.500878200400064,-1.97017948099665,1.35721856040019e-06,0.000192725035576827,0.000167152180596655,5358,"tags=26%, list=13%, signal=23%","evm.utg3443.47/evm.utg3443.19/evm.utg18537.3/evm.utg3799.16/evm.utg378.56/evm.utg540.18/evm.utg540.17/evm.utg714.2/evm.utg1623.40/evm.utg130819.1/evm.utg378.57/evm.utg1052.34/evm.utg37453.7/evm.utg4907.54/evm.utg1497.2/evm.utg3799.14/utg154100.equina_smart_991908.mrna2/evm.utg5885.76/evm.utg616.97/evm.utg1052.36/evm.utg1056.71/evm.utg9740.7/evm.utg5421.1/evm.utg356.156/evm.utg1497.1/evm.utg145.64/evm.utg816.13/evm.utg714.23/evm.utg544.16/evm.utg616.15/evm.utg4468.37/evm.utg1056.72/evm.utg544.11/evm.utg4826.1/evm.utg55.212/evm.utg207.13","molecular_functions","salinity_only"
"GO:0003735","structural constituent of ribosome ",242,-0.465492301659313,-1.95041977092283,3.60658452006416e-06,0.000384101251386834,0.00033313451751119,13017,"tags=60%, list=31%, signal=42%","evm.utg420.100/evm.utg15585.12/evm.utg577.29/evm.utg3790.42/evm.utg479.145/evm.utg56.53/evm.utg1507.3/evm.utg1396.4/evm.utg2814.18/evm.utg415.116/evm.utg4.45/evm.utg798.61/evm.utg498.93/evm.utg910.151/evm.utg577.105/evm.utg1910.32/evm.utg1226.13/evm.utg544.4/evm.utg2757.28/evm.utg126.157/evm.utg77.183/evm.utg791.9/evm.utg1931.13/evm.utg334.75/evm.utg411.52/evm.utg236.39/evm.utg536.17/evm.utg4327.2/evm.utg9313.24/evm.utg77.8/evm.utg868.49/evm.utg715.49/evm.utg590.13/evm.utg1109.26/evm.utg2007.14/evm.utg4886.30/evm.utg699.4/evm.utg343339.2/evm.utg1866.29/evm.utg729.46/evm.utg7217.40/evm.utg597.212/evm.utg301.138/evm.utg798.17/evm.utg1588.14/evm.utg77.113/evm.utg2108.11/evm.utg4610.29/evm.utg2757.29/evm.utg4194.6/evm.utg378.108/evm.utg236.43/evm.utg129.21/evm.utg1925.24/evm.utg532.13/evm.utg496.27/evm.utg1648.24/evm.utg92.66/evm.utg3799.21/evm.utg1931.75/evm.utg6949.10/evm.utg73.14/evm.utg3553.8/evm.utg2017.4/evm.utg207.63/evm.utg1109.3/evm.utg320.85/evm.utg7145.43/evm.utg6078.32/evm.utg344.47/evm.utg1372.18/evm.utg107.57/evm.utg498.48/evm.utg18553.14/evm.utg498.143/evm.utg150.93/evm.utg150.50/evm.utg498.129/evm.utg890.45/evm.utg579.70/evm.utg10358.1/evm.utg483.56/evm.utg3092.46/evm.utg8494.117/evm.utg479.58/evm.utg1800.6/evm.utg505.41/evm.utg379.48/evm.utg234.64/evm.utg1517.5/evm.utg4464.12/evm.utg590.14/evm.utg219.71/evm.utg3677.28/evm.utg18294.33/evm.utg207.20/evm.utg535.38/evm.utg37634.4/evm.utg577.30/evm.utg14287.6/evm.utg7145.61/evm.utg3878.28/evm.utg868.5/evm.utg4716.3/evm.utg2417.10/evm.utg55.88/evm.utg1226.19/evm.utg2129.121/evm.utg1565.85/evm.utg125.18/evm.utg378.133/evm.utg4464.16/evm.utg535.37/utg2581.equina_smart_1098872.mrna2/evm.utg18.9/evm.utg7522.33/evm.utg597.210/evm.utg2108.6/evm.utg378.170/evm.utg5652.50/evm.utg17809.12/evm.utg62.20/evm.utg180.72/evm.utg18409.1/evm.utg62.148/evm.utg693.66/evm.utg17994.10/evm.utg152.56/evm.utg2298.39/evm.utg4187.32/evm.utg55.155/evm.utg1507.31/evm.utg15585.14/evm.utg797.57/evm.utg5176.12/evm.utg243.70/evm.utg2379.2/evm.utg62.88/evm.utg797.58/evm.utg378.169/evm.utg14.81/evm.utg4501.9/evm.utg324.97/evm.utg378.167/evm.utg378.168","molecular_functions","salinity_only"
"GO:0004252","metal ion binding ",293,-0.408270059522732,-1.74319125025721,3.34706219478281e-05,0.00285169698995496,0.00247330280077635,9061,"tags=32%, list=22%, signal=25%","evm.utg145.21/evm.utg14412.1/evm.utg52.25/evm.utg2483.60/evm.utg15164.49/evm.utg11123.2/utg300.equina_smart_321240.mrna1/evm.utg42547.3/evm.utg1302.12/evm.utg12382.25/evm.utg3761.28/evm.utg616.128/evm.utg4856.11/evm.utg18537.7/evm.utg4157.6/evm.utg2779.10/evm.utg1819.5/evm.utg2083.34/evm.utg9313.44/evm.utg699.53/evm.utg1270.11/evm.utg5689.4/evm.utg86.55/evm.utg262.35/evm.utg1372.9/evm.utg2083.28/evm.utg2483.41/evm.utg699.52/evm.utg479.78/evm.utg293.38/evm.utg213.2/evm.utg338.40/evm.utg2155.5/evm.utg625.112/evm.utg52.48/evm.utg5689.12/evm.utg5689.2/evm.utg1404.18/evm.utg868.84/evm.utg78.73/evm.utg376.34/evm.utg8494.84/evm.utg1754.56/evm.utg868.83/evm.utg699.90/evm.utg2704.29/evm.utg868.85/evm.utg858.25/evm.utg600.6/evm.utg125.190/evm.utg192.82/evm.utg5370.2/evm.utg150.55/evm.utg234.133/evm.utg5370.3/evm.utg2246.41/evm.utg300.47/evm.utg234.138/evm.utg1754.57/utg234.evm.utg234.133.mrna2/evm.utg3041.34/evm.utg729.124/evm.utg1285.84/evm.utg1565.90/evm.utg1754.60/evm.utg5033.10/evm.utg729.128/evm.utg2704.30/evm.utg1754.58/evm.utg2716.16/evm.utg300.48/evm.utg616.127/evm.utg2159.33/evm.utg2757.78/evm.utg101.176/evm.utg1629.15/evm.utg2115.17/evm.utg1629.18/evm.utg2716.17/evm.utg594.23/evm.utg4605.4/evm.utg214.48/evm.utg5689.7/evm.utg2716.9/evm.utg666.12/evm.utg116.256/evm.utg666.10/evm.utg616.126/evm.utg1819.6/evm.utg26572.6/evm.utg129.41/utg9150.equina_smart_1164076.mrna1/evm.utg13322.6/evm.utg5689.8","molecular_functions","salinity_only"
"GO:0005044","calcium ion binding ",343,-0.387860067300563,-1.68361160614429,0.000109355344799307,0.00776422948075079,0.00673398702185206,6763,"tags=29%, list=16%, signal=25%","evm.utg5059.8/evm.utg2838.8/evm.utg891.16/evm.utg363.1/evm.utg15232.6/evm.utg9625.1/evm.utg579.54/evm.utg160.23/evm.utg1272.141/evm.utg13.50/evm.utg32914.6/utg2200.equina_smart_1442540.mrna1/utg388.equina_smart_563588.mrna1/evm.utg388.17/evm.utg1285.29/evm.utg2200.2/utg858.evm.utg79231.1.mrna2/evm.utg5059.9/evm.utg24783.3/evm.utg15664.4/evm.utg25070.5/evm.utg858.1/evm.utg5059.3/evm.utg190.80/evm.utg858.72/evm.utg2704.29/evm.utg1970.8/evm.utg5059.6/evm.utg6446.8/evm.utg577.68/evm.utg1270.23/utg2200.equina_smart_14340.mrna2/evm.utg24783.6/evm.utg17602.1/evm.utg1358.31/evm.utg5059.10/evm.utg6446.13/evm.utg8851.75/utg73.equina_smart_1320238.mrna1/evm.utg1765.4/utg388.equina_smart_1411185.mrna1/evm.utg1569.8/utg9625.equina_smart_1466841.mrna1/evm.utg1302.15/evm.utg3790.31/utg388.equina_smart_1411195.mrna1/evm.utg4605.5/evm.utg15664.3/utg2200.equina_smart_1442500.mrna1/evm.utg577.79/evm.utg1475.1/evm.utg108328.3/evm.utg32914.7/evm.utg577.94/evm.utg21429.4/evm.utg5059.1/utg10588.equina_smart_375340.mrna1/evm.utg9625.4/evm.utg6401.64/utg9625.equina_smart_1195528.mrna1/evm.utg13.51/evm.utg9625.2/evm.utg17602.2/evm.utg536.31/evm.utg10588.23/evm.utg5176.8/evm.utg1765.2/utg9625.equina_smart_1466841utrorf.mrna1/evm.utg2994.80/evm.utg388.13/evm.utg7244.5/evm.utg9472.6/evm.utg2123.45/evm.utg572.21/evm.utg2969.38/evm.utg2858.6/evm.utg300.24/evm.utg236.6/evm.utg1455.42/evm.utg8851.76/evm.utg577.97/evm.utg1765.1/evm.utg1052.13/evm.utg19356.9/evm.utg21429.3/evm.utg26093.4/evm.utg116.316/evm.utg2200.4/evm.utg338.89/evm.utg1285.28/evm.utg15506.27/evm.utg26093.3/evm.utg1330.23/evm.utg54.9/evm.utg4796.28/utg236.evm.utg19356.5.mrna2/evm.utg7148.9/evm.utg324.92/evm.utg8851.77/evm.utg18.14","molecular_functions","salinity_only"
"GO:0005525","GTP binding ",190,0.441589502082974,1.90344038927754,0.000329894031916511,0.020076408228062,0.0174124519101798,2275,"tags=7%, list=5%, signal=7%","evm.utg7168.11/evm.utg7168.18/evm.utg1786.18/evm.utg1786.19/evm.utg1786.17/evm.utg4157.38/evm.utg55532.4/evm.utg1551.1/evm.utg6851.14/evm.utg364.46/evm.utg1087.5/evm.utg225.71/evm.utg18.5/evm.utg207.128","molecular_functions","salinity_only"
"GO:0004198","calcium ion binding ",14,0.764729697773126,2.04691772201036,0.000533234727284667,0.0283947492279085,0.0246270249048576,3010,"tags=43%, list=7%, signal=40%","evm.utg2483.62/evm.utg2483.61/evm.utg2083.44/evm.utg55.47/evm.utg1919.1/evm.utg2070.2","molecular_functions","salinity_only"
"GO:0003724","ATP binding ",114,0.505065264896635,2.02220692248667,0.000844957737905359,0.0359951996347683,0.0312189648426085,6877,"tags=38%, list=16%, signal=32%","evm.utg17212.2/evm.utg4901.15/evm.utg48.58/evm.utg48.57/evm.utg1031.83/evm.utg48.56/evm.utg17212.5/evm.utg109.17/evm.utg3174.12/evm.utg1285.85/evm.utg2323.1/evm.utg715.56/evm.utg637.28/evm.utg19612.4/evm.utg2108.52/evm.utg1277.7/evm.utg2967.34/evm.utg564.53/evm.utg413.45/evm.utg431.25/evm.utg26219.2/evm.utg1205.31/evm.utg207.56/evm.utg19612.3/evm.utg26219.3/evm.utg1571.14/evm.utg77.7/evm.utg32107.7/evm.utg637.27/evm.utg1272.60/evm.utg10588.3/evm.utg18.60/evm.utg1290.22/evm.utg45299.4/evm.utg35.18/evm.utg3284.30/evm.utg1022.42.44/evm.utg5454.3/evm.utg207.129/evm.utg4326.50/evm.utg1230.30/evm.utg715.74/evm.utg30804.2","molecular_functions","salinity_only"
