"set_name","value"
"Acute Expression","evm.utg1972.86"
"Acute Expression","evm.utg3753.61"
"Acute Expression","evm.utg73.95"
"Acute Expression","evm.utg1239.25"
"Acute Expression","evm.utg26697.9"
"Acute Expression","evm.utg868.112"
"Acute Expression","evm.utg3722.21"
"Acute Expression","evm.utg27.73"
"Acute Expression","evm.utg992.42"
"Acute Expression","evm.utg1581.4"
"Acute Expression","evm.utg1463.13"
"Acute Expression","evm.utg7289.25"
"Acute Expression","evm.utg78.54"
"Acute Expression","evm.utg4157.34"
"Acute Expression","evm.utg729.116"
"Acute Expression","evm.utg3409.15"
"Acute Expression","evm.utg888.2"
"Acute Expression","evm.utg3522.54"
"Acute Expression","evm.utg55.33"
"Acute Expression","evm.utg1663.12"
"Acute Expression","evm.utg203.148"
"Acute Expression","evm.utg512.20"
"Acute Expression","evm.utg3790.36"
"Acute Expression","evm.utg348.3"
"Acute Expression","evm.utg112.49"
"Acute Expression","evm.utg47.12"
"Acute Expression","evm.utg170.23"
"Acute Expression","evm.utg170.24"
"Acute Expression","evm.utg27.125"
"Acute Expression","evm.utg27.127"
"Acute Expression","evm.utg1925.10"
"Acute Expression","evm.utg1555.33"
"Acute Expression","evm.utg801.104"
"Acute Expression","evm.utg4709.1"
"Acute Expression","evm.utg1683.40"
"Acute Expression","evm.utg203.93"
"Acute Expression","evm.utg203.94"
"Acute Expression","evm.utg684.2"
"Acute Expression","evm.utg1575.19"
"Acute Expression","evm.utg1931.94"
"Acute Expression","evm.utg1345.2"
"Acute Expression","evm.utg1420.4"
"Acute Expression","evm.utg234.132"
"Acute Expression","evm.utg324.183"
"Acute Expression","evm.utg4607.34"
"Acute Expression","utg418.evm.utg6875.9.mrna3"
"Acute Expression","utg10114.evm.utg6875.9.mrna2"
"Acute Expression","utg13368.evm.utg6875.9.mrna5"
"Acute Expression","evm.utg55.197"
"Acute Expression","evm.utg498.104"
"Primed Expression","evm.utg3013.18"
"Primed Expression","evm.utg92.58"
"Primed Expression","evm.utg3872.21"
"Primed Expression","evm.utg4.34"
"Primed Expression","evm.utg659.40"
"Primed Expression","evm.utg12312.2"
"Primed Expression","evm.utg6422.30"
"Primed Expression","evm.utg243.33"
"Primed Expression","evm.utg1588.10"
"Primed Expression","evm.utg498.109"
"Primed Expression","evm.utg3235.16"
"Primed Expression","evm.utg9902.7"
"Primed Expression","evm.utg4271.84.86"
"Primed Expression","evm.utg1230.37"
"Primed Expression","evm.utg1663.62"
"Primed Expression","evm.utg3839.113"
"Primed Expression","evm.utg1272.147"
"Primed Expression","evm.utg2667.15"
"Primed Expression","evm.utg19074.19"
"Primed Expression","evm.utg512.33"
"Primed Expression","evm.utg27.18"
"Primed Expression","evm.utg666.29"
"Primed Expression","evm.utg6422.31"
"Primed Expression","evm.utg8380.7"
"Primed Expression","evm.utg129.53"
