"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","context","GO","region","experiment"
"GO:0000215","tRNA 2-phosphotransferase activity",0.0303030303030303,9.39349344021041e-05,0.333333333333333,322.59595959596,17.9150989863071,0.00309674777534608,0.0206243115517126,0.00995032574863329,"evm.utg24438.18",1,"CHG","Molecular Functions","gene","Primed Experiment"
"GO:0001054","RNA polymerase I activity",0.0303030303030303,0.000156558224003507,0.2,193.557575757576,13.848642779819,0.00515607788792816,0.0206243115517126,0.00995032574863329,"evm.utg159619.2",1,"CHG","Molecular Functions","gene","Primed Experiment"
"GO:0001056","RNA polymerase III activity",0.0303030303030303,0.000156558224003507,0.2,193.557575757576,13.848642779819,0.00515607788792816,0.0206243115517126,0.00995032574863329,"evm.utg159619.2",1,"CHG","Molecular Functions","gene","Primed Experiment"
"GO:0003884","D-amino-acid oxidase activity",0.0303030303030303,0.000438363027209819,0.0714285714285714,69.1277056277056,8.19993846924604,0.0143721274857316,0.0492266008944644,0.0237496758701363,"evm.utg684.27",1,"CHH","Molecular Functions","gene","Primed Experiment"
"GO:0140297","DNA-binding transcription factor binding",0.0303030303030303,0.000500986316811222,0.0625,60.4867424242424,7.6544959160656,0.0164088669648215,0.0492266008944644,0.0237496758701363,"evm.utg320.52",1,"CHH","Molecular Functions","gene","Primed Experiment"
"GO:0004402","histone acetyltransferase activity",0.0303030303030303,0.000657544540814729,0.0476190476190476,46.0851370851371,6.64681322216698,0.0214828763712244,0.0539871072072001,0.0260464113718948,"evm.utg320.52",1,"CHH","Molecular Functions","gene","Primed Experiment"
"GO:0004675","transmembrane receptor protein serine/threonine kinase activity",0.0303030303030303,0.00068885618561543,0.0454545454545455,43.9903581267218,6.48723514795983,0.0224946280030001,0.0539871072072001,0.0260464113718948,"evm.utg483.15",1,"CHH","Molecular Functions","gene","Primed Experiment"
"GO:0003899","DNA-directed 5-3 RNA polymerase activity",0.0303030303030303,0.00128377743682876,0.024390243902439,23.6045824094605,4.65795154993885,0.0415262830914159,0.0795620961135908,0.0383852218091885,"evm.utg1127.12",1,"CHH","Molecular Functions","gene","Primed Experiment"
"GO:0016702","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",0.0303030303030303,0.00128377743682876,0.024390243902439,23.6045824094605,4.65795154993885,0.0415262830914159,0.0795620961135908,0.0383852218091885,"evm.utg1818.18",1,"CHG","Molecular Functions","gene","Primed Experiment"
"GO:0008201","heparin binding",0.0303030303030303,0.00162820552963647,0.0192307692307692,18.6113053613054,4.08765910290461,0.0523798597853238,0.0897940453462693,0.0433216885442528,"evm.utg1828.1",1,"CHG","Molecular Functions","gene","Primed Experiment"
"GO:0003746","translation elongation factor activity",0.0303030303030303,0.00194132197764349,0.0161290322580645,15.6094819159335,3.70322606572202,0.0621432584538223,0.0994292135261157,0.047970234595933,"evm.utg1684.11",1,"CHH","Molecular Functions","gene","Primed Experiment"
"GO:0071949","FAD binding",0.0303030303030303,0.0022544384256505,0.0138888888888889,13.4414983164983,3.39904280161488,0.0718090819031676,0.106797603101691,0.0515251593911667,"evm.utg684.27",1,"CHH","Molecular Functions","gene","Primed Experiment"
