"region_from_list","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","gene_id_labelling","Count","geneID_gene_level","dmr_feature_id","region_feature","context","methDiff","p_fdr","n_unique_genes_for_term","n_dmr_features_for_term","GO","region","experiment","GeneRatio_raw","BgRatio_raw","ontology","semantic_cluster_id","semantic_cluster_GO","semantic_cluster_Description","cluster_size","mean_similarity_to_cluster"
"promoter","GO:0006468","protein phosphorylation",1,0.075,0.111111111111111,13.3333333333333,3.51188458428425,0.0750000000000001,0.0750000000000001,NA,"evm.utg4613.33",1,"evm.utg4613.33","exp1__promoter__evm.utg4613.33__16432","promoter","CHH",2.919708029,0.004596402,1,1,"Biological Processes","promoter","Acute Experiment","1/1","9/120","BP","BP_8","GO:0006468","protein phosphorylation",4,0.703374850063978
"promoter","GO:0035368","selenocysteine insertion sequence binding",0.25,0.00568181818181818,1,44,6.557438524302,0.0227272727272727,0.135194805194805,0.0948735475051261,"evm.utg2661.20",1,"evm.utg2661.20","exp1__promoter__evm.utg2661.20__16322","promoter","CHH",-1.865136298,0.000710982,1,1,"Molecular Functions","promoter","Acute Experiment","1/4","1/176","MF","MF_4","GO:0003676","nucleic acid binding",7,0.601111659998764
"promoter","GO:0003723","RNA binding",0.25,0.0113636363636364,0.5,22,4.54197212959111,0.0450649350649349,0.135194805194805,0.0948735475051261,"evm.utg816.8",1,"evm.utg816.8","exp1__promoter__evm.utg816.8__5099","promoter","CpG",15.06849315,0.010919259,1,1,"Molecular Functions","promoter","Acute Experiment","1/4","2/176","MF","MF_4","GO:0003676","nucleic acid binding",7,0.742036467038077
"promoter","GO:0004674","protein serine/threonine kinase activity",0.25,0.0284090909090909,0.2,8.8,2.69070661365808,0.109784913113596,0.219569826227191,0.154084088580485,"evm.utg4613.33",1,"evm.utg4613.33","exp1__promoter__evm.utg4613.33__16432","promoter","CHH",2.919708029,0.004596402,1,1,"Molecular Functions","promoter","Acute Experiment","1/4","5/176","MF","MF_18","GO:0004674","protein serine/threonine kinase activity",3,0.872260091420654
"promoter","GO:0016787","hydrolase activity",0.25,0.0625,0.0909090909090909,4,1.56264534207743,0.229301802443122,0.343952703664683,0.241370318361181,"evm.utg59087.4",1,"evm.utg59087.4","exp1__promoter__evm.utg59087.4__16494","promoter","CHH",-2.547770701,0.00303771,1,1,"Molecular Functions","promoter","Acute Experiment","1/4","11/176","MF","MF_17","GO:0102148","N-acetyl-beta-D-galactosaminidase activity",3,0.696870669076948
"promoter","GO:0005524","ATP binding",0.25,0.0852272727272727,0.0666666666666667,2.93333333333333,1.19048582017387,0.302002283146393,0.362402739775672,0.254317712123278,"evm.utg4613.33",1,"evm.utg4613.33","exp1__promoter__evm.utg4613.33__16432","promoter","CHH",2.919708029,0.004596402,1,1,"Molecular Functions","promoter","Acute Experiment","1/4","15/176","MF","MF_1","GO:0000166","nucleotide binding",5,0.668475810051244
"promoter","GO:0046872","metal ion binding",0.25,0.130681818181818,0.0434782608695652,1.91304347826087,0.714158250516276,0.431857657988812,0.431857657988812,0.303058005606184,"evm.utg59087.4",1,"evm.utg59087.4","exp1__promoter__evm.utg59087.4__16494","promoter","CHH",-2.547770701,0.00303771,1,1,"Molecular Functions","promoter","Acute Experiment","1/4","23/176","MF","MF_25","GO:0046872","metal ion binding",3,0.844500090415137
"three_prime_UTR","GO:0035368","selenocysteine insertion sequence binding",1,0.0625,1,16,3.87298334620742,0.0625,0.0625,NA,"evm.utg7127.52.1.5c22f377.1.5c279739",1,"evm.utg7127.52.1.5c22f377.1.5c279739","exp1__three_prime_UTR__evm.utg7127.52.1.5c22f377.1.5c279739__16588","three_prime_UTR","CHH",-0.851598764,0.007506058,1,1,"Molecular Functions","three_prime_UTR","Acute Experiment","1/1","1/16","MF","MF_4","GO:0003676","nucleic acid binding",7,0.601111659998764
"exon","GO:0006397","mRNA processing",0.5,0.0245398773006135,0.25,20.375,4.3594601465375,0.0486253124289934,0.0908884344467162,0.0637813575064675,"evm.utg2661.21",1,"evm.utg2661.21","exp1__exon__evm.utg2661.21__7936","exon","CHG",-0.856327307,0.055779643,1,1,"Biological Processes","exon","Acute Experiment","1/2","4/163","BP","BP_1","GO:0016070","RNA metabolic process",9,0.611456692555683
"exon","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.5,0.0306748466257669,0.2,16.3,3.86106805544983,0.0605922896311442,0.0908884344467162,0.0637813575064675,"evm.utg363.1",1,"evm.utg363.1","exp1__exon__evm.utg363.1__8018","exon","CHG",-1.141552511,0.055779643,1,1,"Biological Processes","exon","Acute Experiment","1/2","5/163","BP","BP_12","GO:0007155","cell adhesion",3,0.673855502106646
