"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","context","GO","region","experiment"
"GO:0070507","regulation of microtubule cytoskeleton organization",0.0555555555555556,0.000936329588014981,0.0167270674639031,0.0435268750726157,0.00916355264686647,"evm.utg4428.8",1,"CHG","Biological Processes","gene","Acute Experiment"
"GO:0070507","regulation of microtubule cytoskeleton organization",0.0555555555555556,0.000936329588014981,0.0167270674639031,0.0435268750726157,0.00916355264686647,"evm.utg4428.8",1,"CHH","Biological Processes","gene","Acute Experiment"
"GO:0006635","fatty acid beta-oxidation",0.0555555555555556,0.00121722846441948,0.0216934304873529,0.0435268750726157,0.00916355264686647,"evm.utg11814.7",1,"CHG","Biological Processes","gene","Acute Experiment"
"GO:0030705","cytoskeleton-dependent intracellular transport",0.0555555555555556,0.00140449438202247,0.0249911673521622,0.0435268750726157,0.00916355264686647,"evm.utg4428.8",1,"CHG","Biological Processes","gene","Acute Experiment"
"GO:0030705","cytoskeleton-dependent intracellular transport",0.0555555555555556,0.00140449438202247,0.0249911673521622,0.0435268750726157,0.00916355264686647,"evm.utg4428.8",1,"CHH","Biological Processes","gene","Acute Experiment"
"GO:0001822","kidney development",0.0555555555555556,0.00154494382022472,0.0274575772482638,0.0435268750726157,0.00916355264686647,"evm.utg512.80",1,"CHH","Biological Processes","gene","Acute Experiment"
"GO:0051607","defense response to virus",0.0555555555555556,0.00182584269662921,0.0323727303600235,0.0435268750726157,0.00916355264686647,"evm.utg1571.14",1,"CpG","Biological Processes","gene","Acute Experiment"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.0555555555555556,0.00191947565543071,0.0340058945466631,0.0435268750726157,0.00916355264686647,"evm.utg162.19",1,"CpG","Biological Processes","gene","Acute Experiment"
"GO:0045087","innate immune response",0.0555555555555556,0.00196629213483146,0.0348215000580926,0.0435268750726157,0.00916355264686647,"evm.utg1571.14",1,"CpG","Biological Processes","gene","Acute Experiment"
"GO:0008380","RNA splicing",0.0555555555555556,0.00365168539325843,0.0637539005302052,0.0735621929194676,0.01548677745673,"evm.utg1032.34",1,"CHH","Biological Processes","gene","Acute Experiment"
"GO:0006325","chromatin organization",0.0555555555555556,0.00500936329588015,0.0864628369652672,0.0926387538913578,0.0195028955560753,"evm.utg4428.2",1,"CpG","Biological Processes","gene","Acute Experiment"
"GO:0016567","protein ubiquitination",0.0555555555555556,0.0184925093632959,0.285460095027795,0.285460095027795,0.0600968621111148,"evm.utg11814.6",1,"CHG","Biological Processes","gene","Acute Experiment"
"GO:2000036","regulation of stem cell population maintenance",0.0833333333333333,0.000468164794007491,0.00560497397302273,0.0400652494209068,0.0259531980054457,"evm.utg2849.3",1,"CpG","Biological Processes","dispersed_repeat","Acute Experiment"
"GO:0030261","chromosome condensation",0.0833333333333333,0.00051498127340824,0.00616388452629335,0.0400652494209068,0.0259531980054457,"evm.utg5417.33",1,"CpG","Biological Processes","dispersed_repeat","Acute Experiment"
"GO:0000278","mitotic cell cycle",0.0833333333333333,0.00210674157303371,0.0249963770844722,0.108317634032713,0.0701652690090448,"evm.utg10470.24",1,"CpG","Biological Processes","dispersed_repeat","Acute Experiment"
"GO:0030433","ubiquitin-dependent ERAD pathway",0.0833333333333333,0.00308988764044944,0.0364641992483897,0.108827501844145,0.0704955477532924,"evm.utg24440.2",1,"CHH","Biological Processes","dispersed_repeat","Acute Experiment"
"GO:0008380","RNA splicing",0.0833333333333333,0.00365168539325843,0.0429615948822891,0.108827501844145,0.0704955477532924,"evm.utg1032.34",1,"CHH","Biological Processes","dispersed_repeat","Acute Experiment"
"GO:0007154","cell communication",0.0833333333333333,0.00454119850187266,0.053167043538459,0.108827501844145,0.0704955477532924,"evm.utg268.25.1.5c22edff",1,"CHH","Biological Processes","dispersed_repeat","Acute Experiment"
"GO:0007160","cell-matrix adhesion",0.0833333333333333,0.00575842696629213,0.0669707703656278,0.108827501844145,0.0704955477532924,"evm.utg2333.11",1,"CpG","Biological Processes","dispersed_repeat","Acute Experiment"
"GO:0034765","regulation of monoatomic ion transmembrane transport",0.0833333333333333,0.00575842696629213,0.0669707703656278,0.108827501844145,0.0704955477532924,"evm.utg816.25",1,"CpG","Biological Processes","dispersed_repeat","Acute Experiment"
"GO:0030154","cell differentiation",0.0833333333333333,0.0075374531835206,0.0868138357421365,0.118379138777271,0.0766828429326451,"evm.utg1569.8",1,"CpG","Biological Processes","dispersed_repeat","Acute Experiment"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.0833333333333333,0.00828651685393259,0.0950524731420881,0.118379138777271,0.0766828429326451,"evm.utg9625.4",1,"CpG","Biological Processes","dispersed_repeat","Acute Experiment"
"GO:0051301","cell division",0.0833333333333333,0.00875468164794008,0.100166963580768,0.118379138777271,0.0766828429326451,"evm.utg10470.24",1,"CpG","Biological Processes","dispersed_repeat","Acute Experiment"
"GO:0006470","protein dephosphorylation",0.0833333333333333,0.011376404494382,0.128321746695886,0.139015225587209,0.0900503485585163,"evm.utg989.44.45.2.5c2798c8",1,"CHH","Biological Processes","dispersed_repeat","Acute Experiment"
"GO:0006397","mRNA processing",0.0833333333333333,0.013061797752809,0.145992366730302,0.145992366730302,0.0945699541572808,"evm.utg1032.34",1,"CHH","Biological Processes","dispersed_repeat","Acute Experiment"
"GO:0035368","selenocysteine insertion sequence binding",0.0833333333333333,0.00021918151360491,1.13393011464461e-05,0.000181428818343137,0.000107424958229489,"evm.utg7127.52",2,"CpG","Molecular Functions","gene","Acute Experiment"
"GO:0035368","selenocysteine insertion sequence binding",0.0833333333333333,0.00021918151360491,1.13393011464461e-05,0.000181428818343137,0.000107424958229489,"utg7127.equina_smart_1282991.mrna2",2,"CpG","Molecular Functions","gene","Acute Experiment"
"GO:0006397","mRNA processing",0.111111111111111,0.013061797752809,0.0226621264326251,0.0435268750726157,0.00916355264686647,"evm.utg2661.21",2,"CHG","Biological Processes","gene","Acute Experiment"
"GO:0006397","mRNA processing",0.111111111111111,0.013061797752809,0.0226621264326251,0.0435268750726157,0.00916355264686647,"evm.utg1032.34",2,"CHH","Biological Processes","gene","Acute Experiment"
"GO:0004540","RNA nuclease activity",0.25,0.00272411309766102,0.0108525160876044,0.0108525160876044,NA,"evm.utg2661.21",1,"CHG","Molecular Functions","exon","Acute Experiment"
"GO:0035368","selenocysteine insertion sequence binding",0.25,0.00021918151360491,0.000876479006858388,0.00175295801371678,0.000922609480903567,"evm.utg2661.20",1,"CHH","Molecular Functions","promoter","Acute Experiment"
"GO:0004674","protein serine/threonine kinase activity",0.25,0.0149669662147353,0.0585398528794272,0.0585398528794272,0.0308104488839091,"evm.utg4613.33",1,"CHH","Molecular Functions","promoter","Acute Experiment"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.5,0.00828651685393259,0.0165047520951357,0.0259535884933384,NA,"evm.utg363.1",1,"CHG","Biological Processes","exon","Acute Experiment"
"GO:0006397","mRNA processing",0.5,0.013061797752809,0.0259535884933384,0.0259535884933384,NA,"evm.utg2661.21",1,"CHG","Biological Processes","exon","Acute Experiment"
"GO:0005044","scavenger receptor activity",0.5,0.0150922127939381,0.00133667774507978,0.00267335549015955,NA,"evm.utg9625.2",2,"CpG","Molecular Functions","exon","Acute Experiment"
"GO:0005044","scavenger receptor activity",0.5,0.0150922127939381,0.00133667774507978,0.00267335549015955,NA,"evm.utg9625.2",2,"CHG","Molecular Functions","exon","Acute Experiment"
"GO:0005044","scavenger receptor activity",0.5,0.0150922127939381,0.00133667774507978,0.00267335549015955,NA,"evm.utg363.1",2,"CHG","Molecular Functions","exon","Acute Experiment"
"GO:0035368","selenocysteine insertion sequence binding",1,0.00021918151360491,0.000219181513604783,0.000219181513604783,NA,"evm.utg7127.52.1.5c22f377.1.5c279739",1,"CHH","Molecular Functions","three_prime_UTR","Acute Experiment"
