"region","context","file_prefix","percent_methylation","sample_id","treatment","group"
"dispersed_repeat","CpG","13",5,"13",0,"Control"
"dispersed_repeat","CpG","13",8.69565217391304,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",10,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",2.32558139534884,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",8.33333333333333,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",50,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",52.5773195876289,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0.169779286926995,"13",0,"Control"
"dispersed_repeat","CpG","13",36.9047619047619,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0.143884892086331,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",1.40845070422535,"13",0,"Control"
"dispersed_repeat","CpG","13",1.96078431372549,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0.698412698412698,"13",0,"Control"
"dispersed_repeat","CpG","13",0.554016620498615,"13",0,"Control"
"dispersed_repeat","CpG","13",0.51513200257566,"13",0,"Control"
"dispersed_repeat","CpG","13",0.0754337440281619,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
"dispersed_repeat","CpG","13",0,"13",0,"Control"
