"Method","Contrast","Ontology","Original GO ID","Original GO term","Semantic cluster ID","Representative semantic GO ID","Representative semantic GO term","Adjusted p-value","GeneRatio","Count","setSize","FoldEnrichment","NES","Genes"
"ORA","interactive","biological_processes","GO:0008298","intracellular mRNA localization","BP_13","GO:0071539","protein localization to centrosome",0.0372055305685901,0.0212765957446809,1,NA,113.617021276596,NA,"evm.utg12655.32"
"ORA","interactive","biological_processes","GO:1904108","protein localization to ciliary inversin compartment","BP_13","GO:0071539","protein localization to centrosome",0.0372055305685901,0.0212765957446809,1,NA,113.617021276596,NA,"evm.utg2216.46"
"ORA","diesel_only","biological_processes","GO:0016567","protein ubiquitination","BP_15","GO:0016567","protein ubiquitination",0.0366438956080405,0.5,1,NA,27.0379746835443,NA,"evm.utg5059.68"
"ORA","interactive","biological_processes","GO:2000045","regulation of G1/S transition of mitotic cell cycle","BP_22","GO:2000045","regulation of G1/S transition of mitotic cell cycle",0.0372055305685901,0.0212765957446809,1,NA,75.7446808510638,NA,"evm.utg1663.42"
"ORA","interactive","biological_processes","GO:0006597","spermine biosynthetic process","BP_9","GO:0006597","spermine biosynthetic process",0.0372055305685901,0.0212765957446809,1,NA,75.7446808510638,NA,"evm.utg126.133"
"ORA","interactive","biological_processes","GO:0060712","spongiotrophoblast layer development","BP_21","GO:0060712","spongiotrophoblast layer development",0.0280547752808987,0.0212765957446809,1,NA,454.468085106383,NA,"evm.utg194.33"
"ORA","interactive","biological_processes","GO:0060716","labyrinthine layer blood vessel development","BP_21","GO:0060712","spongiotrophoblast layer development",0.0320280743690897,0.0212765957446809,1,NA,227.234042553192,NA,"evm.utg194.33"
"GSEA","additive","biological_processes","GO:0006412","translation","BP_8","GO:0006412","translation",0.0303293474474006,NA,NA,197,NA,-1.76490347496639,"evm.utg301.16/evm.utg479.58/evm.utg73.68/evm.utg62.20/evm.utg324.14/evm.utg219.71/evm.utg47.27/evm.utg483.56/evm.utg9313.24/evm.utg4.45/evm.utg6821.23/evm.utg8494.9/evm.utg3092.46/evm.utg3799.21/evm.utg1962.9/evm.utg411.52/evm.utg590.13/evm.utg1588.14/evm.utg868.5/evm.utg622.63/evm.utg301.37/evm.utg729.96/evm.utg125.18/evm.utg791.8/evm.utg56.53/evm.utg1372.18/evm.utg5176.12/evm.utg505.41/evm.utg1648.24/evm.utg3878.28/evm.utg18633.16/evm.utg1846.8/evm.utg7522.33/evm.utg415.116/evm.utg729.46/evm.utg343339.2/utg86.equina_smart_1445806.mrna2/evm.utg577.29/evm.utg693.66/utg2581.equina_smart_1098872.mrna2/evm.utg2967.31/evm.utg301.138/evm.utg4716.3/evm.utg236.39/evm.utg16027.9/evm.utg890.45/evm.utg532.13/evm.utg344.47/evm.utg107.57/evm.utg910.151/evm.utg699.4/evm.utg378.133/evm.utg1925.24/evm.utg77.8/evm.utg2814.18/evm.utg7217.55/evm.utg2929.10/evm.utg1109.26/evm.utg150.93/utg788.equina_smart_1260423.mrna1/evm.utg1800.6/evm.utg2129.121/evm.utg577.105/evm.utg381.21/evm.utg3235.7/evm.utg116.286/evm.utg14287.6/evm.utg2757.29/evm.utg1910.32/evm.utg17809.12/evm.utg129.21/evm.utg301.49/evm.utg3553.8/evm.utg12897.18/evm.utg496.27/evm.utg579.70/evm.utg498.48/evm.utg5885.98/evm.utg9216.5/evm.utg798.17/evm.utg48209.2/evm.utg3878.21/evm.utg924.59/evm.utg7217.40/evm.utg4464.16/evm.utg15585.12/evm.utg7145.61/evm.utg207.63/evm.utg498.129/evm.utg597.5/evm.utg2007.14/evm.utg1109.3/evm.utg1565.85/evm.utg1910.34/evm.utg420.100/evm.utg378.108/evm.utg868.49/evm.utg1226.13/evm.utg320.85/evm.utg498.143/evm.utg544.4/evm.utg234.64/evm.utg207.20/evm.utg55.156/evm.utg498.93/evm.utg55.88/evm.utg1931.13/evm.utg4194.6/evm.utg126.157/evm.utg92.66/evm.utg1056.36/evm.utg1517.5/evm.utg234.86/evm.utg1931.75/evm.utg597.212/evm.utg3677.28/evm.utg77.113/evm.utg378.170/evm.utg6072.8/evm.utg379.48/evm.utg577.30/evm.utg7145.43/evm.utg498.88/evm.utg1226.19/evm.utg577.73/evm.utg2108.6/evm.utg180.72/evm.utg797.57/evm.utg52.55/evm.utg18409.1/evm.utg15585.14/evm.utg14.81/evm.utg243.70/evm.utg3790.42/evm.utg797.58/evm.utg1507.31/evm.utg378.169/evm.utg4187.32/evm.utg378.167/evm.utg378.168"
"GSEA","salinity_only","biological_processes","GO:0006412","translation","BP_8","GO:0006412","translation",0.0106701516434888,NA,NA,197,NA,-1.82524324679033,"evm.utg1962.9/evm.utg5885.98/evm.utg301.16/utg86.equina_smart_1445806.mrna2/evm.utg16027.9/evm.utg6072.8/evm.utg381.21/evm.utg2929.10/evm.utg1910.34/evm.utg55.156/evm.utg597.5/evm.utg924.59/evm.utg420.100/evm.utg15585.12/evm.utg577.29/evm.utg3790.42/evm.utg479.145/evm.utg56.53/evm.utg1507.3/evm.utg1396.4/evm.utg2814.18/evm.utg415.116/evm.utg4.45/evm.utg498.93/evm.utg910.151/evm.utg577.105/evm.utg1910.32/evm.utg1226.13/evm.utg544.4/evm.utg126.157/evm.utg791.9/evm.utg1931.13/evm.utg334.75/evm.utg411.52/evm.utg236.39/evm.utg536.17/evm.utg9313.24/evm.utg77.8/evm.utg868.49/evm.utg590.13/evm.utg1109.26/evm.utg2007.14/evm.utg699.4/evm.utg343339.2/evm.utg729.46/evm.utg7217.40/evm.utg597.212/evm.utg301.138/evm.utg798.17/evm.utg18633.16/evm.utg1588.14/evm.utg77.113/evm.utg2757.29/evm.utg4194.6/evm.utg378.108/evm.utg129.21/evm.utg1925.24/evm.utg532.13/evm.utg496.27/evm.utg1648.24/evm.utg92.66/evm.utg3799.21/evm.utg1931.75/evm.utg6949.10/evm.utg3553.8/evm.utg207.63/evm.utg1109.3/evm.utg320.85/evm.utg7145.43/evm.utg344.47/evm.utg1372.18/evm.utg107.57/evm.utg498.48/evm.utg18553.14/evm.utg498.143/evm.utg150.93/evm.utg498.129/evm.utg890.45/evm.utg498.88/evm.utg579.70/evm.utg483.56/evm.utg3092.46/evm.utg8494.117/evm.utg479.58/evm.utg1800.6/evm.utg505.41/evm.utg379.48/evm.utg234.64/evm.utg1517.5/evm.utg590.14/evm.utg219.71/evm.utg3677.28/evm.utg18294.33/evm.utg207.20/evm.utg37634.4/evm.utg577.30/evm.utg14287.6/evm.utg7145.61/evm.utg3878.28/evm.utg868.5/evm.utg4716.3/evm.utg55.88/evm.utg1226.19/evm.utg2129.121/evm.utg1565.85/evm.utg125.18/evm.utg378.133/evm.utg4464.16/utg2581.equina_smart_1098872.mrna2/evm.utg7217.55/evm.utg7522.33/evm.utg2108.6/evm.utg378.170/evm.utg17809.12/evm.utg62.20/evm.utg180.72/evm.utg18409.1/evm.utg693.66/evm.utg2298.39/evm.utg4187.32/evm.utg1507.31/evm.utg15585.14/evm.utg797.57/evm.utg5176.12/evm.utg243.70/evm.utg52.55/evm.utg797.58/evm.utg378.169/evm.utg14.81/evm.utg378.167/evm.utg378.168"
"ORA","interactive","biological_processes","GO:0006425","glutaminyl-tRNA aminoacylation","BP_8","GO:0006412","translation",0.0372055305685901,0.0212765957446809,1,NA,151.489361702128,NA,"evm.utg6851.26"
"GSEA","additive","molecular_functions","GO:0140662","ATP-dependent protein folding chaperone","MF_26","GO:0140662","ATP-dependent protein folding chaperone",0.000715208624518604,NA,NA,48,NA,2.44739036308507,"evm.utg2801.49/evm.utg405.9/evm.utg3155.45/evm.utg1056.109/evm.utg1056.108/evm.utg109891.3/evm.utg129.13/evm.utg3155.44/evm.utg3155.40/evm.utg2818.25/evm.utg14533.3/evm.utg2129.128/evm.utg19612.5/evm.utg736.62/evm.utg798.21/evm.utg8494.56/utg125.equina_smart_942076.mrna2/evm.utg2246.95/evm.utg3092.51/evm.utg2108.14/evm.utg95.9/evm.utg637.4/evm.utg280.41/evm.utg125.72/utg125.equina_smart_1399144.mrna1/evm.utg31532.1"
"GSEA","diesel_added","molecular_functions","GO:0140662","ATP-dependent protein folding chaperone","MF_26","GO:0140662","ATP-dependent protein folding chaperone",0.0211824806539409,NA,NA,48,NA,1.92021598694071,"evm.utg3155.45/evm.utg19612.5/evm.utg2801.49/evm.utg2818.25/evm.utg3155.40/evm.utg1056.108/evm.utg1056.109/evm.utg3092.51/evm.utg14533.3/evm.utg3155.44/evm.utg798.21/evm.utg2108.14/evm.utg129.13/evm.utg125.72/evm.utg405.9/evm.utg637.4/evm.utg577.82/evm.utg109891.3/evm.utg432.9/evm.utg280.41/evm.utg2246.95/evm.utg2129.128"
"GSEA","salinity_added","molecular_functions","GO:0140662","ATP-dependent protein folding chaperone","MF_26","GO:0140662","ATP-dependent protein folding chaperone",0.0020256176943408,NA,NA,48,NA,2.38175468925203,"evm.utg14533.3/evm.utg405.9/evm.utg2818.25/evm.utg3155.40/evm.utg736.62/utg125.equina_smart_1399144.mrna1/evm.utg109891.3/evm.utg2801.49/evm.utg1056.108/evm.utg129.13/evm.utg3155.45/evm.utg3155.44/evm.utg1056.109/evm.utg95.9/evm.utg8494.56/evm.utg19612.5/evm.utg637.4/evm.utg798.21/evm.utg125.72/evm.utg280.41/evm.utg2129.128/evm.utg2246.95/evm.utg3155.43/utg125.equina_smart_942076.mrna2/evm.utg2108.14"
"GSEA","additive","molecular_functions","GO:0003700","DNA-binding transcription factor activity","MF_2","GO:0003700","DNA-binding transcription factor activity",0.000353738558746344,NA,NA,272,NA,1.93605432948174,"evm.utg420.46/evm.utg1507.1/evm.utg34597.8/evm.utg34597.10/evm.utg34597.7/evm.utg34597.9/evm.utg420.44/evm.utg4.9/evm.utg116.190/evm.utg1005.68/evm.utg1846.45/evm.utg2129.13/evm.utg2099.44/evm.utg109.65/evm.utg2426.18/evm.utg3403.3/evm.utg2716.7/evm.utg3403.1/evm.utg418.68/evm.utg320.141/evm.utg78.71/evm.utg3283.34/evm.utg3803.11/evm.utg750.43/evm.utg11411.29/evm.utg7522.11/evm.utg104.72/evm.utg78.53/evm.utg1565.12/evm.utg27.69/evm.utg104.73/evm.utg1588.6/evm.utg6959.3/evm.utg9762.1/evm.utg1507.6/evm.utg1781.29/evm.utg162.25/evm.utg761.42/evm.utg777.4/evm.utg8.57/evm.utg777.45/evm.utg2123.34/evm.utg29.1/evm.utg381.35/evm.utg479.157/evm.utg4605.27/evm.utg736.17/evm.utg4455.57/evm.utg577.53/evm.utg324.209/evm.utg1995.8/evm.utg3474.31/evm.utg381.78/evm.utg797.22/evm.utg7217.31/evm.utg324.153/evm.utg3013.24/evm.utg5950.50/evm.utg1565.14/evm.utg1051.98/evm.utg1683.20/evm.utg1137.45/evm.utg1337.15/evm.utg420.41/evm.utg207.89/evm.utg4972.10/evm.utg7652.31/evm.utg470.10/evm.utg12875.1/evm.utg1056.7/evm.utg1051.38/evm.utg301.105/evm.utg1031.75/evm.utg10463.13/evm.utg536.24/evm.utg18294.6/evm.utg4886.11/evm.utg616.23/evm.utg1694.54/evm.utg15156.22/evm.utg10470.33/evm.utg13607.9/evm.utg7652.32/evm.utg3474.30/evm.utg15156.23/evm.utg1056.28/evm.utg5652.41/evm.utg10470.32/evm.utg18271.3/evm.utg14772.2/evm.utg13.60/evm.utg3899.14/evm.utg146.18/evm.utg3913.44/evm.utg4922.22/evm.utg1056.8/evm.utg37512.3/evm.utg10463.3"
"GSEA","salinity_added","molecular_functions","GO:0003700","DNA-binding transcription factor activity","MF_2","GO:0003700","DNA-binding transcription factor activity",0.00693274877791225,NA,NA,272,NA,1.77703268710176,"evm.utg420.46/evm.utg34597.9/evm.utg34597.8/evm.utg34597.7/evm.utg420.44/evm.utg3403.1/evm.utg1507.1/evm.utg34597.10/evm.utg2716.7/evm.utg104.72/evm.utg78.71/evm.utg777.4/evm.utg2426.18/evm.utg104.73/evm.utg109.65/evm.utg116.190/evm.utg3403.3/evm.utg4.9/evm.utg750.43/evm.utg3474.31/evm.utg7522.11/evm.utg3283.34/evm.utg1507.6/evm.utg761.42/evm.utg162.25/evm.utg163.36.38/evm.utg1051.38/evm.utg9762.1/evm.utg479.157/evm.utg1565.12/evm.utg2129.13/evm.utg6959.3/evm.utg1995.8/evm.utg324.209/evm.utg420.41/evm.utg29.1/evm.utg1005.68/evm.utg777.45/evm.utg26697.3/evm.utg13607.9/evm.utg3803.11/evm.utg3474.30/evm.utg3899.14/evm.utg15156.22/evm.utg10463.13/evm.utg3913.44/evm.utg27.69/evm.utg536.24/evm.utg5652.41/evm.utg381.78/evm.utg7217.31/evm.utg320.141/evm.utg3913.31/evm.utg15156.23/evm.utg18294.6/evm.utg4326.26/evm.utg3156.21/evm.utg10470.33/evm.utg736.17/evm.utg8.57/evm.utg324.153/evm.utg1925.59/evm.utg162.7/evm.utg470.10/evm.utg101.113/evm.utg4468.28/evm.utg146.18/evm.utg37512.3/evm.utg10463.11/evm.utg7652.31/evm.utg11411.29/evm.utg577.53/evm.utg1683.20/evm.utg18271.3/evm.utg10588.30/evm.utg4886.11/evm.utg1056.28/evm.utg1781.29/evm.utg4605.27/evm.utg381.35/evm.utg3013.24/evm.utg1846.45"
"ORA","combined","molecular_functions","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","MF_2","GO:0003700","DNA-binding transcription factor activity",0.0049093070186745,0.0142425550280535,66,NA,1.6846832590035,NA,"evm.utg86.58/evm.utg92.154.157/evm.utg109.23/evm.utg109.42/evm.utg116.210/evm.utg194.31/evm.utg194.35/evm.utg207.9/evm.utg207.61/evm.utg207.64/evm.utg207.80/evm.utg209.58/evm.utg214.63/evm.utg219.26/evm.utg219.28/evm.utg356.131/evm.utg377.28/evm.utg377.30/evm.utg401.67/evm.utg411.41/evm.utg464.224/evm.utg470.38/evm.utg470.49/evm.utg479.64/evm.utg505.42/evm.utg522.9/evm.utg526.19/evm.utg564.44/evm.utg564.47/evm.utg798.18/evm.utg801.23/evm.utg857.16/evm.utg857.24/evm.utg989.15/evm.utg1051.49/evm.utg1056.123/evm.utg1056.142/evm.utg1396.19/evm.utg1565.65/evm.utg1571.10/evm.utg1623.8/evm.utg2129.25/evm.utg2129.44/evm.utg2216.22/evm.utg2216.29/evm.utg2801.42/evm.utg2929.4/evm.utg3092.47/evm.utg3260.1/evm.utg3283.23/evm.utg3283.25/evm.utg3839.101/evm.utg3839.103/evm.utg4082.36/evm.utg4082.37/evm.utg5059.29/evm.utg7066.7/evm.utg7289.31/evm.utg7595.8/evm.utg8494.50/evm.utg11096.5/evm.utg15210.4/evm.utg15506.3/evm.utg25862.7/evm.utg26037.2/evm.utg44416.1"
"ORA","salinity_added","molecular_functions","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","MF_2","GO:0003700","DNA-binding transcription factor activity",0.0101688022608595,0.0139935414424112,65,NA,1.65522864091217,NA,"evm.utg86.58/evm.utg92.89/evm.utg92.154.157/evm.utg109.23/evm.utg109.42/evm.utg116.210/evm.utg194.31/evm.utg194.35/evm.utg207.61/evm.utg207.64/evm.utg207.80/evm.utg214.63/evm.utg219.28/evm.utg256.12/evm.utg377.28/evm.utg377.30/evm.utg401.67/evm.utg411.41/evm.utg464.224/evm.utg470.38/evm.utg470.49/evm.utg479.64/evm.utg505.42/evm.utg526.16/evm.utg526.19/evm.utg564.25/evm.utg564.44/evm.utg564.47/evm.utg798.18/evm.utg801.23/evm.utg857.16/evm.utg857.24/evm.utg989.15/evm.utg1051.49/evm.utg1056.123/evm.utg1396.19/evm.utg1565.65/evm.utg1623.8/evm.utg1721.60/utg1910.equina_smart_534762.mrna1/evm.utg1962.1/evm.utg2129.44/evm.utg2216.22/evm.utg2216.29/evm.utg2801.42/evm.utg2929.4/evm.utg3092.47/evm.utg3260.1/evm.utg3283.23/evm.utg3834.24/evm.utg3839.101/evm.utg3839.103/evm.utg4082.36/evm.utg4082.37/evm.utg7066.7/evm.utg7289.31/evm.utg7595.8/evm.utg8494.50/evm.utg10628.11/evm.utg11096.5/evm.utg14703.12/evm.utg15210.4/evm.utg15506.3/evm.utg25862.7/evm.utg44416.1"
"ORA","salinity_only","molecular_functions","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","MF_2","GO:0003700","DNA-binding transcription factor activity",0.0181197274976601,0.0141497298687934,55,NA,1.67370341785057,NA,"evm.utg86.58/evm.utg92.89/evm.utg109.23/evm.utg109.26/evm.utg109.42/evm.utg116.210/evm.utg194.35/evm.utg207.64/evm.utg207.76/evm.utg207.80/evm.utg209.38/evm.utg219.26/evm.utg256.12/evm.utg356.130/evm.utg356.131/evm.utg377.30/evm.utg431.3/evm.utg470.38/evm.utg470.49/evm.utg505.42/evm.utg526.19/evm.utg564.44/evm.utg564.47/evm.utg736.39/evm.utg857.16/evm.utg857.24/evm.utg1056.142/evm.utg1204.32/evm.utg1683.61/evm.utg2129.25/evm.utg2129.44/evm.utg2216.22/evm.utg2216.24/evm.utg2298.24/evm.utg2585.8/evm.utg2757.11/evm.utg2757.33/evm.utg2801.42/evm.utg3260.1/evm.utg3283.23/evm.utg3283.25/evm.utg3839.101/evm.utg3839.103/evm.utg4082.36/evm.utg4082.39/evm.utg5513.3/evm.utg5885.86/evm.utg7066.7/evm.utg7289.31/evm.utg7595.8/evm.utg8494.50/evm.utg10541.30/evm.utg15506.3/evm.utg25862.7/evm.utg44416.1"
"GSEA","additive","molecular_functions","GO:0005525","GTP binding","MF_16","GO:0005525","GTP binding",0.000526171298099591,NA,NA,500,NA,1.63841260399537,"evm.utg7168.11/evm.utg7168.18/evm.utg514.15/evm.utg1786.18/evm.utg116.291/evm.utg1609.51/evm.utg470.8/evm.utg15552.6/evm.utg4576.2/evm.utg420.132/evm.utg4576.3/evm.utg1087.5/evm.utg1786.17/evm.utg1786.19/evm.utg14876.3/evm.utg4157.38/evm.utg1686.10.11/evm.utg276.53/utg31304.equina_smart_1477688.mrna1/evm.utg3906.11/evm.utg693.3/utg693.equina_smart_1421073.mrna1/evm.utg693.46/evm.utg364.46/evm.utg3509.8/evm.utg4576.1/evm.utg817.5/evm.utg300.55/evm.utg10541.3/evm.utg217.39/evm.utg5885.30/evm.utg714.18/evm.utg55532.4/evm.utg1363.53/evm.utg1551.1/evm.utg2969.16/evm.utg693.5/evm.utg597.9/evm.utg1919.103/utg2969.equina_smart_124203.mrna2/evm.utg62.18/evm.utg693.2/evm.utg1363.5/evm.utg31304.1/evm.utg1925.63/evm.utg438.31/evm.utg31304.3/evm.utg4796.8/evm.utg693.4/evm.utg1102.20/evm.utg6851.14/evm.utg2417.49/evm.utg16050.14/evm.utg86.83/evm.utg1363.21/evm.utg5950.52/evm.utg280.52/evm.utg116.364/evm.utg5815.4/evm.utg1363.6/evm.utg31304.4/utg1363.equina_smart_1433367.mrna1/evm.utg286.25/evm.utg2205.5/evm.utg31304.2/evm.utg861.122/evm.utg1031.19/evm.utg401.64/evm.utg1277.42/evm.utg3201.11/evm.utg262.10.11/evm.utg714.19/evm.utg1432.2/evm.utg45942.6/evm.utg693.45/evm.utg12975.1/evm.utg16443.2/evm.utg378.53/evm.utg1623.10/evm.utg1031.20/evm.utg401.65/evm.utg8931.2/evm.utg3284.40/evm.utg18036.3/evm.utg4567.24/evm.utg1525.29/evm.utg7289.46/evm.utg2674.43/evm.utg320.116/evm.utg1818.26/evm.utg7168.14/evm.utg286.23/evm.utg8.30/evm.utg18.4/evm.utg8931.1/evm.utg18.6/evm.utg693.6/evm.utg207.128/evm.utg4271.71/evm.utg2757.24/evm.utg7938.3/evm.utg56.4/evm.utg18.5/evm.utg243.81/evm.utg7855.19/evm.utg225.71/evm.utg2129.99/evm.utg1363.3/evm.utg1337.8/evm.utg1623.11/evm.utg1575.28/evm.utg1091.51/evm.utg597.62/evm.utg8672.10/evm.utg7.45/evm.utg625.38/evm.utg4972.20/evm.utg1846.35/evm.utg1031.81/evm.utg7840.14/evm.utg14126.1/evm.utg1354.3/evm.utg338.64/evm.utg262.53/evm.utg150.42/evm.utg126.129/evm.utg858.17/evm.utg1091.38/evm.utg129.54/evm.utg2817.16/evm.utg1696.10/evm.utg194.90/evm.utg4.20/evm.utg2246.31/evm.utg791.13"
"GSEA","diesel_added","molecular_functions","GO:0005525","GTP binding","MF_16","GO:0005525","GTP binding",0.0211824806539409,NA,NA,500,NA,1.56737990211431,"evm.utg7168.12/evm.utg514.15/evm.utg7168.17/evm.utg116.291/evm.utg276.53/evm.utg10541.3/evm.utg1272.62/evm.utg438.31/evm.utg2969.16/evm.utg420.132/evm.utg56.4/evm.utg300.55/evm.utg14876.3/evm.utg405.37/evm.utg5885.30/evm.utg1102.20/evm.utg116.364/evm.utg279.33/evm.utg12197.15/evm.utg4567.24/evm.utg418.60/evm.utg7.14/evm.utg498.29/evm.utg2129.200/evm.utg14.37/evm.utg1455.19/evm.utg4.20/evm.utg77.24/evm.utg16050.14/evm.utg280.52/evm.utg470.8/evm.utg62.48/evm.utg590.16/evm.utg2350.7/evm.utg12975.1/evm.utg62.49/evm.utg86.26/evm.utg16443.2/evm.utg2817.16/evm.utg1846.35/evm.utg1925.63/evm.utg693.46/evm.utg1919.113/evm.utg8494.90/evm.utg401.64/utg415.equina_smart_746959.mrna1/evm.utg861.122/evm.utg4972.20/evm.utg1354.3/evm.utg356.108/evm.utg6035.10/evm.utg438.3/evm.utg6958.21/evm.utg4174.2/evm.utg1663.37/evm.utg5885.31/evm.utg194.90/evm.utg1799.1/evm.utg52.66/evm.utg219.31/evm.utg262.53/evm.utg192.3/evm.utg1031.19/evm.utg7840.14/evm.utg1919.103/evm.utg7289.46/evm.utg1455.9/evm.utg2099.35/evm.utg8931.2/evm.utg2674.17/evm.utg5513.9/evm.utg924.67/evm.utg1091.38/evm.utg3201.11/evm.utg714.18/evm.utg8672.10/evm.utg924.68/evm.utg320.63/evm.utg18.6/evm.utg6924.5/evm.utg280.72/evm.utg1745.6/evm.utg910.62/evm.utg1272.141/evm.utg286.25/evm.utg868.104/evm.utg7821.1/evm.utg18036.3/evm.utg1819.17/evm.utg1565.104/evm.utg6894.6/evm.utg693.45/evm.utg3509.8/utg2969.equina_smart_124203.mrna2/evm.utg279.37/evm.utg190.45/evm.utg5950.62/evm.utg1754.6/evm.utg3201.27/evm.utg15664.6/evm.utg734.49/evm.utg262.10.11/evm.utg5950.52/evm.utg1272.142/evm.utg924.74/evm.utg1031.20/evm.utg1363.21/evm.utg1623.10/evm.utg3201.28/evm.utg5815.4/evm.utg4567.23/evm.utg1177.10/evm.utg1686.10.11/evm.utg597.9/evm.utg1432.2/evm.utg12975.2/evm.utg1337.8/evm.utg31304.4/evm.utg401.65/evm.utg279.32/evm.utg18.4/evm.utg378.53/evm.utg1363.53/evm.utg1087.5/evm.utg180.70/evm.utg1265.3/evm.utg2353.18/evm.utg2994.26/evm.utg4187.5/evm.utg279.36/evm.utg817.5/evm.utg4576.45/evm.utg1265.4/evm.utg217.42/evm.utg62.50/evm.utg73.138/evm.utg338.22/evm.utg411.114/evm.utg470.42/evm.utg762.12/evm.utg1127.38/evm.utg15156.12/evm.utg7855.19/evm.utg5513.8/evm.utg435.41/evm.utg1272.140/evm.utg320.116/evm.utg8931.1/evm.utg5815.6/evm.utg868.19/evm.utg172.25/evm.utg2818.88/evm.utg3797.10/utg2200.equina_smart_78118.mrna1/evm.utg785.11/utg438.evm.utg438.3.mrna2/evm.utg577.45/evm.utg370.22/evm.utg868.18/evm.utg436.2/evm.utg23510.11/evm.utg146.12/evm.utg256.16/evm.utg693.34/evm.utg2100.20/evm.utg3553.5/evm.utg625.38/evm.utg286.23/evm.utg45942.6/evm.utg2674.43"
"GSEA","salinity_added","molecular_functions","GO:0005525","GTP binding","MF_16","GO:0005525","GTP binding",0.00119046074071221,NA,NA,500,NA,1.75770192509613,"evm.utg7168.11/evm.utg7168.18/evm.utg7168.14/evm.utg7168.12/evm.utg7168.17/evm.utg1786.18/evm.utg420.132/evm.utg1609.51/evm.utg14876.3/utg31304.equina_smart_1477688.mrna1/evm.utg1575.28/evm.utg1786.17/evm.utg4576.2/evm.utg4576.3/evm.utg817.5/evm.utg1686.10.11/utg693.equina_smart_1421073.mrna1/evm.utg514.15/evm.utg4157.38/evm.utg470.8/evm.utg116.291/evm.utg693.2/evm.utg2969.16/evm.utg693.3/evm.utg55532.4/evm.utg1363.5/utg2969.equina_smart_124203.mrna2/evm.utg1786.19/evm.utg693.4/evm.utg1277.42/evm.utg3509.8/evm.utg262.10.11/evm.utg300.55/evm.utg31304.1/evm.utg3906.11/evm.utg276.53/evm.utg1363.53/evm.utg364.46/evm.utg1551.1/evm.utg7938.3/evm.utg217.39/evm.utg62.18/evm.utg320.116/evm.utg1091.38/evm.utg4796.8/evm.utg1919.103/evm.utg31304.3/evm.utg5885.30/evm.utg86.83/evm.utg31304.2/evm.utg693.6/evm.utg693.5/evm.utg378.53/evm.utg401.64/evm.utg8.30/evm.utg2417.49/evm.utg18.6/evm.utg714.18/evm.utg18.4/evm.utg4576.1/evm.utg15552.6/evm.utg116.364/evm.utg625.38/evm.utg280.52/evm.utg31304.4/evm.utg1363.3/evm.utg3284.40/evm.utg577.36/evm.utg207.128/evm.utg1363.6/evm.utg126.129/evm.utg10541.3"
"GSEA","diesel_added","molecular_functions","GO:0003924","GTPase activity","MF_5","GO:0003924","GTPase activity",0.018494519107175,NA,NA,326,NA,1.75191974083069,"evm.utg514.15/evm.utg116.291/evm.utg10541.3/evm.utg1272.62/evm.utg420.132/evm.utg56.4/evm.utg14876.3/evm.utg405.37/evm.utg1102.20/evm.utg116.364/evm.utg279.33/evm.utg12197.15/evm.utg4567.24/evm.utg418.60/evm.utg7.14/evm.utg498.29/evm.utg2129.200/evm.utg14.37/evm.utg1455.19/evm.utg4.20/evm.utg77.24/evm.utg16050.14/evm.utg470.8/evm.utg590.16/evm.utg2350.7/evm.utg12975.1/evm.utg86.26/evm.utg16443.2/evm.utg2817.16/evm.utg4567.33/evm.utg1846.35/evm.utg1925.63/evm.utg1919.113/evm.utg8494.90/evm.utg4972.20/evm.utg1354.3/evm.utg356.108/evm.utg6035.10/evm.utg6958.21/evm.utg4174.2/evm.utg1663.37/evm.utg194.90/evm.utg1799.1/evm.utg52.66/evm.utg219.31/evm.utg192.3/evm.utg1031.19/evm.utg7840.14/evm.utg7289.46/evm.utg4610.7/evm.utg1455.9/evm.utg2099.35/evm.utg5513.9/evm.utg924.67/evm.utg1091.38/evm.utg3201.11/evm.utg8672.10/evm.utg924.68/evm.utg320.63/evm.utg18.6/evm.utg6924.5/evm.utg1745.6/evm.utg910.62/evm.utg1272.141/evm.utg286.25/evm.utg7821.1/evm.utg18036.3/evm.utg1819.17/evm.utg1565.104/evm.utg6894.6/evm.utg3509.8/utg2969.equina_smart_124203.mrna2/evm.utg279.37/evm.utg190.45/evm.utg5950.62/evm.utg1754.6/evm.utg3201.27/evm.utg15664.6/evm.utg734.49/evm.utg5950.52/evm.utg1272.142/evm.utg924.74/evm.utg1031.20/evm.utg1363.21/evm.utg1623.10/evm.utg3201.28/evm.utg5815.4/evm.utg4567.23/evm.utg1177.10/evm.utg597.9/evm.utg1432.2/evm.utg12975.2/evm.utg1337.8/evm.utg279.32/evm.utg18.4/evm.utg378.53/evm.utg1363.53/evm.utg1087.5/evm.utg180.70/evm.utg2353.18"
