"Method","Contrast","Ontology","Original GO ID","Original GO term","Semantic cluster ID","Representative semantic GO ID","Representative semantic GO term","Adjusted p-value","GeneRatio","Count","setSize","FoldEnrichment","NES","Genes"
"GSEA","additive","biological_processes","GO:0009311","oligosaccharide metabolic process","BP_5","GO:0006094","gluconeogenesis",0.0487819947620271,NA,NA,10,NA,2.03322999964948,"evm.utg1972.86/evm.utg1972.84/evm.utg1972.85/evm.utg1972.87/evm.utg1972.81"
"GSEA","diesel_added","biological_processes","GO:0006094","gluconeogenesis","BP_5","GO:0006094","gluconeogenesis",0.0142829225341065,NA,NA,14,NA,2.14797150137371,"evm.utg276.53/evm.utg438.31/evm.utg7950.38/evm.utg4187.43/evm.utg2201.12/evm.utg1781.24/evm.utg3024.3/evm.utg3024.4"
"GSEA","additive","biological_processes","GO:0003007","heart morphogenesis","BP_4","GO:0003007","heart morphogenesis",0.0487819947620271,NA,NA,57,NA,-1.77337827342467,"evm.utg415.70/evm.utg625.110/evm.utg190.1/evm.utg858.19/evm.utg16036.16/evm.utg7264.7/evm.utg4383.28/evm.utg56.47/evm.utg2817.19/evm.utg3159.12/evm.utg149521.3/evm.utg2338.18/evm.utg2129.202/evm.utg4194.18/evm.utg381.50/evm.utg4501.15/evm.utg2115.15/evm.utg92.148/evm.utg1925.21/evm.utg92.119/evm.utg1243.12/evm.utg16036.27/evm.utg2581.2/evm.utg1900.25/evm.utg4194.25/evm.utg470.50/evm.utg225.60/evm.utg207.124/evm.utg1140.13/evm.utg7286.58"
"GSEA","additive","biological_processes","GO:0048565","digestive tract development","BP_4","GO:0003007","heart morphogenesis",0.0487819947620271,NA,NA,57,NA,-1.77337827342467,"evm.utg415.70/evm.utg625.110/evm.utg190.1/evm.utg858.19/evm.utg16036.16/evm.utg7264.7/evm.utg4383.28/evm.utg56.47/evm.utg2817.19/evm.utg3159.12/evm.utg149521.3/evm.utg2338.18/evm.utg2129.202/evm.utg4194.18/evm.utg381.50/evm.utg4501.15/evm.utg2115.15/evm.utg92.148/evm.utg1925.21/evm.utg92.119/evm.utg1243.12/evm.utg16036.27/evm.utg2581.2/evm.utg1900.25/evm.utg4194.25/evm.utg470.50/evm.utg225.60/evm.utg207.124/evm.utg1140.13/evm.utg7286.58"
"GSEA","additive","biological_processes","GO:0048703","embryonic viscerocranium morphogenesis","BP_4","GO:0003007","heart morphogenesis",0.0487819947620271,NA,NA,57,NA,-1.77337827342467,"evm.utg415.70/evm.utg625.110/evm.utg190.1/evm.utg858.19/evm.utg16036.16/evm.utg7264.7/evm.utg4383.28/evm.utg56.47/evm.utg2817.19/evm.utg3159.12/evm.utg149521.3/evm.utg2338.18/evm.utg2129.202/evm.utg4194.18/evm.utg381.50/evm.utg4501.15/evm.utg2115.15/evm.utg92.148/evm.utg1925.21/evm.utg92.119/evm.utg1243.12/evm.utg16036.27/evm.utg2581.2/evm.utg1900.25/evm.utg4194.25/evm.utg470.50/evm.utg225.60/evm.utg207.124/evm.utg1140.13/evm.utg7286.58"
"GSEA","additive","biological_processes","GO:1903706","regulation of hemopoiesis","BP_3","GO:0002244","hematopoietic progenitor cell differentiation",0.0487819947620271,NA,NA,57,NA,-1.77337827342467,"evm.utg415.70/evm.utg625.110/evm.utg190.1/evm.utg858.19/evm.utg16036.16/evm.utg7264.7/evm.utg4383.28/evm.utg56.47/evm.utg2817.19/evm.utg3159.12/evm.utg149521.3/evm.utg2338.18/evm.utg2129.202/evm.utg4194.18/evm.utg381.50/evm.utg4501.15/evm.utg2115.15/evm.utg92.148/evm.utg1925.21/evm.utg92.119/evm.utg1243.12/evm.utg16036.27/evm.utg2581.2/evm.utg1900.25/evm.utg4194.25/evm.utg470.50/evm.utg225.60/evm.utg207.124/evm.utg1140.13/evm.utg7286.58"
"ORA","interactive","biological_processes","GO:0002244","hematopoietic progenitor cell differentiation","BP_3","GO:0002244","hematopoietic progenitor cell differentiation",0.0372055305685901,0.0212765957446809,1,NA,90.8936170212766,NA,"evm.utg2129.169"
"ORA","diesel_only","biological_processes","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","BP_12","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.0330095041902714,0.5,1,NA,60.3389830508475,NA,"evm.utg376.57"
"GSEA","additive","biological_processes","GO:0034765","regulation of monoatomic ion transmembrane transport","BP_17","GO:0034755","iron ion transmembrane transport",0.0487819947620271,NA,NA,110,NA,1.89028258197175,"evm.utg14902.29/evm.utg280.17/evm.utg53212.1/evm.utg816.25/evm.utg280.28/evm.utg9902.8/evm.utg3722.2/evm.utg53212.2/evm.utg3722.4/evm.utg6035.4/evm.utg8494.92/evm.utg695.1/evm.utg4605.73/evm.utg2487.9/evm.utg3722.3/evm.utg4898.5/evm.utg18019.8/evm.utg12724.17/evm.utg6035.5/evm.utg2246.33/evm.utg1910.19/evm.utg280.29/evm.utg1049.14/evm.utg12724.16/evm.utg3884.38/evm.utg332.9/evm.utg6035.3/evm.utg300.52/evm.utg344.4/evm.utg10628.24/evm.utg1354.19/evm.utg332.2/evm.utg1205.59/evm.utg2012.11/utg1919.equina_smart_1883335.mrna1/evm.utg4028.7/evm.utg17511.15"
"ORA","interactive","biological_processes","GO:0034755","iron ion transmembrane transport","BP_17","GO:0034755","iron ion transmembrane transport",0.0280547752808987,0.0425531914893617,2,NA,53.4668335419274,NA,"evm.utg203.11/evm.utg4898.16"
"ORA","salinity_only","biological_processes","GO:0034755","iron ion transmembrane transport","BP_17","GO:0034755","iron ion transmembrane transport",0.00653616595349384,0.00392772977219167,10,NA,4.93507693729495,NA,"evm.utg126.34/evm.utg203.11/evm.utg221.1/evm.utg1109.13/evm.utg1109.14/evm.utg2969.37/utg3013.equina_smart_858792.mrna1/evm.utg4898.16/evm.utg7938.1/evm.utg36717.8"
"GSEA","salinity_only","biological_processes","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","BP_6","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen",0.0380697237616025,NA,NA,15,NA,-1.97277362720079,"evm.utg7652.38/evm.utg356.13/evm.utg3878.12/evm.utg234.61/evm.utg14.77/evm.utg6183.29/evm.utg7652.39/evm.utg77.61/evm.utg77.64/evm.utg6183.30/evm.utg910.169"
