"experiment","ontology","region","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","n_unique_genes","n_dmr_features","contributing_genes","methDiff_values","semantic_cluster_description","significance"
"Primed Experiment","Biological process","three_prime_UTR","GO:0060271","cilium assembly","1/1","1/18",0.0555555555555556,0.0555555555555556,NA,1,1,1,"evm.utg1032.43","1.039346696","cilium assembly","."
"Primed Experiment","Biological process","downstream_region","GO:0071705","nitrogen compound transport","1/2","1/14",0.142857142857143,0.285714285714286,0.285714285714286,1,1,1,"evm.utg2353.42","-0.759013283","transmembrane transport","ns"
"Primed Experiment","Biological process","downstream_region","GO:0015074","DNA integration","1/2","3/14",0.395604395604396,0.395604395604396,0.395604395604396,1,1,1,"evm.utg3839.77","-2.051282051","RNA metabolic process","ns"
"Primed Experiment","Biological process","exon","GO:0007154","cell communication","5/7","13/235",4.45301057899902e-06,2.67180634739942e-05,2.34368977842054e-05,5,5,5,"evm.utg268.25; evm.utg268.25.1.5c22edff; evm.utg268.25.2.5c22edff; evm.utg268.25.3.5c22edff; evm.utg268.25.3.5c22edff.1.5c2792b6","-1.730103806; -1.730103806; -1.730103806; -1.730103806; -1.730103806","cell communication","***"
"Primed Experiment","Biological process","exon","GO:0007411","axon guidance","1/7","3/235",0.0870867664585134,0.174173532917027,0.15278380080441,1,1,1,"utg4321.evm.utg13237.7.mrna4","-0.307692308","axon guidance","ns"
"Primed Experiment","Biological process","exon","GO:0070593","dendrite self-avoidance","1/7","3/235",0.0870867664585134,0.174173532917027,0.15278380080441,1,1,1,"utg4321.evm.utg13237.7.mrna4","-0.307692308","dendrite self-avoidance","ns"
"Primed Experiment","Biological process","exon","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","1/7","8/235",0.217810430887429,0.326715646331144,0.286592672220302,1,1,1,"utg4321.evm.utg13237.7.mrna4","-0.307692308","cell adhesion","ns"
"Primed Experiment","Biological process","exon","GO:0006310","DNA recombination","1/7","17/235",0.413004526359738,0.495605431631685,0.434741606694461,1,1,1,"evm.utg4977.3","-0.436893204","RNA metabolic process","ns"
"Primed Experiment","Biological process","exon","GO:0015074","DNA integration","1/7","22/235",0.502154876953836,0.502154876953836,0.440486734170032,1,1,1,"evm.utg4977.3","-0.436893204","RNA metabolic process","ns"
"Primed Experiment","Biological process","gene","GO:0006508","proteolysis","3/16","9/153",0.0536769119598193,0.167320261437909,0.167320261437909,3,3,4,"evm.utg579.116; utg5074.evm.utg7286.34.mrna4; utg579.evm.utg11123.1.6.5c22e8a4.mrna3","-1.701323251; -2.572347267; -0.643500644; -0.643500644","proteolysis","ns"
"Primed Experiment","Biological process","gene","GO:0000724","double-strand break repair via homologous recombination","1/16","1/153",0.104575163398693,0.167320261437909,0.167320261437909,1,1,1,"evm.utg43451.17","-3.041825095","RNA metabolic process","ns"
"Primed Experiment","Biological process","gene","GO:0006366","transcription by RNA polymerase II","1/16","1/153",0.104575163398693,0.167320261437909,0.167320261437909,1,1,1,"evm.utg1127.12","-2.637877102","positive regulation of transcription by RNA polymerase II","ns"
"Primed Experiment","Biological process","gene","GO:0007399","nervous system development","1/16","1/153",0.104575163398693,0.167320261437909,0.167320261437909,1,1,1,"evm.utg1828.1","-0.414937759","kidney development","ns"
"Primed Experiment","Biological process","gene","GO:0016070","RNA metabolic process","1/16","1/153",0.104575163398693,0.167320261437909,0.167320261437909,1,1,1,"evm.utg2606.44","-0.586206897","RNA metabolic process","ns"
"Primed Experiment","Biological process","gene","GO:0016573","histone acetylation","1/16","1/153",0.104575163398693,0.167320261437909,0.167320261437909,1,1,1,"evm.utg320.52","-1.041293593","protein phosphorylation","ns"
"Primed Experiment","Biological process","gene","GO:0030198","extracellular matrix organization","1/16","1/153",0.104575163398693,0.167320261437909,0.167320261437909,1,1,1,"utg579.evm.utg11123.1.6.5c22e8a4.mrna3","-0.643500644","extracellular matrix organization","ns"
"Primed Experiment","Biological process","gene","GO:0030574","collagen catabolic process","1/16","1/153",0.104575163398693,0.167320261437909,0.167320261437909,1,1,1,"utg579.evm.utg11123.1.6.5c22e8a4.mrna3","-0.643500644","collagen catabolic process","ns"
"Primed Experiment","Biological process","gene","GO:0034440","lipid oxidation","1/16","1/153",0.104575163398693,0.167320261437909,0.167320261437909,1,1,1,"evm.utg1818.18","-2.395209581","fatty acid beta-oxidation","ns"
"Primed Experiment","Biological process","gene","GO:0045944","positive regulation of transcription by RNA polymerase II","1/16","1/153",0.104575163398693,0.167320261437909,0.167320261437909,1,1,1,"evm.utg320.52","-1.041293593","positive regulation of transcription by RNA polymerase II","ns"
