"","contrast","ontology","term","original_GO_ID","original_GO_term","p.adjust","geneID","gene","lfc","method"
"23","salinity_only","biological_processes","iron ion transmembrane transport","GO:0034755","iron ion transmembrane transport",0.00653616595349384,"evm.utg126.34/evm.utg203.11/evm.utg221.1/evm.utg1109.13/evm.utg1109.14/evm.utg2969.37/utg3013.equina_smart_858792.mrna1/evm.utg4898.16/evm.utg7938.1/evm.utg36717.8","evm.utg203.11",-2.42359513068004,"ORA"
"24","salinity_only","biological_processes","iron ion transmembrane transport","GO:0034755","iron ion transmembrane transport",0.00653616595349384,"evm.utg126.34/evm.utg203.11/evm.utg221.1/evm.utg1109.13/evm.utg1109.14/evm.utg2969.37/utg3013.equina_smart_858792.mrna1/evm.utg4898.16/evm.utg7938.1/evm.utg36717.8","evm.utg221.1",-3.42713840432247,"ORA"
"25","salinity_only","biological_processes","iron ion transmembrane transport","GO:0034755","iron ion transmembrane transport",0.00653616595349384,"evm.utg126.34/evm.utg203.11/evm.utg221.1/evm.utg1109.13/evm.utg1109.14/evm.utg2969.37/utg3013.equina_smart_858792.mrna1/evm.utg4898.16/evm.utg7938.1/evm.utg36717.8","evm.utg1109.13",0.941358127528825,"ORA"
"26","salinity_only","biological_processes","iron ion transmembrane transport","GO:0034755","iron ion transmembrane transport",0.00653616595349384,"evm.utg126.34/evm.utg203.11/evm.utg221.1/evm.utg1109.13/evm.utg1109.14/evm.utg2969.37/utg3013.equina_smart_858792.mrna1/evm.utg4898.16/evm.utg7938.1/evm.utg36717.8","evm.utg1109.14",1.03866949615081,"ORA"
"27","salinity_only","biological_processes","iron ion transmembrane transport","GO:0034755","iron ion transmembrane transport",0.00653616595349384,"evm.utg126.34/evm.utg203.11/evm.utg221.1/evm.utg1109.13/evm.utg1109.14/evm.utg2969.37/utg3013.equina_smart_858792.mrna1/evm.utg4898.16/evm.utg7938.1/evm.utg36717.8","evm.utg2969.37",-1.87807316708694,"ORA"
"28","salinity_only","biological_processes","iron ion transmembrane transport","GO:0034755","iron ion transmembrane transport",0.00653616595349384,"evm.utg126.34/evm.utg203.11/evm.utg221.1/evm.utg1109.13/evm.utg1109.14/evm.utg2969.37/utg3013.equina_smart_858792.mrna1/evm.utg4898.16/evm.utg7938.1/evm.utg36717.8","utg3013.equina_smart_858792.mrna1",-3.54033023522364,"ORA"
"29","salinity_only","biological_processes","iron ion transmembrane transport","GO:0034755","iron ion transmembrane transport",0.00653616595349384,"evm.utg126.34/evm.utg203.11/evm.utg221.1/evm.utg1109.13/evm.utg1109.14/evm.utg2969.37/utg3013.equina_smart_858792.mrna1/evm.utg4898.16/evm.utg7938.1/evm.utg36717.8","evm.utg4898.16",-3.87000645742636,"ORA"
"30","salinity_only","biological_processes","iron ion transmembrane transport","GO:0034755","iron ion transmembrane transport",0.00653616595349384,"evm.utg126.34/evm.utg203.11/evm.utg221.1/evm.utg1109.13/evm.utg1109.14/evm.utg2969.37/utg3013.equina_smart_858792.mrna1/evm.utg4898.16/evm.utg7938.1/evm.utg36717.8","evm.utg7938.1",-1.15222839280502,"ORA"
"31","salinity_only","biological_processes","iron ion transmembrane transport","GO:0034755","iron ion transmembrane transport",0.00653616595349384,"evm.utg126.34/evm.utg203.11/evm.utg221.1/evm.utg1109.13/evm.utg1109.14/evm.utg2969.37/utg3013.equina_smart_858792.mrna1/evm.utg4898.16/evm.utg7938.1/evm.utg36717.8","evm.utg36717.8",0.801262864086795,"ORA"
"32","salinity_only","biological_processes","negative regulation of Wnt signaling pathway","GO:0030178","negative regulation of Wnt signaling pathway",0.0221020361244507,"evm.utg145.77/evm.utg207.14/evm.utg324.18/evm.utg324.199/evm.utg2200.45/evm.utg2814.19/evm.utg3470.1/evm.utg3872.40/utg3872.equina_smart_1074056.mrna2/evm.utg4177.54","evm.utg145.77",-1.85551887283245,"ORA"
"33","salinity_only","biological_processes","negative regulation of Wnt signaling pathway","GO:0030178","negative regulation of Wnt signaling pathway",0.0221020361244507,"evm.utg145.77/evm.utg207.14/evm.utg324.18/evm.utg324.199/evm.utg2200.45/evm.utg2814.19/evm.utg3470.1/evm.utg3872.40/utg3872.equina_smart_1074056.mrna2/evm.utg4177.54","evm.utg207.14",-1.28377463713795,"ORA"
"34","salinity_only","biological_processes","negative regulation of Wnt signaling pathway","GO:0030178","negative regulation of Wnt signaling pathway",0.0221020361244507,"evm.utg145.77/evm.utg207.14/evm.utg324.18/evm.utg324.199/evm.utg2200.45/evm.utg2814.19/evm.utg3470.1/evm.utg3872.40/utg3872.equina_smart_1074056.mrna2/evm.utg4177.54","evm.utg324.18",-1.745193812458,"ORA"
"35","salinity_only","biological_processes","negative regulation of Wnt signaling pathway","GO:0030178","negative regulation of Wnt signaling pathway",0.0221020361244507,"evm.utg145.77/evm.utg207.14/evm.utg324.18/evm.utg324.199/evm.utg2200.45/evm.utg2814.19/evm.utg3470.1/evm.utg3872.40/utg3872.equina_smart_1074056.mrna2/evm.utg4177.54","evm.utg324.199",0.883794562175721,"ORA"
"36","salinity_only","biological_processes","negative regulation of Wnt signaling pathway","GO:0030178","negative regulation of Wnt signaling pathway",0.0221020361244507,"evm.utg145.77/evm.utg207.14/evm.utg324.18/evm.utg324.199/evm.utg2200.45/evm.utg2814.19/evm.utg3470.1/evm.utg3872.40/utg3872.equina_smart_1074056.mrna2/evm.utg4177.54","evm.utg2200.45",-1.70331146355622,"ORA"
"37","salinity_only","biological_processes","negative regulation of Wnt signaling pathway","GO:0030178","negative regulation of Wnt signaling pathway",0.0221020361244507,"evm.utg145.77/evm.utg207.14/evm.utg324.18/evm.utg324.199/evm.utg2200.45/evm.utg2814.19/evm.utg3470.1/evm.utg3872.40/utg3872.equina_smart_1074056.mrna2/evm.utg4177.54","evm.utg2814.19",-1.01069974135078,"ORA"
"38","salinity_only","biological_processes","negative regulation of Wnt signaling pathway","GO:0030178","negative regulation of Wnt signaling pathway",0.0221020361244507,"evm.utg145.77/evm.utg207.14/evm.utg324.18/evm.utg324.199/evm.utg2200.45/evm.utg2814.19/evm.utg3470.1/evm.utg3872.40/utg3872.equina_smart_1074056.mrna2/evm.utg4177.54","evm.utg3470.1",-1.14179351675738,"ORA"
"39","salinity_only","biological_processes","negative regulation of Wnt signaling pathway","GO:0030178","negative regulation of Wnt signaling pathway",0.0221020361244507,"evm.utg145.77/evm.utg207.14/evm.utg324.18/evm.utg324.199/evm.utg2200.45/evm.utg2814.19/evm.utg3470.1/evm.utg3872.40/utg3872.equina_smart_1074056.mrna2/evm.utg4177.54","evm.utg3872.40",0.815685344305771,"ORA"
"40","salinity_only","biological_processes","negative regulation of Wnt signaling pathway","GO:0030178","negative regulation of Wnt signaling pathway",0.0221020361244507,"evm.utg145.77/evm.utg207.14/evm.utg324.18/evm.utg324.199/evm.utg2200.45/evm.utg2814.19/evm.utg3470.1/evm.utg3872.40/utg3872.equina_smart_1074056.mrna2/evm.utg4177.54","utg3872.equina_smart_1074056.mrna2",1.50098410830048,"ORA"
"41","salinity_only","biological_processes","negative regulation of Wnt signaling pathway","GO:0030178","negative regulation of Wnt signaling pathway",0.0221020361244507,"evm.utg145.77/evm.utg207.14/evm.utg324.18/evm.utg324.199/evm.utg2200.45/evm.utg2814.19/evm.utg3470.1/evm.utg3872.40/utg3872.equina_smart_1074056.mrna2/evm.utg4177.54","evm.utg4177.54",-0.595640483323748,"ORA"
"42","salinity_only","molecular_functions","peptidase inhibitor activity","GO:0030414","peptidase inhibitor activity",0.000111603208016661,"evm.utg8.10/evm.utg52.99/evm.utg104.63/evm.utg334.78/utg334.equina_smart_1340223.mrna2/evm.utg379.46/evm.utg413.23/evm.utg413.26/evm.utg544.11/evm.utg544.14/evm.utg580.6/evm.utg580.26/evm.utg616.126/evm.utg616.127/evm.utg738.8/evm.utg912.49/evm.utg1609.5/evm.utg1800.5/evm.utg1819.3/evm.utg2858.29/evm.utg5073.2/evm.utg5689.7/evm.utg5689.8/evm.utg8615.4/evm.utg9740.7/evm.utg14703.2/evm.utg15552.12/evm.utg19074.8/utg19074.equina_smart_1694011.mrna2/evm.utg20736.15/evm.utg32458.10/evm.utg37512.1","evm.utg8.10",-1.13089598451466,"ORA"
