"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","context","GO","region","experiment"
"GO:0006659","phosphatidylserine biosynthetic process",0.25,0.000234082397003745,0.2,1068,32.6557852324104,0.000936066586401441,0.00280819975920432,NA,"utg5417.equina_smart_1738001.mrna6",1,"CHH","Biological Processes","promoter","Primed Experiment"
"GO:0071705","nitrogen compound transport",0.25,0.000795880149812734,0.0588235294117647,314.117647058824,17.6752176661291,0.00317994511692499,0.00476991767538748,NA,"evm.utg2353.44",1,"CpG","Biological Processes","promoter","Primed Experiment"
"GO:0005975","carbohydrate metabolic process",0.25,0.0111423220973783,0.00420168067226891,22.436974789916,4.55139946415978,0.0438329249955345,0.0438329249955345,NA,"evm.utg4428.1",1,"CHG","Biological Processes","promoter","Primed Experiment"
"GO:0043531","ADP binding",0.333333333333333,0.00306854119046874,0.0204081632653061,108.62925170068,14.6276066857925,0.000138685386618128,0.000693426933090639,NA,"evm.utg33757.21",2,"CHH","Molecular Functions","promoter","Primed Experiment"
"GO:0043531","ADP binding",0.333333333333333,0.00306854119046874,0.0204081632653061,108.62925170068,14.6276066857925,0.000138685386618128,0.000693426933090639,NA,"evm.utg33757.22",2,"CHH","Molecular Functions","promoter","Primed Experiment"
"GO:0106245","L-serine-phosphatidylethanolamine phosphatidyltransferase activity",0.166666666666667,0.000156558224003507,0.2,1064.56666666667,32.6021532535878,0.000939055245921194,0.00234763811480299,NA,"utg5417.equina_smart_1738001.mrna6",1,"CHH","Molecular Functions","promoter","Primed Experiment"
"GO:0030247","polysaccharide binding",0.166666666666667,0.000594921251213326,0.0526315789473684,280.149122807018,16.6841796618666,0.00356450136842745,0.00581030520768433,NA,"evm.utg4428.1",1,"CHG","Molecular Functions","promoter","Primed Experiment"
"GO:0004563","beta-N-acetylhexosaminidase activity",0.166666666666667,0.000970660988821743,0.032258064516129,171.704301075269,13.0346314263396,0.00581030520768433,0.00581030520768433,NA,"evm.utg4428.1",1,"CHG","Molecular Functions","promoter","Primed Experiment"
"GO:0102148","N-acetyl-beta-D-galactosaminidase activity",0.166666666666667,0.000970660988821743,0.032258064516129,171.704301075269,13.0346314263396,0.00581030520768433,0.00581030520768433,NA,"evm.utg4428.1",1,"CHG","Molecular Functions","promoter","Primed Experiment"
