"experiment","ontology","region","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","n_unique_genes","n_dmr_features","contributing_genes","methDiff_values","semantic_cluster_description","significance"
"Acute Experiment","Biological process","dispersed_repeat","GO:0034765","regulation of monoatomic ion transmembrane transport","1/12","2/298",0.0790454884414615,0.184439473030077,0.15254392506247,1,1,1,"evm.utg816.25","12.35521236","regulation of monoatomic ion transmembrane transport","ns"
"Acute Experiment","Biological process","dispersed_repeat","GO:0051301","cell division","1/12","2/298",0.0790454884414615,0.184439473030077,0.15254392506247,1,1,1,"evm.utg10470.24","1.834862385","cell communication","ns"
"Acute Experiment","Biological process","dispersed_repeat","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","1/12","3/298",0.116381482153294,0.203667593768265,0.168446882063979,1,1,1,"evm.utg9625.4","1.086956522","cell adhesion","ns"
"Acute Experiment","Biological process","dispersed_repeat","GO:0008380","RNA splicing","1/12","3/298",0.116381482153294,0.203667593768265,0.168446882063979,1,1,2,"evm.utg1032.34","1.066924846; 1.066924846","RNA metabolic process","ns"
"Acute Experiment","Biological process","dispersed_repeat","GO:0007154","cell communication","1/12","5/298",0.186924254176477,0.261693955847068,0.216438610099078,1,1,1,"evm.utg268.25.1.5c22edff","0.513833992","cell communication","ns"
"Acute Experiment","Biological process","dispersed_repeat","GO:0030433","ubiquitin-dependent ERAD pathway","1/12","5/298",0.186924254176477,0.261693955847068,0.216438610099078,1,1,3,"evm.utg24440.2","-2.034428795; -2.034428795; -2.034428795","positive regulation of ERAD pathway","ns"
"Acute Experiment","Biological process","dispersed_repeat","GO:0006470","protein dephosphorylation","1/12","6/298",0.22022428472215,0.271675236067131,0.224693804266048,1,1,2,"evm.utg989.44.45.2.5c2798c8","-1.589638331; -1.589638331","protein phosphorylation","ns"
"Acute Experiment","Biological process","dispersed_repeat","GO:0006397","mRNA processing","1/12","7/298",0.252269862062336,0.271675236067131,0.224693804266048,1,1,2,"evm.utg1032.34","1.066924846; 1.066924846","RNA metabolic process","ns"
"Acute Experiment","Biological process","dispersed_repeat","GO:0030154","cell differentiation","1/12","7/298",0.252269862062336,0.271675236067131,0.224693804266048,1,1,1,"evm.utg1569.8","-0.954979536","dendrite self-avoidance","ns"
"Acute Experiment","Biological process","dispersed_repeat","GO:0015074","DNA integration","1/12","33/298",0.762294245821275,0.762294245821275,0.63046892511534,1,1,3,"evm.utg1256.23","-0.782441252; -0.782441252; -0.782441252","RNA metabolic process","ns"
"Acute Experiment","Molecular function","three_prime_UTR","GO:0035368","selenocysteine insertion sequence binding","1/1","1/16",0.0625,0.0625,NA,1,1,1,"evm.utg7127.52.1.5c22f377.1.5c279739","-0.851598764","nucleic acid binding","."
"Acute Experiment","Molecular function","exon","GO:0005044","scavenger receptor activity","2/4","4/225",0.00141151721869211,0.00846910331215265,0.00742903799311636,2,2,3,"evm.utg363.1; evm.utg9625.2","-2.108963093; -1.901140684; -1.141552511","scavenger receptor activity","**"
"Acute Experiment","Molecular function","exon","GO:0004540","RNA nuclease activity","1/4","4/225",0.0696910715969011,0.209073214790703,0.18339755683395,1,1,1,"evm.utg2661.21","-0.856327307","RNA nuclease activity","ns"
"Acute Experiment","Molecular function","exon","GO:0004672","protein kinase activity","1/4","7/225",0.11951884620046,0.239037692400921,0.209682186316597,1,1,1,"evm.utg2661.21","-0.856327307","protein serine/threonine kinase activity","ns"
"Acute Experiment","Molecular function","exon","GO:0005509","calcium ion binding","1/4","11/225",0.182809481486612,0.274214222229917,0.240538791429752,1,1,1,"evm.utg363.1","-1.141552511","metal ion binding","ns"
"Acute Experiment","Molecular function","exon","GO:0008270","zinc ion binding","1/4","17/225",0.271270437638151,0.325524525165781,0.28554782909279,1,1,2,"evm.utg3906.20","-2.631578947; -2.355072464","metal ion binding","ns"
"Acute Experiment","Molecular function","exon","GO:0005524","ATP binding","1/4","26/225",0.390249464711348,0.390249464711348,0.34232409185206,1,1,1,"evm.utg2661.21","-0.856327307","nucleotide binding","ns"
"Acute Experiment","Molecular function","gene","GO:0035368","selenocysteine insertion sequence binding","2/24","4/813",0.0048372987662867,0.120932469157167,0.096745975325734,2,2,2,"evm.utg7127.52; utg7127.equina_smart_1282991.mrna2","-3.080892396; -3.080892396","nucleic acid binding","ns"
"Acute Experiment","Molecular function","gene","GO:0003724","RNA helicase activity","1/24","1/813",0.029520295202952,0.1230012300123,0.0984009840098399,1,1,1,"evm.utg1571.14","-0.954979536","RNA helicase activity","ns"
"Acute Experiment","Molecular function","gene","GO:0003857","3-hydroxyacyl-CoA dehydrogenase activity","1/24","1/813",0.029520295202952,0.1230012300123,0.0984009840098399,1,1,1,"evm.utg11814.7","-2.763800327","3-hydroxyacyl-CoA dehydrogenase activity","ns"
"Acute Experiment","Molecular function","gene","GO:0004300","enoyl-CoA hydratase activity","1/24","1/813",0.029520295202952,0.1230012300123,0.0984009840098399,1,1,1,"evm.utg11814.7","-2.763800327","enoyl-CoA hydratase activity","ns"
"Acute Experiment","Molecular function","gene","GO:0004721","phosphoprotein phosphatase activity","1/24","1/813",0.029520295202952,0.1230012300123,0.0984009840098399,1,1,1,"evm.utg6459.27","-1.271571299","phosphoprotein phosphatase activity","ns"
