"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","gene_id_labelling","Count","geneID_gene_level","dmr_feature_id","region_feature","context","methDiff","p_fdr","n_unique_genes_for_term","n_dmr_features_for_term","GO","region","experiment","GeneRatio_raw","BgRatio_raw"
"GO:0006397","mRNA processing",0.111111111111111,0.0209125475285171,0.181818181818182,5.31313131313131,2.71875114122586,0.0506936957341879,0.101387391468376,0.0586979634816913,"evm.utg1032.34",2,"evm.utg2661.21/evm.utg1032.34","exp1__gene__evm.utg1032.34__14629","gene","CHH",0.759296997,0.025055526,2,2,"Biological Processes","gene","Acute Experiment","2/18","11/526"
"GO:0046416","D-amino acid metabolic process",0.0555555555555556,0.00380228136882129,0.5,14.6111111111111,3.62682818191555,0.0673329712112986,0.112221618685498,0.0649704108179197,"evm.utg35662.1",1,"evm.utg35662.1","exp1__gene__evm.utg35662.1__4150","gene","CpG",-1.724137931,0.030262681,1,1,"Biological Processes","gene","Acute Experiment","1/18","2/526"
"GO:0051607","defense response to virus",0.0555555555555556,0.00380228136882129,0.5,14.6111111111111,3.62682818191555,0.0673329712112986,0.112221618685498,0.0649704108179197,"evm.utg1571.14",1,"evm.utg1571.14","exp1__gene__evm.utg1571.14__3751","gene","CpG",-0.954979536,0.049259963,1,1,"Biological Processes","gene","Acute Experiment","1/18","2/526"
"GO:0001822","kidney development",0.0555555555555556,0.00570342205323194,0.333333333333333,9.74074074074074,2.8552363885673,0.0993711515895362,0.152878694753133,0.0885087180149716,"evm.utg512.80",1,"evm.utg512.80","exp1__gene__evm.utg512.80__15669","gene","CHH",-2.519379845,0.097939042,1,1,"Biological Processes","gene","Acute Experiment","1/18","3/526"
"GO:0008380","RNA splicing",0.0555555555555556,0.00760456273764259,0.25,7.30555555555556,2.38068616820233,0.130367937959304,0.186239911370434,0.107823106582883,"evm.utg1032.34",1,"evm.utg1032.34","exp1__gene__evm.utg1032.34__14629","gene","CHH",0.759296997,0.025055526,1,1,"Biological Processes","gene","Acute Experiment","1/18","4/526"
"GO:0006325","chromatin organization",0.0555555555555556,0.0133079847908745,0.142857142857143,4.17460317460317,1.5901527162183,0.217424563961604,0.289899418615472,0.167836505514221,"evm.utg4428.2",1,"evm.utg4428.2","exp1__gene__evm.utg4428.2__4327","gene","CpG",4.08340657,0.093112178,1,1,"Biological Processes","gene","Acute Experiment","1/18","7/526"
"GO:0016310","phosphorylation",0.0555555555555556,0.0228136882129278,0.0833333333333333,2.43518518518519,0.945803799464477,0.344495574869953,0.430619468587441,0.249306008129571,"evm.utg162.19",1,"evm.utg162.19","exp1__gene__evm.utg162.19__3759","gene","CpG",-0.840727496,0.022309193,1,1,"Biological Processes","gene","Acute Experiment","1/18","12/526"
"GO:0006468","protein phosphorylation",0.111111111111111,0.0741444866920152,0.0512820512820513,1.4985754985755,0.608531134693146,0.391512478538895,0.460602915928112,0.266664846063644,"evm.utg116.142",2,"evm.utg116.142/evm.utg2661.21","exp1__gene__evm.utg116.142__8287","gene","CHG",-2.764976959,0.011207233,2,3,"Biological Processes","gene","Acute Experiment","2/18","39/526"
"GO:0006468","protein phosphorylation",0.111111111111111,0.0741444866920152,0.0512820512820513,1.4985754985755,0.608531134693146,0.391512478538895,0.460602915928112,0.266664846063644,"evm.utg116.142",2,"evm.utg116.142/evm.utg2661.21","exp1__gene__evm.utg116.142__14681","gene","CHH",-1.025641026,0.001101447,2,3,"Biological Processes","gene","Acute Experiment","2/18","39/526"
"GO:0006468","protein phosphorylation",0.111111111111111,0.0741444866920152,0.0512820512820513,1.4985754985755,0.608531134693146,0.391512478538895,0.460602915928112,0.266664846063644,"evm.utg2661.21",2,"evm.utg116.142/evm.utg2661.21","exp1__gene__evm.utg2661.21__8712","gene","CHG",-0.856327307,0.034308825,2,3,"Biological Processes","gene","Acute Experiment","2/18","39/526"
