"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","gene_id_labelling","Count","geneID_gene_level","dmr_feature_id","region_feature","context","methDiff","p_fdr","n_unique_genes_for_term","n_dmr_features_for_term","GO","region","experiment","GeneRatio_raw","BgRatio_raw"
"GO:0006508","proteolysis",0.1875,0.0588235294117647,0.333333333333333,3.1875,2.30414376008818,0.0536769119598193,0.167320261437909,0.167320261437909,"utg5074.evm.utg7286.34.mrna4",3,"utg5074.evm.utg7286.34.mrna4/evm.utg579.116/utg579.evm.utg11123.1.6.5c22e8a4.mrna3","exp2__gene__utg5074.evm.utg7286.34.mrna4__5887","gene","CpG",-1.701323251,0.0062511,3,4,"Biological Processes","gene","Primed Experiment","3/16","9/153"
"GO:0006508","proteolysis",0.1875,0.0588235294117647,0.333333333333333,3.1875,2.30414376008818,0.0536769119598193,0.167320261437909,0.167320261437909,"utg5074.evm.utg7286.34.mrna4",3,"utg5074.evm.utg7286.34.mrna4/evm.utg579.116/utg579.evm.utg11123.1.6.5c22e8a4.mrna3","exp2__gene__utg5074.evm.utg7286.34.mrna4__5893","gene","CpG",-2.572347267,0.089681931,3,4,"Biological Processes","gene","Primed Experiment","3/16","9/153"
"GO:0006508","proteolysis",0.1875,0.0588235294117647,0.333333333333333,3.1875,2.30414376008818,0.0536769119598193,0.167320261437909,0.167320261437909,"evm.utg579.116",3,"utg5074.evm.utg7286.34.mrna4/evm.utg579.116/utg579.evm.utg11123.1.6.5c22e8a4.mrna3","exp2__gene__evm.utg579.116__12275","gene","CHG",-0.643500644,0.086817633,3,4,"Biological Processes","gene","Primed Experiment","3/16","9/153"
"GO:0006508","proteolysis",0.1875,0.0588235294117647,0.333333333333333,3.1875,2.30414376008818,0.0536769119598193,0.167320261437909,0.167320261437909,"utg579.evm.utg11123.1.6.5c22e8a4.mrna3",3,"utg5074.evm.utg7286.34.mrna4/evm.utg579.116/utg579.evm.utg11123.1.6.5c22e8a4.mrna3","exp2__gene__utg579.evm.utg11123.1.6.5c22e8a4.mrna3__12276","gene","CHG",-0.643500644,0.086817633,3,4,"Biological Processes","gene","Primed Experiment","3/16","9/153"
"GO:0000724","double-strand break repair via homologous recombination",0.0625,0.0065359477124183,1,9.5625,2.92617497767991,0.104575163398693,0.167320261437909,0.167320261437909,"evm.utg43451.17",1,"evm.utg43451.17","exp2__gene__evm.utg43451.17__5762","gene","CpG",-3.041825095,0.008102343,1,1,"Biological Processes","gene","Primed Experiment","1/16","1/153"
"GO:0006366","transcription by RNA polymerase II",0.0625,0.0065359477124183,1,9.5625,2.92617497767991,0.104575163398693,0.167320261437909,0.167320261437909,"evm.utg1127.12",1,"evm.utg1127.12","exp2__gene__evm.utg1127.12__20204","gene","CHH",-2.637877102,0.024881072,1,1,"Biological Processes","gene","Primed Experiment","1/16","1/153"
"GO:0007399","nervous system development",0.0625,0.0065359477124183,1,9.5625,2.92617497767991,0.104575163398693,0.167320261437909,0.167320261437909,"evm.utg1828.1",1,"evm.utg1828.1","exp2__gene__evm.utg1828.1__11460","gene","CHG",-0.414937759,0.038906857,1,1,"Biological Processes","gene","Primed Experiment","1/16","1/153"
"GO:0016070","RNA metabolic process",0.0625,0.0065359477124183,1,9.5625,2.92617497767991,0.104575163398693,0.167320261437909,0.167320261437909,"evm.utg2606.44",1,"evm.utg2606.44","exp2__gene__evm.utg2606.44__20934","gene","CHH",-0.586206897,0.004131364,1,1,"Biological Processes","gene","Primed Experiment","1/16","1/153"
"GO:0016573","histone acetylation",0.0625,0.0065359477124183,1,9.5625,2.92617497767991,0.104575163398693,0.167320261437909,0.167320261437909,"evm.utg320.52",1,"evm.utg320.52","exp2__gene__evm.utg320.52__21105","gene","CHH",-1.041293593,0.068365712,1,1,"Biological Processes","gene","Primed Experiment","1/16","1/153"
"GO:0030198","extracellular matrix organization",0.0625,0.0065359477124183,1,9.5625,2.92617497767991,0.104575163398693,0.167320261437909,0.167320261437909,"utg579.evm.utg11123.1.6.5c22e8a4.mrna3",1,"utg579.evm.utg11123.1.6.5c22e8a4.mrna3","exp2__gene__utg579.evm.utg11123.1.6.5c22e8a4.mrna3__12276","gene","CHG",-0.643500644,0.086817633,1,1,"Biological Processes","gene","Primed Experiment","1/16","1/153"
