"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","GO","contrast"
"GO:0004180","GO:0004180","carboxypeptidase activity",45,-0.577568260176609,-1.86881860624902,0.00214377633590428,0.0327413113119926,0.0272844260933272,3085,"tags=36%, list=7%, signal=33%","utg55.equina_smart_1394313.mrna1/evm.utg3181.9/evm.utg150.27/evm.utg34383.1/evm.utg2426.41/evm.utg418.65/evm.utg86.84/evm.utg729.131/evm.utg34639.5/evm.utg686.41/evm.utg116.2/evm.utg2099.41/evm.utg116.4/evm.utg116.3/evm.utg4773.8/evm.utg3871.5","molecular_functions","salinity_only"
"GO:0004842...25","GO:0004842","ubiquitin-protein transferase activity",335,0.324120763644348,1.48069841991837,0.00236944068032663,0.0346144377647716,0.0288453648039764,7782,"tags=23%, list=18%, signal=19%","evm.utg5059.68/evm.utg9902.9/evm.utg695.2/evm.utg5246.28/evm.utg7595.3/evm.utg2672.9/evm.utg2487.30/evm.utg622.33/utg1721.equina_smart_1426908.mrna5/evm.utg298.48/evm.utg12336.21/evm.utg37289.5/evm.utg1253.33/evm.utg11814.6/evm.utg622.40/evm.utg2672.8/evm.utg21873.17/evm.utg25080.5/evm.utg4695.36/evm.utg8851.30/evm.utg3787.42/evm.utg378.109/evm.utg48.55/evm.utg7595.2/evm.utg715.37/evm.utg2071.12/evm.utg379.53/evm.utg214.68/evm.utg21873.18/evm.utg3522.46/evm.utg8181.3/evm.utg344.51/evm.utg344.52/evm.utg622.32/evm.utg37289.6/evm.utg301.58/evm.utg625.2/evm.utg420.29/evm.utg334.70/evm.utg3834.9/evm.utg9668.25/evm.utg298.49/evm.utg7548.14/evm.utg31363.13/evm.utg7.9/evm.utg2013.4/evm.utg17181.16/evm.utg1748.31/evm.utg370.49/evm.utg12336.22/evm.utg464.204/evm.utg9141.1/evm.utg1972.95/evm.utg15585.20/evm.utg1517.22/evm.utg2327.21/evm.utg1143.15/evm.utg1734.31/evm.utg1172.4/evm.utg344.50/evm.utg3092.27/evm.utg2932.43/evm.utg2291.11/evm.utg6070.24/evm.utg5885.68/utg370.equina_smart_1065012.mrna5/evm.utg989.37/evm.utg225.23/evm.utg2371.66/evm.utg771.2/evm.utg1734.32/evm.utg936.41/evm.utg55.115/evm.utg101.27/evm.utg320.10/utg17181.equina_smart_1065012.mrna7","molecular_functions","salinity_only"
"GO:0006310...26","GO:0006310","DNA recombination",462,-0.444164642244585,-1.94676401272852,1.78143026983603e-05,0.00766015016029494,0.00705071348903525,11992,"tags=43%, list=28%, signal=31%","evm.utg6669.7/evm.utg24075.3/evm.utg1825.11/evm.utg25155.6/evm.utg3474.18/evm.utg2012.27/evm.utg27529.1/evm.utg3164.11/evm.utg691.23/evm.utg8851.47/evm.utg61244.8/utg1579.equina_smart_1454938.mrna2/utg20618.evm.utg116.337.mrna3/evm.utg107.5/evm.utg2801.13/evm.utg1825.14/evm.utg7840.3/evm.utg16130.8/evm.utg20813.27/evm.utg389.81/evm.utg92.170/evm.utg225.113/evm.utg27318.14/evm.utg4163.10/evm.utg483.50/evm.utg13320.3/evm.utg540.43/evm.utg2690.15/evm.utg5294.39/evm.utg1517.20/evm.utg2071.34/evm.utg4737.26/evm.utg24075.2/evm.utg3443.51/evm.utg338.55/evm.utg1465.25/evm.utg12230.1/evm.utg1648.47/utg594.evm.utg648.3.mrna11/evm.utg1579.3/evm.utg6829.5/evm.utg262.19/evm.utg7148.6/evm.utg1648.6/evm.utg464.38/evm.utg77.22/evm.utg594.7/evm.utg3158.55/evm.utg15197.16/evm.utg891.33/evm.utg27529.5/evm.utg530.23/evm.utg8851.52/evm.utg186.20/evm.utg55.138/evm.utg24075.4/evm.utg1982.18/evm.utg125.55/evm.utg3380.37/evm.utg3197.14/evm.utg505.52/evm.utg31.37/evm.utg2427.2/evm.utg2601.11/evm.utg101.34/evm.utg1221.6/evm.utg5417.8/evm.utg435.18/utg16223.equina_smart_99644.mrna1/evm.utg372.50/evm.utg29151.3/evm.utg125632.2/evm.utg214.78/evm.utg5068.7/evm.utg8851.94/evm.utg4613.46/evm.utg498.139/utg162.evm.utg648.3.mrna9/evm.utg2601.10/evm.utg77.114/evm.utg3487.2/evm.utg6401.5/utg62.evm.utg648.3.mrna8/utg4303.equina_smart_1435511.mrna1/utg14287.equina_smart_1752363utrorf.mrna1/evm.utg501.24/evm.utg3235.22/evm.utg173190.4/evm.utg219.4/utg8851.evm.utg648.3.mrna12/evm.utg494.22/evm.utg7840.68/evm.utg5390.63/evm.utg5414.44/evm.utg3164.1/utg411.evm.utg648.3.mrna7/evm.utg699.32/evm.utg379.92/utg4303.equina_smart_1454938.mrna1/evm.utg144.23/evm.utg5390.64/evm.utg3870.10/evm.utg896.39/evm.utg4610.42/evm.utg10069.5/evm.utg3284.6/evm.utg27529.3/evm.utg20813.6/evm.utg10868.12/evm.utg4163.9/evm.utg6821.3/evm.utg4605.50/evm.utg180.8/evm.utg2083.13/evm.utg13.42/evm.utg5246.22/evm.utg882.12/evm.utg4613.48/evm.utg936.37/utg40828.equina_smart_1497833.mrna1/evm.utg3090.2/evm.utg389.80/evm.utg24075.5/evm.utg173190.1/evm.utg359.34/evm.utg379.44/evm.utg1101.47/evm.utg1101.44/evm.utg225.46/evm.utg27.91/evm.utg415.31/evm.utg15197.15/evm.utg22414.5/evm.utg13474.6/evm.utg1825.15/evm.utg1079.4/evm.utg936.33/evm.utg8609.17/evm.utg464.21/evm.utg936.35/evm.utg27.92/evm.utg2526.5/evm.utg86.15/evm.utg3487.1/evm.utg3013.46/utg10282.equina_smart_1467605utrorf.mrna1/evm.utg2526.3/evm.utg888.73/evm.utg1910.110/evm.utg320.57/evm.utg888.71/evm.utg55.201/evm.utg1819.48/evm.utg7616.19/evm.utg2159.2/evm.utg16835.3/evm.utg637.29/evm.utg700.33/evm.utg1204.39/evm.utg7840.36/evm.utg1452.5/evm.utg8792.21/evm.utg268.22/evm.utg1995.14/evm.utg483.51/evm.utg6423.20/evm.utg102448.4/evm.utg1654.9/evm.utg505.22/evm.utg483.47/evm.utg15716.7/evm.utg36089.3/evm.utg31.89/evm.utg107084.2/evm.utg438.10/evm.utg3090.41/evm.utg78.108/evm.utg625.95/evm.utg1910.108/evm.utg2798.27/evm.utg1056.146/evm.utg456.36/evm.utg3164.27/evm.utg13793.33/evm.utg2073.4/evm.utg4652.22/evm.utg15585.23/evm.utg1022.10/evm.utg67002.1/evm.utg33828.4/evm.utg888.70/evm.utg5059.5/evm.utg438.11/evm.utg7286.7/evm.utg78.109/evm.utg24075.8/evm.utg888.65/evm.utg4977.3/evm.utg1910.100/evm.utg67002.5","biological_processes","diesel_added"
"GO:0006094","GO:0006094","gluconeogenesis",14,0.799945550630166,2.14797150137371,6.64321978330537e-05,0.0142829225341065,0.0131465823080148,4064,"tags=57%, list=10%, signal=52%","evm.utg276.53/evm.utg438.31/evm.utg7950.38/evm.utg4187.43/evm.utg2201.12/evm.utg1781.24/evm.utg3024.3/evm.utg3024.4","biological_processes","diesel_added"
"GO:0006730","GO:0006730","one-carbon metabolic process",24,0.685164213230346,2.0947029823749,0.000289203154522228,0.041452452148186,0.038154521438722,3401,"tags=42%, list=8%, signal=38%","evm.utg564.96/evm.utg505.31/evm.utg483.9/evm.utg7217.57/evm.utg483.10/evm.utg564.95/evm.utg209.14/evm.utg483.8/evm.utg5652.39/evm.utg5652.40","biological_processes","diesel_added"
"GO:0051015","GO:0051015","actin filament binding",89,0.557999502898131,2.172346553973,3.02686796361429e-06,0.0010170276357744,0.000873012444242438,7979,"tags=47%, list=19%, signal=38%","evm.utg622.89/evm.utg801.66/evm.utg13994.14/evm.utg11411.8/evm.utg3117.2/evm.utg868.14/evm.utg2757.30/evm.utg21228.2/evm.utg1192.19/evm.utg1972.74/evm.utg590.3/evm.utg564.36/evm.utg1192.17/evm.utg7821.35/evm.utg4082.44/evm.utg162.48/evm.utg15585.4/evm.utg167.3/evm.utg1683.64/evm.utg209.1/evm.utg1009.28/evm.utg2849.24/evm.utg3884.50/evm.utg910.188/evm.utg301.86/evm.utg381.74/evm.utg7522.5/evm.utg9875.20/evm.utg302.19/evm.utg109.34/evm.utg12655.49/evm.utg1530.22/evm.utg3872.1/evm.utg798.76/evm.utg4303.3/evm.utg4610.10/evm.utg3041.34/evm.utg109.69/evm.utg5854.2/evm.utg801.68/evm.utg11341.3/evm.utg16223.31","molecular_functions","diesel_added"
"GO:0008157","GO:0008157","protein phosphatase 1 binding",10,0.873437350852745,2.07101217802474,1.71648449000189e-05,0.00288369394320317,0.00247535131716062,2083,"tags=60%, list=5%, signal=57%","evm.utg18.25/evm.utg19396.5/evm.utg18.21/evm.utg18.20/evm.utg18.26/evm.utg217.28","molecular_functions","diesel_added"
"GO:0020037","GO:0020037","heme binding",182,0.480055572568894,2.07505088483118,6.38805034344499e-05,0.00715461638465839,0.00614149401439975,6342,"tags=31%, list=15%, signal=27%","evm.utg4271.29/evm.utg910.98/evm.utg12986.46/evm.utg1931.67/evm.utg33682.14/evm.utg4271.28/evm.utg10156.22/evm.utg44408.4/evm.utg62.72/evm.utg47.12/evm.utg15013.9/evm.utg116.44/evm.utg10358.8/evm.utg24438.11/evm.utg6392.11/evm.utg572.7/evm.utg1972.129/evm.utg1194.3/evm.utg8792.16/evm.utg1032.16/evm.utg1204.18/evm.utg4856.19/evm.utg192.57/evm.utg255.25/evm.utg3876.24/evm.utg1708.32/evm.utg684.21/utg4271.evm.utg2986.11.mrna2/evm.utg378.146/evm.utg9657.7/evm.utg408.4/evm.utg101.173/evm.utg1925.57/evm.utg3876.26/evm.utg209.56/evm.utg125.5/evm.utg1988.22/evm.utg370.45/evm.utg401.9/evm.utg73.44/evm.utg1754.49/evm.utg2601.98/evm.utg26697.7/evm.utg40512.14/evm.utg1073.4/evm.utg572.10/evm.utg8.27/evm.utg101.172/evm.utg1846.87/evm.utg15164.48/evm.utg101.118/evm.utg4187.49/evm.utg101.171/evm.utg107.58/evm.utg699.113/evm.utg12655.39/evm.utg1272.165","molecular_functions","diesel_added"
"GO:0003924","GO:0003924","GTPase activity",326,0.380081904984998,1.75191974083069,0.000220172846513989,0.018494519107175,0.0158756210381139,6901,"tags=31%, list=16%, signal=26%","evm.utg514.15/evm.utg116.291/evm.utg10541.3/evm.utg1272.62/evm.utg420.132/evm.utg56.4/evm.utg14876.3/evm.utg405.37/evm.utg1102.20/evm.utg116.364/evm.utg279.33/evm.utg12197.15/evm.utg4567.24/evm.utg418.60/evm.utg7.14/evm.utg498.29/evm.utg2129.200/evm.utg14.37/evm.utg1455.19/evm.utg4.20/evm.utg77.24/evm.utg16050.14/evm.utg470.8/evm.utg590.16/evm.utg2350.7/evm.utg12975.1/evm.utg86.26/evm.utg16443.2/evm.utg2817.16/evm.utg4567.33/evm.utg1846.35/evm.utg1925.63/evm.utg1919.113/evm.utg8494.90/evm.utg4972.20/evm.utg1354.3/evm.utg356.108/evm.utg6035.10/evm.utg6958.21/evm.utg4174.2/evm.utg1663.37/evm.utg194.90/evm.utg1799.1/evm.utg52.66/evm.utg219.31/evm.utg192.3/evm.utg1031.19/evm.utg7840.14/evm.utg7289.46/evm.utg4610.7/evm.utg1455.9/evm.utg2099.35/evm.utg5513.9/evm.utg924.67/evm.utg1091.38/evm.utg3201.11/evm.utg8672.10/evm.utg924.68/evm.utg320.63/evm.utg18.6/evm.utg6924.5/evm.utg1745.6/evm.utg910.62/evm.utg1272.141/evm.utg286.25/evm.utg7821.1/evm.utg18036.3/evm.utg1819.17/evm.utg1565.104/evm.utg6894.6/evm.utg3509.8/utg2969.equina_smart_124203.mrna2/evm.utg279.37/evm.utg190.45/evm.utg5950.62/evm.utg1754.6/evm.utg3201.27/evm.utg15664.6/evm.utg734.49/evm.utg5950.52/evm.utg1272.142/evm.utg924.74/evm.utg1031.20/evm.utg1363.21/evm.utg1623.10/evm.utg3201.28/evm.utg5815.4/evm.utg4567.23/evm.utg1177.10/evm.utg597.9/evm.utg1432.2/evm.utg12975.2/evm.utg1337.8/evm.utg279.32/evm.utg18.4/evm.utg378.53/evm.utg1363.53/evm.utg1087.5/evm.utg180.70/evm.utg2353.18","molecular_functions","diesel_added"
"GO:0004386","GO:0004386","helicase activity",201,-0.494961102309039,-2.00474403670063,0.000284927047284364,0.0191470975775092,0.0164357917801928,6706,"tags=26%, list=16%, signal=22%","evm.utg16036.45/evm.utg3235.22/evm.utg597.236/evm.utg494.22/evm.utg126.139/evm.utg7821.23/evm.utg1127.62/evm.utg699.32/evm.utg3677.35/evm.utg78.18/evm.utg14533.14/evm.utg1127.63/evm.utg26219.2/evm.utg125.71/evm.utg10114.17/evm.utg10321.4/evm.utg26219.3/evm.utg936.39/evm.utg9285.33/evm.utg1272.102/evm.utg1337.10/evm.utg10385.10/evm.utg5454.2/evm.utg18409.2/evm.utg431.25/evm.utg5960.4/evm.utg788.40/evm.utg55.201/evm.utg5975.26/evm.utg1972.73/evm.utg435.52/utg109.equina_smart_295906.mrna1/evm.utg1463.26/evm.utg1127.64/evm.utg88612.6/evm.utg15716.7/evm.utg4593.14/evm.utg432.62/evm.utg52.125/evm.utg498.165/evm.utg736.11/evm.utg1565.86/evm.utg2969.4/utg579.evm.utg52.125.mrna3/evm.utg3222.9/evm.utg648.20/evm.utg2969.3/evm.utg109.49/evm.utg594.45/evm.utg594.46/evm.utg2969.2/evm.utg11411.7","molecular_functions","diesel_added"
"GO:0004867","GO:0004867","serine-type endopeptidase inhibitor activity",98,0.552712383656764,2.17704422395408,0.000423606618622843,0.0211824806539409,0.0181829564510645,6756,"tags=29%, list=16%, signal=24%","evm.utg14533.12/evm.utg14913.15/evm.utg14913.16/evm.utg59616.3/evm.utg14533.21/evm.utg14533.20/evm.utg52.106/evm.utg417.47/evm.utg59616.2/evm.utg59616.1/evm.utg7066.37/evm.utg152.8/evm.utg7977.5/evm.utg54553.2/evm.utg14533.19/evm.utg54553.1/evm.utg1972.76/evm.utg1919.96/evm.utg777.11/evm.utg14913.17/evm.utg36040.1/evm.utg4290.17/evm.utg14533.18/evm.utg4607.4/evm.utg777.10/evm.utg2379.7/evm.utg1005.1/evm.utg7596.6","molecular_functions","diesel_added"
"GO:0016705","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",129,0.488199385566952,2.01991500346443,0.000515228950576211,0.0211824806539409,0.0181829564510645,6342,"tags=29%, list=15%, signal=25%","evm.utg4271.29/evm.utg910.98/evm.utg12986.46/evm.utg61244.7/evm.utg1931.67/evm.utg33682.14/evm.utg4271.28/evm.utg10156.22/evm.utg15013.9/evm.utg116.44/evm.utg417.19/evm.utg6392.11/evm.utg572.7/evm.utg1972.129/evm.utg1194.3/evm.utg8792.16/evm.utg293.91/evm.utg255.25/evm.utg1708.32/evm.utg684.21/evm.utg9657.7/evm.utg101.173/evm.utg1925.57/evm.utg580.48/evm.utg209.56/evm.utg125.5/evm.utg401.9/evm.utg73.44/evm.utg40512.14/evm.utg1073.4/evm.utg572.10/evm.utg8.27/evm.utg101.172/evm.utg15164.48/evm.utg101.171/evm.utg1270.30/evm.utg699.113/evm.utg1272.165","molecular_functions","diesel_added"
"GO:0140662...36","GO:0140662","ATP-dependent protein folding chaperone",48,0.555953675302498,1.92021598694071,0.000546973356305849,0.0211824806539409,0.0181829564510645,6968,"tags=46%, list=17%, signal=38%","evm.utg3155.45/evm.utg19612.5/evm.utg2801.49/evm.utg2818.25/evm.utg3155.40/evm.utg1056.108/evm.utg1056.109/evm.utg3092.51/evm.utg14533.3/evm.utg3155.44/evm.utg798.21/evm.utg2108.14/evm.utg129.13/evm.utg125.72/evm.utg405.9/evm.utg637.4/evm.utg577.82/evm.utg109891.3/evm.utg432.9/evm.utg280.41/evm.utg2246.95/evm.utg2129.128","molecular_functions","diesel_added"
"GO:0005525...37","GO:0005525","GTP binding",500,0.331190463563169,1.56737990211431,0.000567387874659131,0.0211824806539409,0.0181829564510645,9734,"tags=34%, list=23%, signal=26%","evm.utg7168.12/evm.utg514.15/evm.utg7168.17/evm.utg116.291/evm.utg276.53/evm.utg10541.3/evm.utg1272.62/evm.utg438.31/evm.utg2969.16/evm.utg420.132/evm.utg56.4/evm.utg300.55/evm.utg14876.3/evm.utg405.37/evm.utg5885.30/evm.utg1102.20/evm.utg116.364/evm.utg279.33/evm.utg12197.15/evm.utg4567.24/evm.utg418.60/evm.utg7.14/evm.utg498.29/evm.utg2129.200/evm.utg14.37/evm.utg1455.19/evm.utg4.20/evm.utg77.24/evm.utg16050.14/evm.utg280.52/evm.utg470.8/evm.utg62.48/evm.utg590.16/evm.utg2350.7/evm.utg12975.1/evm.utg62.49/evm.utg86.26/evm.utg16443.2/evm.utg2817.16/evm.utg1846.35/evm.utg1925.63/evm.utg693.46/evm.utg1919.113/evm.utg8494.90/evm.utg401.64/utg415.equina_smart_746959.mrna1/evm.utg861.122/evm.utg4972.20/evm.utg1354.3/evm.utg356.108/evm.utg6035.10/evm.utg438.3/evm.utg6958.21/evm.utg4174.2/evm.utg1663.37/evm.utg5885.31/evm.utg194.90/evm.utg1799.1/evm.utg52.66/evm.utg219.31/evm.utg262.53/evm.utg192.3/evm.utg1031.19/evm.utg7840.14/evm.utg1919.103/evm.utg7289.46/evm.utg1455.9/evm.utg2099.35/evm.utg8931.2/evm.utg2674.17/evm.utg5513.9/evm.utg924.67/evm.utg1091.38/evm.utg3201.11/evm.utg714.18/evm.utg8672.10/evm.utg924.68/evm.utg320.63/evm.utg18.6/evm.utg6924.5/evm.utg280.72/evm.utg1745.6/evm.utg910.62/evm.utg1272.141/evm.utg286.25/evm.utg868.104/evm.utg7821.1/evm.utg18036.3/evm.utg1819.17/evm.utg1565.104/evm.utg6894.6/evm.utg693.45/evm.utg3509.8/utg2969.equina_smart_124203.mrna2/evm.utg279.37/evm.utg190.45/evm.utg5950.62/evm.utg1754.6/evm.utg3201.27/evm.utg15664.6/evm.utg734.49/evm.utg262.10.11/evm.utg5950.52/evm.utg1272.142/evm.utg924.74/evm.utg1031.20/evm.utg1363.21/evm.utg1623.10/evm.utg3201.28/evm.utg5815.4/evm.utg4567.23/evm.utg1177.10/evm.utg1686.10.11/evm.utg597.9/evm.utg1432.2/evm.utg12975.2/evm.utg1337.8/evm.utg31304.4/evm.utg401.65/evm.utg279.32/evm.utg18.4/evm.utg378.53/evm.utg1363.53/evm.utg1087.5/evm.utg180.70/evm.utg1265.3/evm.utg2353.18/evm.utg2994.26/evm.utg4187.5/evm.utg279.36/evm.utg817.5/evm.utg4576.45/evm.utg1265.4/evm.utg217.42/evm.utg62.50/evm.utg73.138/evm.utg338.22/evm.utg411.114/evm.utg470.42/evm.utg762.12/evm.utg1127.38/evm.utg15156.12/evm.utg7855.19/evm.utg5513.8/evm.utg435.41/evm.utg1272.140/evm.utg320.116/evm.utg8931.1/evm.utg5815.6/evm.utg868.19/evm.utg172.25/evm.utg2818.88/evm.utg3797.10/utg2200.equina_smart_78118.mrna1/evm.utg785.11/utg438.evm.utg438.3.mrna2/evm.utg577.45/evm.utg370.22/evm.utg868.18/evm.utg436.2/evm.utg23510.11/evm.utg146.12/evm.utg256.16/evm.utg693.34/evm.utg2100.20/evm.utg3553.5/evm.utg625.38/evm.utg286.23/evm.utg45942.6/evm.utg2674.43","molecular_functions","diesel_added"
"GO:0016491...38","GO:0016491","oxidoreductase activity",319,0.374739360170933,1.73195559468992,0.000860709017281279,0.028919822980651,0.0248246600773758,9074,"tags=34%, list=22%, signal=27%","evm.utg2426.24/evm.utg280.54/evm.utg2426.22/evm.utg324.214/evm.utg1455.32/evm.utg116.1/evm.utg7680.15/evm.utg709.15/evm.utg8792.44/evm.utg408.25/evm.utg1507.10/evm.utg3201.13/evm.utg6806.23/evm.utg7127.19/evm.utg1455.31/evm.utg20618.1/evm.utg160.24/evm.utg3380.9/evm.utg160.26/evm.utg5059.57/evm.utg7931.7/evm.utg709.8/evm.utg408.44/evm.utg2601.95/utg7950.equina_smart_1791395.mrna2/evm.utg910.65/evm.utg7127.21/evm.utg3876.24/evm.utg4709.31/evm.utg258.5/evm.utg888.58/evm.utg1005.73/evm.utg6806.25/evm.utg4796.17/evm.utg62950.1/evm.utg116.78/evm.utg7931.6/evm.utg160.25/evm.utg116.119/evm.utg4.53/evm.utg4567.11/evm.utg4172.35/evm.utg3876.26/evm.utg5885.72/evm.utg194.23/evm.utg78.60/evm.utg5578.4/evm.utg526.25/evm.utg3790.23/evm.utg2674.7/evm.utg597.25/evm.utg4172.6/evm.utg4155.25/evm.utg14876.8/evm.utg4155.26/evm.utg861.31/evm.utg11618.16/evm.utg844.8/evm.utg3550.12/evm.utg3499.9/evm.utg4155.27/evm.utg3571.1/evm.utg7931.8/evm.utg280.55/evm.utg116.121/evm.utg1005.56/evm.utg3019.10/evm.utg1221.17/evm.utg3201.30/evm.utg699.29/evm.utg8792.17/evm.utg194.76/evm.utg12382.14/evm.utg2115.18/utg9409.equina_smart_222342.mrna1/evm.utg258.4/evm.utg2674.8/evm.utg715.36/evm.utg3235.18/evm.utg203.108/evm.utg7652.45/evm.utg324.97/evm.utg7950.42/evm.utg8792.43/evm.utg8792.53/evm.utg2007.16/evm.utg785.12/evm.utg97204.7/evm.utg376.26/evm.utg3019.11/evm.utg2704.47/evm.utg6959.21/evm.utg1022.15/evm.utg160.22/evm.utg415.26/evm.utg1270.31/evm.utg924.61/evm.utg6958.34/evm.utg1278.30/utg1005.equina_smart_1427756.mrna1/evm.utg20678.16/evm.utg324.146/evm.utg729.130/evm.utg1781.18/evm.utg1277.44/evm.utg3872.48/evm.utg7264.13","molecular_functions","diesel_added"
"GO:0004497","GO:0004497","monooxygenase activity",99,0.553445139898837,2.18415564962375,0.00146139667061283,0.036058064576295,0.030952098038549,6342,"tags=36%, list=15%, signal=31%","evm.utg4271.29/evm.utg910.98/evm.utg12986.46/evm.utg1931.67/evm.utg33682.14/evm.utg4271.28/evm.utg10156.22/evm.utg15013.9/evm.utg116.44/evm.utg6392.11/evm.utg572.7/evm.utg1972.129/evm.utg1194.3/evm.utg8792.16/evm.utg1056.58/evm.utg160.18/evm.utg255.25/evm.utg1708.32/evm.utg684.21/evm.utg9657.7/evm.utg101.173/evm.utg1925.57/evm.utg209.56/evm.utg125.5/evm.utg401.9/evm.utg73.44/evm.utg40512.14/evm.utg1073.4/evm.utg572.10/evm.utg8.27/evm.utg101.172/evm.utg15164.48/evm.utg101.171/evm.utg699.113/evm.utg1056.59/evm.utg1272.165","molecular_functions","diesel_added"
"GO:0016746","GO:0016746","acyltransferase activity",57,0.52890169050162,1.89881526680108,0.00150241935734563,0.036058064576295,0.030952098038549,5749,"tags=35%, list=14%, signal=30%","evm.utg4661.5/evm.utg1507.13/evm.utg729.164/evm.utg378.135/evm.utg2255.7/evm.utg209.53/evm.utg666.17/evm.utg7289.4/evm.utg351.17/evm.utg1507.12/evm.utg162.9/evm.utg55869.4/evm.utg1507.14/evm.utg1507.18/evm.utg977.37/evm.utg2690.8/evm.utg7909.6/evm.utg1507.16/evm.utg15197.2/evm.utg3522.47","molecular_functions","diesel_added"
"GO:0004842...41","GO:0004842","ubiquitin-protein transferase activity",335,-0.397442087319661,-1.70187595169171,0.00135634403408949,0.036058064576295,0.030952098038549,10631,"tags=37%, list=25%, signal=28%","evm.utg3197.25/evm.utg1517.22/evm.utg359.37/evm.utg344.50/evm.utg1345.53/evm.utg1253.93/evm.utg3339.12/evm.utg219.24/evm.utg3022.1/evm.utg3339.17/evm.utg144.60/utg262.equina_smart_1065002.mrna1/evm.utg12336.22/evm.utg2901.18/evm.utg622.152/evm.utg801.109/utg464.equina_smart_1065012.mrna2/evm.utg580.70/evm.utg225.23/utg17181.equina_smart_1065012.mrna7/evm.utg389.18/evm.utg3158.34/evm.utg21873.17/evm.utg344.51/utg2071.equina_smart_1065012.mrna6/evm.utg9902.9/evm.utg24438.25/evm.utg910.156/evm.utg56.67/evm.utg12336.30/evm.utg1931.10/evm.utg750.9/evm.utg376.50/evm.utg1708.35/evm.utg408.5/evm.utg1056.116/evm.utg2371.66/utg370.equina_smart_1065012.mrna5/utg3092.equina_smart_1065012.mrna10/evm.utg464.137/evm.utg152.74/evm.utg707.11/evm.utg3158.28/evm.utg3787.42/evm.utg2526.24/evm.utg276.19/evm.utg8181.3/evm.utg2929.8/evm.utg2932.43/evm.utg801.111/evm.utg107.20/evm.utg115.12/evm.utg3158.33/evm.utg344.52/evm.utg6155.14/evm.utg801.108/evm.utg144.59/evm.utg3339.14/evm.utg1024.9/evm.utg3787.26/evm.utg920.22/evm.utg3522.46/evm.utg622.157/utg622.equina_smart_923814.mrna1/evm.utg3522.12/evm.utg7.9/evm.utg1734.31/evm.utg12336.21/evm.utg3019.59/evm.utg301.58/evm.utg4398.5/evm.utg2246.38/evm.utg1172.4/evm.utg888.10/evm.utg3834.9/evm.utg3827.17/evm.utg50879.6/evm.utg11814.13/evm.utg1290.9/evm.utg2123.42/evm.utg9141.1/evm.utg1972.95/evm.utg3155.10/evm.utg700.9/evm.utg467.16/evm.utg13.18/evm.utg13.19/evm.utg2487.33/evm.utg3339.13/evm.utg55566.3/evm.utg5885.68/evm.utg12644.9/evm.utg7595.2/evm.utg15585.20/evm.utg2097.5/evm.utg1931.9/utg1721.equina_smart_1426908.mrna5/evm.utg7888.2/evm.utg1272.49/evm.utg17181.16/evm.utg3339.4/evm.utg1721.22/evm.utg3339.3/evm.utg320.10/evm.utg20925.11/evm.utg1799.9/evm.utg10530.6/evm.utg695.2/evm.utg2672.9/evm.utg5960.19/evm.utg1799.8/evm.utg2672.8/evm.utg3678.1/evm.utg17181.15/evm.utg194.33/evm.utg8851.30/evm.utg1143.15/evm.utg1253.33/evm.utg7595.3/evm.utg1381.34/evm.utg2327.21/evm.utg1748.31/evm.utg31363.13","molecular_functions","diesel_added"
