"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","GO","contrast"
"GO:0004177","GO:0004177","aminopeptidase activity",44,-0.642992574463015,-2.0737668266175,2.70115737252738e-05,0.00100843208574356,0.000840360071452964,7198,"tags=48%, list=17%, signal=40%","evm.utg7909.11/evm.utg55.74/evm.utg7164.3/evm.utg19727.9/evm.utg564.9/evm.utg19727.8/evm.utg3013.38/evm.utg7909.20/evm.utg2338.4/utg3013.evm.utg19727.9.mrna2/evm.utg381.62/evm.utg1201.1/evm.utg910.145/evm.utg4455.75/evm.utg3872.63/evm.utg7909.17/evm.utg54.38/evm.utg7909.12/evm.utg7909.14/evm.utg109.59/evm.utg4455.76","molecular_functions","salinity_only"
"GO:0005044...12","GO:0005044","scavenger receptor activity",330,-0.369007424462399,-1.59327062682146,0.000235733009148815,0.00792062910740019,0.00660052425616683,6971,"tags=28%, list=17%, signal=24%","evm.utg6677.6/evm.utg49.1/evm.utg5059.8/evm.utg2838.8/evm.utg363.1/evm.utg9625.1/evm.utg579.54/evm.utg160.23/evm.utg13.50/evm.utg32914.6/utg2200.equina_smart_1442540.mrna1/utg388.equina_smart_563588.mrna1/evm.utg388.17/evm.utg1285.29/evm.utg2200.2/utg858.evm.utg79231.1.mrna2/evm.utg5059.9/evm.utg54.8/evm.utg24783.3/evm.utg15664.4/utg13.equina_smart_1393279.mrna2/evm.utg25070.5/evm.utg858.1/evm.utg5059.3/evm.utg190.80/evm.utg858.72/evm.utg109.116/evm.utg2704.29/evm.utg5059.6/evm.utg6446.8/evm.utg577.68/utg2200.equina_smart_14340.mrna2/evm.utg24783.6/evm.utg17602.1/evm.utg1358.31/evm.utg5059.10/evm.utg6446.13/evm.utg8851.75/evm.utg1765.4/utg388.equina_smart_1411185.mrna1/evm.utg5370.2/evm.utg1569.8/utg9625.equina_smart_1466841.mrna1/evm.utg5370.3/evm.utg3790.31/utg388.equina_smart_1411195.mrna1/evm.utg4605.5/evm.utg15664.3/utg2200.equina_smart_1442500.mrna1/evm.utg577.79/evm.utg1475.1/evm.utg108328.3/evm.utg577.94/evm.utg5059.1/utg10588.equina_smart_375340.mrna1/evm.utg6401.64/evm.utg13.51/evm.utg9625.2/evm.utg17602.2/evm.utg536.31/evm.utg2704.30/evm.utg10588.23/evm.utg54.10/evm.utg5176.8/evm.utg1765.2/utg9625.equina_smart_1466841utrorf.mrna1/evm.utg388.13/evm.utg9472.6/evm.utg2123.45/evm.utg572.21/evm.utg2969.38/evm.utg2858.6/evm.utg300.24/evm.utg236.6/evm.utg8851.76/utg54.equina_smart_1393700.mrna1/evm.utg577.97/evm.utg1765.1/evm.utg1052.13/evm.utg19356.9/evm.utg26093.4/evm.utg116.316/evm.utg2200.4/evm.utg338.89/evm.utg1285.28/evm.utg15506.27/evm.utg26093.3/evm.utg1330.23/evm.utg54.9/evm.utg4796.28/utg236.evm.utg19356.5.mrna2/evm.utg7148.9/evm.utg324.92/evm.utg8851.77","molecular_functions","salinity_only"
"GO:0036374","GO:0036374","glutathione hydrolase activity",18,-0.755921652273692,-2.02419494461081,0.000370077071660828,0.0113041723707308,0.00942014364227563,5644,"tags=61%, list=13%, signal=53%","evm.utg5390.9/evm.utg435.30/evm.utg34666.13/evm.utg5390.10/evm.utg3906.6/evm.utg8820.12/evm.utg13496.6/evm.utg18028.6/evm.utg12986.49/evm.utg12986.48/evm.utg1972.127","molecular_functions","salinity_only"
"GO:0004104","GO:0004104","cholinesterase activity",34,-0.647100801070451,-1.98657666997048,0.000579173976480692,0.0162168713414594,0.0135140594512161,8305,"tags=47%, list=20%, signal=38%","evm.utg8497.7/evm.utg347.4/evm.utg8497.4/evm.utg180.28/evm.utg4455.18/evm.utg347.7/evm.utg347.6/evm.utg180.22/evm.utg4455.16/evm.utg8497.6/evm.utg8497.16/evm.utg4455.17/evm.utg180.24/evm.utg4455.12/evm.utg347.3/evm.utg180.26","molecular_functions","salinity_only"
"GO:0005179...15","GO:0005179","hormone activity",32,-0.670261446904864,-2.02455907536236,0.000707676886737911,0.0182907256879952,0.0152422714066627,6172,"tags=50%, list=15%, signal=43%","evm.utg1698.17/evm.utg1475.16/evm.utg320.153/evm.utg2858.20/utg320.equina_smart_1044949.mrna1/utg18622.equina_smart_1724947.mrna2/evm.utg2426.34/utg2757.equina_smart_959052.mrna1/evm.utg2858.22/utg320.equina_smart_558272.mrna1/evm.utg101.175/evm.utg2757.81/evm.utg18622.1/evm.utg625.97/evm.utg324.120/evm.utg750.15","molecular_functions","salinity_only"
"GO:0005200...16","GO:0005200","structural constituent of cytoskeleton",46,0.609637603862201,2.07750641758794,0.000829835965963354,0.0199160631831205,0.0165967193192671,9007,"tags=50%, list=21%, signal=39%","utg693.equina_smart_1421073.mrna1/evm.utg1363.6/utg1363.equina_smart_1433367.mrna1/evm.utg693.2/evm.utg1363.5/evm.utg693.3/utg31304.equina_smart_1477688.mrna1/evm.utg693.4/evm.utg31304.3/evm.utg18.5/evm.utg693.6/evm.utg31304.1/evm.utg693.5/evm.utg1277.42/evm.utg1575.28/evm.utg31304.2/evm.utg1363.3/utg2969.equina_smart_124203.mrna2/evm.utg338.64/evm.utg378.53/evm.utg788.102/evm.utg31304.4/evm.utg262.10.11","molecular_functions","salinity_only"
"GO:0008200","GO:0008200","ion channel inhibitor activity",46,-0.55903399890953,-1.82086449936442,0.000916808629993738,0.0205365133118597,0.0171137610932164,11003,"tags=52%, list=26%, signal=39%","evm.utg1497.9/evm.utg125.162/evm.utg245.69/utg5033.equina_smart_1457175.mrna1/evm.utg4605.36/evm.utg6445.1/evm.utg5059.48/utg144.equina_smart_1400019.mrna1/utg2156.equina_smart_1400709.mrna2/utg2156.equina_smart_1442310.mrna1/utg144.equina_smart_1238220.mrna1/evm.utg579.59/utg245.equina_smart_826176.mrna1/utg2156.equina_smart_428150.mrna1/utg9284.equina_smart_1466336.mrna1/utg2156.equina_smart_1726560.mrna2/utg144.equina_smart_1389976.mrna1/utg2156.equina_smart_270287.mrna1/utg9284.equina_smart_1466335.mrna1/utg6781.equina_smart_1461350.mrna1/utg6781.equina_smart_1389976.mrna2/utg4062.equina_smart_1466336.mrna2/utg2156.equina_smart_934493.mrna1/evm.utg2007.2","molecular_functions","salinity_only"
"GO:0004198","GO:0004198","calcium-dependent cysteine-type endopeptidase activity",11,0.812502407349826,1.96407133883498,0.000997509891223393,0.0209477077156912,0.0174564230964094,3010,"tags=55%, list=7%, signal=51%","evm.utg2483.62/evm.utg2483.61/evm.utg2083.44/evm.utg55.47/evm.utg1919.1/evm.utg2070.2","molecular_functions","salinity_only"
"GO:0042813","GO:0042813","Wnt receptor activity",10,-0.821197274660591,-1.88970433840637,0.00142027790219703,0.0280713750081295,0.0233928125067746,6816,"tags=70%, list=16%, signal=59%","evm.utg6334.19/evm.utg6334.23/evm.utg686.40/evm.utg686.43/evm.utg6334.21/evm.utg729.33/evm.utg686.39","molecular_functions","salinity_only"
"GO:0005319","GO:0005319","lipid transporter activity",17,-0.716221270134025,-1.88917277034359,0.00171605526424853,0.0320330315993059,0.0266941929994216,6353,"tags=76%, list=15%, signal=65%","evm.utg245.34/evm.utg1781.46/evm.utg637.35/evm.utg60413.6/evm.utg60413.9/evm.utg637.34/evm.utg479.88/evm.utg9033.4/evm.utg172.87/evm.utg597.202/utg245.equina_smart_878845.mrna1/evm.utg597.201/evm.utg60413.3","molecular_functions","salinity_only"
"GO:0015252","GO:0015252","proton channel activity",11,-0.772576654784543,-1.8275296814702,0.00183593633780352,0.0324670847106307,0.0270559039255256,4538,"tags=91%, list=11%, signal=81%","evm.utg9401.3/evm.utg4082.49/evm.utg432.28/evm.utg9401.4/evm.utg432.27/evm.utg4290.26/evm.utg20090.4/evm.utg432.29/evm.utg4290.29/evm.utg432.26","molecular_functions","salinity_only"
"GO:0017147","GO:0017147","Wnt-protein binding",18,-0.710382817796124,-1.90225177992476,0.00210827655644872,0.0327413113119926,0.0272844260933272,6885,"tags=67%, list=16%, signal=56%","evm.utg116.234/evm.utg1724.5/evm.utg6334.19/evm.utg6334.23/evm.utg13597.12/evm.utg761.37/evm.utg686.40/evm.utg686.43/evm.utg6334.21/evm.utg2200.45/evm.utg729.33/evm.utg686.39","molecular_functions","salinity_only"
"GO:0005507","GO:0005507","copper ion binding",40,-0.591597557592152,-1.87204375397199,0.00208147071823169,0.0327413113119926,0.0272844260933272,2229,"tags=28%, list=5%, signal=26%","evm.utg1272.77/evm.utg4.53/evm.utg6851.15/evm.utg1281.3/evm.utg15506.27/evm.utg1330.23/evm.utg579.102/evm.utg7148.9/evm.utg659.16/evm.utg225.70/evm.utg194.103","molecular_functions","salinity_only"
