"","x"
"evm.TU.utg5.18",0
"evm.TU.utg5.19",0
"evm.TU.utg5.20",0
"evm.TU.utg5.21",0
"evm.TU.utg5.22",0
"evm.TU.utg5.23",0
"evm.TU.utg5.24",0
"evm.TU.utg5.25",0
"evm.TU.utg5.26",0.000897009532533556
"evm.TU.utg5.27",0
"evm.TU.utg5.28",0.0411596852160816
"evm.TU.utg5.29",0.171835571954488
"evm.TU.utg5.30",0
"evm.TU.utg5.31",0
"evm.TU.utg5.32",0
"evm.TU.utg5.33",0
"evm.TU.utg5.34",0
"evm.TU.utg5.35",0
"evm.TU.utg5.36",0.000195911165001977
"evm.TU.utg5.37",0.248410754149537
"evm.TU.utg5.38",0.642745225163226
"evm.TU.utg5.39",0.00302245334822317
"evm.TU.utg5.40",2.92416044963987
"evm.TU.utg5.41",0.446370387185017
"evm.TU.utg5.42",0
"evm.TU.utg5.43",0
"evm.TU.utg5.44",0
"evm.TU.utg5.45",0
"evm.TU.utg5.46",0.0905836159636012
"evm.TU.utg5.47",69.7109342077425
"evm.TU.utg5.48",9.61653119552442
"evm.TU.utg5.49",0
"evm.TU.utg5.50",0.000162747239064942
"evm.TU.utg5.51",0.000941280056858804
"evm.TU.utg5.52",0.530829099715154
"evm.TU.utg5.53",9.30865111763239
"evm.TU.utg5.54",29.3687314482825
"utg5.evm.utg2716.12.path6",64.4641966612636
"evm.TU.utg5.55",1.60069799729606
"tRNAscan-SE.tRNA.utg5.Pseudo(AGA).1",0.147572422289387
"evm.TU.utg5.56",1.57983504021908
"utg5.equina_smart_1391812.path1",31.5379444517369
"evm.TU.utg5.57",27372.7388972051
"evm.TU.utg5.58",0
"evm.TU.utg5.59",0.000530519026818546
"evm.TU.utg5.60",0.00301000978447286
"evm.TU.utg5.61",0.2547928987814
"evm.TU.utg5.62",0.0290323665250502
"evm.TU.utg5.63",0
"evm.TU.utg5.64",0.00284872461139954
"evm.TU.utg5.65",395.738667558533
"evm.TU.utg5.66",2.2053720134599
"evm.TU.utg5.67",0
"evm.TU.utg5.68",0
"evm.TU.utg5.69",0
"evm.TU.utg5.70",0.000908872766484138
"evm.TU.utg5.71",4.45221029267136
"evm.TU.utg5.72",2.08464934789448
"evm.TU.utg5.73",0.00529969000872462
"evm.TU.utg7.1",0.00203307341062933
"evm.TU.utg7.2",0.000382874985483415
"evm.TU.utg7.3",0.0663840262904816
"evm.TU.utg7.4",0.403781789914373
"evm.TU.utg7.5",0.0222124644615595
"evm.TU.utg7.6",2.65094984456641
"evm.TU.utg7.7",16.9439719935508
"evm.TU.utg7.8",2.1899370265659
"evm.TU.utg7.9",0.00849728088894684
"evm.TU.utg7.10",0.241283443397212
"evm.TU.utg7.11",0.083394793330486
"evm.TU.utg7.12",0.311722546418068
"evm.TU.utg7.13",44.6660119803518
"evm.TU.utg7.14",6.48108285927685
"evm.TU.utg7.15",10.2711931356122
"evm.TU.utg7.16",0.197388404704128
"utg7.equina_smart_1815377.path1",80.9893313745135
"evm.TU.utg7.17",0.22756965555701
"evm.TU.utg7.18",0.492936349110274
"evm.TU.utg7.19",126.720239487581
"evm.TU.utg7.20",0.000991647900408217
"evm.TU.utg7.21",34.9595582664702
"evm.TU.utg7.22",0.137582254178739
"tRNAscan-SE.tRNA.utg7.Pseudo(???).1",0
"evm.TU.utg7.23",0.129850364608734
"utg7.equina_smart_1617407.path6",743.984333651311
"utg7.equina_smart_1391965.path1",134.77827424709
"tRNAscan-SE.tRNA.utg7.Glu(TTC).1",0.0194063627917255
"evm.TU.utg7.24",0.0225318971442572
"utg7.equina_smart_496225.path2",165.680258978017
"utg7.equina_smart_1617407.path5",728.5137317438
"evm.TU.utg7.25",0.0106720861029727
"evm.TU.utg7.26",18.8294723462819
"evm.TU.utg7.27",0.384441545732462
"evm.TU.utg7.28",1.14089908669288
"evm.TU.utg7.29",0.339768523725227
"evm.TU.utg7.30",0.381717188718825
"evm.TU.utg7.34",0.0297760585724432
"evm.TU.utg7.31",3.55939503154539
"evm.TU.utg7.32",6.7896723482348
"evm.TU.utg7.33",6.12986667085838
"evm.TU.utg7.35",6.34780468299455
"evm.TU.utg7.36",1.39451382104503
"evm.TU.utg7.37",59.8122943591027
"evm.TU.utg7.38",201.64924278602
"evm.TU.utg7.39",0.351816206663367
"evm.TU.utg7.40",6.88859598915394
"tRNAscan-SE.tRNA.utg7.Pseudo(???).2",0
"evm.TU.utg7.41",0.00971682372053492
"evm.TU.utg7.42",0.0697650812556704
"evm.TU.utg7.43",0.0260502485237916
"evm.TU.utg7.44",0.890103852879382
"tRNAscan-SE.tRNA.utg7.Pseudo(TGC).3",0
"evm.TU.utg7.45",10.8355506342266
"evm.TU.utg7.46",21.8794362881376
"evm.TU.utg7.47",95.0475433612621
"tRNAscan-SE.tRNA.utg7.Pseudo(GTT).4",0.00541474967542304
"evm.TU.utg7.48",0.125557741795086
"evm.TU.utg7.49",0.235663725088632
"evm.TU.utg7.50",0.602392282200619
"evm.TU.utg7.51",2.81351815426568
"evm.TU.utg7.52",8.47407191468633
"tRNAscan-SE.tRNA.utg7.SeC(TCA).1",0
"tRNAscan-SE.tRNA.utg7.Pseudo(GGA).5",0.0134346332247489
"evm.TU.utg7.53",0.146489751912334
"evm.TU.utg7.54",0.200073197217316
"evm.TU.utg7.55",3.04808976855743
"utg7.equina_smart_261687.path1",0.242072190615589
"evm.TU.utg7.56",122.175238609533
"evm.TU.utg7.57",1.11836890244696
"evm.TU.utg7.58",0.0520033948577575
"evm.TU.utg7.59",5.76762048510028
"evm.TU.utg7.60",1.89487846626605
"evm.TU.utg7.61",0.0117498894805702
"evm.TU.utg7.62",0.000212138878877851
"evm.TU.utg7.63",50.8058175701667
"evm.TU.utg7.64",1.51673545772108
"evm.TU.utg7.65",0.00235884332343542
"evm.TU.utg7.66",0.000805609983590027
"evm.TU.utg7.67",0.0258386585958526
"evm.TU.utg7.68",0
"evm.TU.utg7.69",0.130602151948542
"evm.TU.utg7.70",0
"evm.TU.utg7.71",0
"evm.TU.utg7.72",0.0477641422249378
"evm.TU.utg7.73",0.0460750503272424
"evm.TU.utg7.74",914.447795036163
"evm.TU.utg7.75",0.197050522854754
"evm.TU.utg7.76",0.408426677421424
"evm.TU.utg7.77",0.0745513302220443
"evm.TU.utg7.78",0.289501744663533
"evm.TU.utg7.79",0.56963381285992
"evm.TU.utg7.80",2.18851028998951
"evm.TU.utg7.81",0.15556928559861
"utg7.equina_smart_836454.path2",6.38292931190675
"evm.TU.utg7.82",0.0233094202648144
"evm.TU.utg7.83",0.00251610073804522
"utg7.equina_smart_1359323.path9",164.004713246158
"utg7.equina_smart_1411062.path3",119.483177684763
"utg7.equina_smart_1391965.path7",159.231573060525
"evm.TU.utg7.84",0.00519412408173909
"utg7.equina_smart_1634317.path1",418.379927795602
"evm.TU.utg7.85",0.588005915860106
"evm.TU.utg7.86",6.38874735617329
"utg7.equina_smart_1666003.path1",46.9447045812788
"evm.TU.utg7.87",0.00671531766998717
"evm.TU.utg8.1",1.16360262666524
"evm.TU.utg8.2",2.41193771415844
"evm.TU.utg8.3",0.0366566547782165
"evm.TU.utg8.4",14.5704121047099
"evm.TU.utg8.5",0.180509456205996
"evm.TU.utg8.6",0.156268865919653
"evm.TU.utg8.7",0.0215443508285218
"evm.TU.utg8.8",1.69836973703097
"evm.TU.utg8.9",722.056195755141
"evm.TU.utg8.10",0.00197559921103636
"tRNAscan-SE.tRNA.utg8.Ala(GGC).1",0.0127110862100387
"evm.TU.utg8.11",0.54370416373819
"evm.TU.utg8.12",2.15430474959724
"evm.TU.utg8.13",1.39158274591637
"evm.TU.utg8.14",9.22029781060953
"evm.TU.utg8.15",0
"evm.TU.utg8.16",0.0011236974676999
"evm.TU.utg8.17",0
"evm.TU.utg8.18",0
"evm.TU.utg8.19",0
"evm.TU.utg8.20",0
"evm.TU.utg8.21",0
"evm.TU.utg8.22",0
"evm.TU.utg8.23",0
"evm.TU.utg8.24",0
"evm.TU.utg8.25",0.453038272642324
"evm.TU.utg8.26",0.0251111868608586
"evm.TU.utg8.27",3.74369178568749
"evm.TU.utg8.28",0.0647250064975576
"evm.TU.utg8.29",0.725955050617197
"evm.TU.utg8.30",73.5375498111951
"evm.TU.utg8.31",0.000524379906130201
"evm.TU.utg8.32",0.0697994311242387
"evm.TU.utg8.33",0.196646160678848
"evm.TU.utg8.34",2361.78552354097
"evm.TU.utg8.35",0.0743986491753822
"evm.TU.utg8.36",0.968637244435319
"evm.TU.utg8.37",0.0331699468901211
"evm.TU.utg8.38",0.313936269054897
"evm.TU.utg8.39",0.00145403425347625
"evm.TU.utg8.40",0.00162133256041015
