"region","context","group","bin_mid","mean_count","min_count","max_count"
"dispersed_repeat","CpG","Control",2.5,3980.5,0,12772
"dispersed_repeat","CpG","Control",7.5,171.5,0,496
"dispersed_repeat","CpG","Control",12.5,49.125,0,141
"dispersed_repeat","CpG","Control",17.5,64.5,0,202
"dispersed_repeat","CpG","Control",22.5,30.375,0,92
"dispersed_repeat","CpG","Control",27.5,44.125,0,121
"dispersed_repeat","CpG","Control",32.5,20.625,0,57
"dispersed_repeat","CpG","Control",37.5,36.5,0,115
"dispersed_repeat","CpG","Control",42.5,16.375,0,46
"dispersed_repeat","CpG","Control",47.5,28.375,0,96
"dispersed_repeat","CpG","Control",52.5,12.875,0,32
"dispersed_repeat","CpG","Control",57.5,22,0,70
"dispersed_repeat","CpG","Control",62.5,13.25,0,38
"dispersed_repeat","CpG","Control",67.5,22,0,71
"dispersed_repeat","CpG","Control",72.5,14,0,47
"dispersed_repeat","CpG","Control",77.5,20.625,0,79
"dispersed_repeat","CpG","Control",82.5,16.25,0,57
"dispersed_repeat","CpG","Control",87.5,26,0,105
"dispersed_repeat","CpG","Control",92.5,20.375,0,82
"dispersed_repeat","CpG","Control",97.5,76.5,0,318
"dispersed_repeat","CpG","Treatment",2.5,2811,0,9362
"dispersed_repeat","CpG","Treatment",7.5,136.5,0,467
"dispersed_repeat","CpG","Treatment",12.5,37,0,122
"dispersed_repeat","CpG","Treatment",17.5,43.75,0,122
"dispersed_repeat","CpG","Treatment",22.5,26.5,0,80
"dispersed_repeat","CpG","Treatment",27.5,34,0,111
"dispersed_repeat","CpG","Treatment",32.5,18.375,0,62
"dispersed_repeat","CpG","Treatment",37.5,30,0,80
"dispersed_repeat","CpG","Treatment",42.5,12.875,0,37
"dispersed_repeat","CpG","Treatment",47.5,26.875,0,73
"dispersed_repeat","CpG","Treatment",52.5,10.75,0,31
"dispersed_repeat","CpG","Treatment",57.5,21.375,0,61
"dispersed_repeat","CpG","Treatment",62.5,13.375,0,39
"dispersed_repeat","CpG","Treatment",67.5,13.625,0,59
"dispersed_repeat","CpG","Treatment",72.5,12.25,0,29
"dispersed_repeat","CpG","Treatment",77.5,17,0,66
"dispersed_repeat","CpG","Treatment",82.5,11.125,0,36
"dispersed_repeat","CpG","Treatment",87.5,19,0,72
"dispersed_repeat","CpG","Treatment",92.5,12.25,0,41
"dispersed_repeat","CpG","Treatment",97.5,50.375,0,220
"dispersed_repeat","CHG","Control",2.5,4812.625,0,15520
"dispersed_repeat","CHG","Control",7.5,90.875,0,250
"dispersed_repeat","CHG","Control",12.5,7,0,22
"dispersed_repeat","CHG","Control",17.5,6.625,0,28
"dispersed_repeat","CHG","Control",22.5,2,0,6
"dispersed_repeat","CHG","Control",27.5,0.75,0,4
"dispersed_repeat","CHG","Control",32.5,0.375,0,2
"dispersed_repeat","CHG","Control",37.5,0.75,0,2
"dispersed_repeat","CHG","Control",42.5,0.25,0,2
"dispersed_repeat","CHG","Control",47.5,0.625,0,3
"dispersed_repeat","CHG","Control",52.5,0,0,0
"dispersed_repeat","CHG","Control",57.5,0.125,0,1
"dispersed_repeat","CHG","Control",62.5,0,0,0
"dispersed_repeat","CHG","Control",67.5,0,0,0
"dispersed_repeat","CHG","Control",72.5,0,0,0
"dispersed_repeat","CHG","Control",77.5,0,0,0
"dispersed_repeat","CHG","Control",82.5,0,0,0
"dispersed_repeat","CHG","Control",87.5,0,0,0
"dispersed_repeat","CHG","Control",92.5,0,0,0
"dispersed_repeat","CHG","Control",97.5,0,0,0
"dispersed_repeat","CHG","Treatment",2.5,3417.375,0,11324
"dispersed_repeat","CHG","Treatment",7.5,77.375,0,311
"dispersed_repeat","CHG","Treatment",12.5,6.375,0,20
"dispersed_repeat","CHG","Treatment",17.5,5.25,0,21
"dispersed_repeat","CHG","Treatment",22.5,1,0,4
"dispersed_repeat","CHG","Treatment",27.5,1.625,0,8
"dispersed_repeat","CHG","Treatment",32.5,0.125,0,1
"dispersed_repeat","CHG","Treatment",37.5,0.625,0,3
"dispersed_repeat","CHG","Treatment",42.5,0.125,0,1
"dispersed_repeat","CHG","Treatment",47.5,0.625,0,3
"dispersed_repeat","CHG","Treatment",52.5,0.25,0,2
"dispersed_repeat","CHG","Treatment",57.5,0.375,0,2
"dispersed_repeat","CHG","Treatment",62.5,0,0,0
"dispersed_repeat","CHG","Treatment",67.5,0.375,0,2
"dispersed_repeat","CHG","Treatment",72.5,0,0,0
"dispersed_repeat","CHG","Treatment",77.5,0,0,0
"dispersed_repeat","CHG","Treatment",82.5,0,0,0
"dispersed_repeat","CHG","Treatment",87.5,0.25,0,2
"dispersed_repeat","CHG","Treatment",92.5,0,0,0
"dispersed_repeat","CHG","Treatment",97.5,0,0,0
"dispersed_repeat","CHH","Control",2.5,6455.875,0,21121
"dispersed_repeat","CHH","Control",7.5,129.375,0,379
"dispersed_repeat","CHH","Control",12.5,8.75,0,26
"dispersed_repeat","CHH","Control",17.5,7.5,0,29
"dispersed_repeat","CHH","Control",22.5,1.75,0,6
"dispersed_repeat","CHH","Control",27.5,0.875,0,5
"dispersed_repeat","CHH","Control",32.5,0.125,0,1
"dispersed_repeat","CHH","Control",37.5,0.625,0,4
"dispersed_repeat","CHH","Control",42.5,0,0,0
"dispersed_repeat","CHH","Control",47.5,0.375,0,1
"dispersed_repeat","CHH","Control",52.5,0.25,0,2
"dispersed_repeat","CHH","Control",57.5,0,0,0
"dispersed_repeat","CHH","Control",62.5,0.125,0,1
"dispersed_repeat","CHH","Control",67.5,0,0,0
"dispersed_repeat","CHH","Control",72.5,0,0,0
"dispersed_repeat","CHH","Control",77.5,0,0,0
"dispersed_repeat","CHH","Control",82.5,0,0,0
"dispersed_repeat","CHH","Control",87.5,0,0,0
"dispersed_repeat","CHH","Control",92.5,0,0,0
"dispersed_repeat","CHH","Control",97.5,0,0,0
"dispersed_repeat","CHH","Treatment",2.5,4653.5,0,15485
"dispersed_repeat","CHH","Treatment",7.5,113.375,0,407
