"region","context","group","sample_id","bin_mid","count"
"dispersed_repeat","CpG","Control","6",2.5,8324
"dispersed_repeat","CpG","Control","6",7.5,361
"dispersed_repeat","CpG","Control","6",12.5,98
"dispersed_repeat","CpG","Control","6",17.5,149
"dispersed_repeat","CpG","Control","6",22.5,73
"dispersed_repeat","CpG","Control","6",27.5,94
"dispersed_repeat","CpG","Control","6",32.5,45
"dispersed_repeat","CpG","Control","6",37.5,75
"dispersed_repeat","CpG","Control","6",42.5,36
"dispersed_repeat","CpG","Control","6",47.5,49
"dispersed_repeat","CpG","Control","6",52.5,29
"dispersed_repeat","CpG","Control","6",57.5,53
"dispersed_repeat","CpG","Control","6",62.5,31
"dispersed_repeat","CpG","Control","6",67.5,50
"dispersed_repeat","CpG","Control","6",72.5,26
"dispersed_repeat","CpG","Control","6",77.5,39
"dispersed_repeat","CpG","Control","6",82.5,35
"dispersed_repeat","CpG","Control","6",87.5,46
"dispersed_repeat","CpG","Control","6",92.5,38
"dispersed_repeat","CpG","Control","6",97.5,157
"dispersed_repeat","CpG","Control","7",2.5,12772
"dispersed_repeat","CpG","Control","7",7.5,496
"dispersed_repeat","CpG","Control","7",12.5,141
"dispersed_repeat","CpG","Control","7",17.5,202
"dispersed_repeat","CpG","Control","7",22.5,92
"dispersed_repeat","CpG","Control","7",27.5,121
"dispersed_repeat","CpG","Control","7",32.5,57
"dispersed_repeat","CpG","Control","7",37.5,115
"dispersed_repeat","CpG","Control","7",42.5,46
"dispersed_repeat","CpG","Control","7",47.5,96
"dispersed_repeat","CpG","Control","7",52.5,32
"dispersed_repeat","CpG","Control","7",57.5,70
"dispersed_repeat","CpG","Control","7",62.5,38
"dispersed_repeat","CpG","Control","7",67.5,71
"dispersed_repeat","CpG","Control","7",72.5,47
"dispersed_repeat","CpG","Control","7",77.5,79
"dispersed_repeat","CpG","Control","7",82.5,57
"dispersed_repeat","CpG","Control","7",87.5,105
"dispersed_repeat","CpG","Control","7",92.5,82
"dispersed_repeat","CpG","Control","7",97.5,318
"dispersed_repeat","CpG","Control","10",2.5,4877
"dispersed_repeat","CpG","Control","10",7.5,236
"dispersed_repeat","CpG","Control","10",12.5,76
"dispersed_repeat","CpG","Control","10",17.5,70
"dispersed_repeat","CpG","Control","10",22.5,31
"dispersed_repeat","CpG","Control","10",27.5,60
"dispersed_repeat","CpG","Control","10",32.5,28
"dispersed_repeat","CpG","Control","10",37.5,36
"dispersed_repeat","CpG","Control","10",42.5,27
"dispersed_repeat","CpG","Control","10",47.5,40
"dispersed_repeat","CpG","Control","10",52.5,17
"dispersed_repeat","CpG","Control","10",57.5,22
"dispersed_repeat","CpG","Control","10",62.5,19
"dispersed_repeat","CpG","Control","10",67.5,24
"dispersed_repeat","CpG","Control","10",72.5,20
"dispersed_repeat","CpG","Control","10",77.5,20
"dispersed_repeat","CpG","Control","10",82.5,20
"dispersed_repeat","CpG","Control","10",87.5,27
"dispersed_repeat","CpG","Control","10",92.5,23
"dispersed_repeat","CpG","Control","10",97.5,54
"dispersed_repeat","CpG","Control","14",2.5,0
"dispersed_repeat","CpG","Control","14",7.5,0
"dispersed_repeat","CpG","Control","14",12.5,0
"dispersed_repeat","CpG","Control","14",17.5,0
"dispersed_repeat","CpG","Control","14",22.5,0
"dispersed_repeat","CpG","Control","14",27.5,0
"dispersed_repeat","CpG","Control","14",32.5,0
"dispersed_repeat","CpG","Control","14",37.5,0
"dispersed_repeat","CpG","Control","14",42.5,0
"dispersed_repeat","CpG","Control","14",47.5,0
"dispersed_repeat","CpG","Control","14",52.5,0
"dispersed_repeat","CpG","Control","14",57.5,0
"dispersed_repeat","CpG","Control","14",62.5,0
"dispersed_repeat","CpG","Control","14",67.5,0
"dispersed_repeat","CpG","Control","14",72.5,0
"dispersed_repeat","CpG","Control","14",77.5,0
"dispersed_repeat","CpG","Control","14",82.5,0
"dispersed_repeat","CpG","Control","14",87.5,0
"dispersed_repeat","CpG","Control","14",92.5,0
"dispersed_repeat","CpG","Control","14",97.5,0
"dispersed_repeat","CpG","Control","20",2.5,0
"dispersed_repeat","CpG","Control","20",7.5,0
"dispersed_repeat","CpG","Control","20",12.5,0
"dispersed_repeat","CpG","Control","20",17.5,0
"dispersed_repeat","CpG","Control","20",22.5,0
"dispersed_repeat","CpG","Control","20",27.5,0
"dispersed_repeat","CpG","Control","20",32.5,0
"dispersed_repeat","CpG","Control","20",37.5,0
"dispersed_repeat","CpG","Control","20",42.5,0
