"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GO"
"GO:0034755","iron ion transmembrane transport ",0.0384615384615385,0.000381123969232901,0.000173293970741451,0.0112641080981943,0.00492519706317807,"evm.utg203.11/evm.utg4898.16",2,"biological_processes"
"GO:0016071","intracellular mRNA localization ",0.0192307692307692,3.46476335666274e-05,0.00180167694546518,0.0311463857382076,0.0136186625899855,"evm.utg12655.32",1,"biological_processes"
"GO:0030717","chromosome condensation ",0.0192307692307692,3.46476335666274e-05,0.00180167694546518,0.0311463857382076,0.0136186625899855,"evm.utg729.38",1,"biological_processes"
"GO:0031106","actomyosin contractile ring assembly ",0.0192307692307692,6.92952671332548e-05,0.00360017016464775,0.0311463857382076,0.0136186625899855,"evm.utg4172.37",1,"biological_processes"
"GO:0110102","chloroplast rRNA processing ",0.0192307692307692,6.92952671332548e-05,0.00360017016464775,0.0311463857382076,0.0136186625899855,"evm.utg1290.22",1,"biological_processes"
"GO:0006425","glutaminyl-tRNA aminoacylation ",0.0192307692307692,0.000103942900699882,0.0053954851733603,0.0311463857382076,0.0136186625899855,"evm.utg6851.26",1,"biological_processes"
"GO:0032873","brain development ",0.0192307692307692,0.000103942900699882,0.0053954851733603,0.0311463857382076,0.0136186625899855,"evm.utg6851.26",1,"biological_processes"
"GO:0060712","apoptotic process ",0.0192307692307692,0.000103942900699882,0.0053954851733603,0.0311463857382076,0.0136186625899855,"evm.utg194.33",1,"biological_processes"
"GO:0070207","cell surface receptor signaling pathway ",0.0192307692307692,0.000103942900699882,0.0053954851733603,0.0311463857382076,0.0136186625899855,"evm.utg203.11",1,"biological_processes"
"GO:2001237","apoptotic process ",0.0192307692307692,0.000103942900699882,0.0053954851733603,0.0311463857382076,0.0136186625899855,"evm.utg1663.42",1,"biological_processes"
"GO:0006679","glucosylceramide biosynthetic process ",0.0192307692307692,0.00013859053426651,0.00718762747804791,0.0311463857382076,0.0136186625899855,"evm.utg24533.25",1,"biological_processes"
"GO:0006970","box H/ACA RNA metabolic process ",0.0192307692307692,0.00013859053426651,0.00718762747804791,0.0311463857382076,0.0136186625899855,"evm.utg280.47",1,"biological_processes"
"GO:0007023","post-chaperonin tubulin folding pathway ",0.0192307692307692,0.00013859053426651,0.00718762747804791,0.0311463857382076,0.0136186625899855,"evm.utg10321.15",1,"biological_processes"
"GO:0046479","glycosphingolipid catabolic process ",0.0192307692307692,0.00013859053426651,0.00718762747804791,0.0311463857382076,0.0136186625899855,"evm.utg24533.25",1,"biological_processes"
"GO:2000779","DNA damage checkpoint signaling ",0.0192307692307692,0.00013859053426651,0.00718762747804791,0.0311463857382076,0.0136186625899855,"evm.utg1230.6",1,"biological_processes"
"GO:0008298","intracellular mRNA localization ",0.0192307692307692,0.000173238167833137,0.00897660257580701,0.0343223039663209,0.0150073231917517,"evm.utg12655.32",1,"biological_processes"
"GO:0045444","fat cell differentiation ",0.0192307692307692,0.000173238167833137,0.00897660257580701,0.0343223039663209,0.0150073231917517,"evm.utg217.27",1,"biological_processes"
"GO:0010756","positive regulation of plasminogen activation ",0.0192307692307692,0.000207885801399764,0.0107624159544001,0.0388642798353336,0.0169932883490528,"evm.utg4898.16",1,"biological_processes"
"GO:0002244","cytosolic ribosome assembly ",0.0192307692307692,0.000242533434966392,0.0125450730922698,0.0407714875498769,0.0178272091311203,"evm.utg2129.169",1,"biological_processes"
"GO:0006597","spermine biosynthetic process ",0.0192307692307692,0.000242533434966392,0.0125450730922698,0.0407714875498769,0.0178272091311203,"evm.utg126.133",1,"biological_processes"
"GO:0033572","amyloid-beta clearance by transcytosis ",0.0192307692307692,0.000277181068533019,0.0143245794585569,0.0443379840383905,0.01938664889128,"evm.utg203.11",1,"biological_processes"
"GO:0061136","positive regulation of endopeptidase activity ",0.0192307692307692,0.000311828702099647,0.0161009405131128,0.0464728204369465,0.0203200996242519,"evm.utg1663.42",1,"biological_processes"
"GO:0000077","DNA damage checkpoint signaling ",0.0192307692307692,0.000346476335666274,0.0178741617065179,0.0464728204369465,0.0203200996242519,"evm.utg1230.6",1,"biological_processes"
"GO:0034244","negative regulation of transcription elongation by RNA polymerase II ",0.0192307692307692,0.000346476335666274,0.0178741617065179,0.0464728204369465,0.0203200996242519,"evm.utg7066.9",1,"biological_processes"
"GO:0043149","cell migration ",0.0192307692307692,0.000346476335666274,0.0178741617065179,0.0464728204369465,0.0203200996242519,"evm.utg194.6",1,"biological_processes"
