"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GO","contrast"
"GO:0030717","chromosome condensation ",0.333333333333333,3.46476335666274e-05,0.000103942900699927,0.000311828702099781,NA,"evm.utg729.38",1,"biological_processes","diesel_only"
"GO:0006979","response to oxidative stress ",0.333333333333333,0.00339546808952948,0.0101522063673202,0.0152283095509803,NA,"evm.utg729.38",1,"biological_processes","diesel_only"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules ",0.333333333333333,0.00717206014829187,0.021362968896271,0.021362968896271,NA,"evm.utg376.57",1,"biological_processes","diesel_only"
"GO:0042803","protein homodimerization activity ",0.333333333333333,0.00805306914631673,0.0239658625756256,0.0239658625756256,NA,"evm.utg729.38",1,"molecular_functions","diesel_only"
"GO:0071539","cilium assembly ",0.0066079295154185,0.000519714503499411,3.74180134383737e-06,0.00254068311246558,0.00227265197409912,"evm.utg338.46/evm.utg338.47/evm.utg762.24/evm.utg1846.92/evm.utg4172.3/evm.utg9769.13",6,"biological_processes","diesel_added"
"GO:0032392","DNA geometric change ",0.0066079295154185,0.000692952671332548,2.5319417520897e-05,0.00859594224834453,0.00768910732081977,"evm.utg594.45/evm.utg594.46/evm.utg2969.2/evm.utg2969.3/evm.utg2969.4/evm.utg11411.7",6,"biological_processes","diesel_added"
"GO:0030414","peptidase inhibitor activity ",0.00786838340486409,0.00307059471046609,1.90690812106026e-07,0.000211476110625583,0.000196511900054526,"evm.utg8.10/evm.utg52.99/evm.utg55.212/evm.utg104.63/evm.utg334.78/utg334.equina_smart_1340223.mrna2/evm.utg379.46/evm.utg413.23/evm.utg413.26/evm.utg544.11/evm.utg544.14/evm.utg544.16/evm.utg580.6/evm.utg580.26/evm.utg738.8/evm.utg912.49/evm.utg1609.5/evm.utg1800.5/evm.utg1819.3/evm.utg2108.7/evm.utg2858.29/evm.utg5073.2/evm.utg8615.4/evm.utg9740.7/evm.utg10358.5/evm.utg14703.2/evm.utg15552.12/evm.utg19074.8/utg19074.equina_smart_1694011.mrna2/evm.utg20736.15/evm.utg21078.2/evm.utg32458.10/evm.utg37512.1",33,"molecular_functions","salinity_only"
"GO:0015252","potassium channel activity ",0.00214592274678112,0.000434518119405579,1.43513036299152e-05,0.00795779786278797,0.0073946980282563,"evm.utg432.26/evm.utg432.27/evm.utg432.28/evm.utg432.29/evm.utg4082.49/evm.utg4290.26/evm.utg4290.29/evm.utg9401.4/evm.utg20090.4",9,"molecular_functions","salinity_only"
"GO:0030414","peptidase inhibitor activity ",0.00680544435548439,0.00307059471046609,3.43452597380851e-06,0.00400791474673203,0.00381997074847678,"evm.utg8.10/evm.utg52.99/evm.utg55.212/evm.utg104.63/evm.utg104.64/evm.utg334.78/utg334.equina_smart_1340223.mrna2/evm.utg413.23/evm.utg413.26/evm.utg470.31/evm.utg532.10/evm.utg544.11/utg544.equina_smart_1559235utrorf.mrna1/evm.utg544.14/evm.utg544.16/utg544.equina_smart_1005728.mrna1/evm.utg580.6/evm.utg580.26/evm.utg912.49/evm.utg1290.2/evm.utg1290.3/evm.utg1609.5/evm.utg2108.7/evm.utg2417.38/evm.utg5073.2/evm.utg6958.30.31/evm.utg14703.2/evm.utg15552.12/evm.utg19074.8/utg19074.equina_smart_1694011.mrna2/evm.utg20618.10/evm.utg20736.15/evm.utg37512.1/evm.utg54553.6",34,"molecular_functions","salinity_added"
"GO:0008080","N-acetyltransferase activity ",0.0022017614091273,0.000521421743286695,6.82779343565934e-06,0.00400791474673203,0.00381997074847678,"evm.utg245.25/evm.utg300.18/evm.utg300.19/evm.utg300.20/evm.utg415.137/evm.utg1919.66/evm.utg2246.60/evm.utg8778.4/evm.utg25321.17/evm.utg25321.19/evm.utg25321.20",11,"molecular_functions","salinity_added"
