"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GO"
"GO:0034755","iron ion transmembrane transport",0.00392772977219167,0.000795880149812734,0.588235294117647,4.93507693729495,5.97075215613662,4.99325130137039e-06,0.00653616595349384,0.00613381501968341,"evm.utg126.34/evm.utg203.11/evm.utg221.1/evm.utg1109.13/evm.utg1109.14/evm.utg2969.37/utg3013.equina_smart_858792.mrna1/evm.utg4898.16/evm.utg7938.1/evm.utg36717.8",10,"biological_processes"
"GO:0030178","negative regulation of Wnt signaling pathway",0.00392772977219167,0.000936329588014981,0.5,4.19481539670071,5.25826714701306,3.37693447279614e-05,0.0221020361244507,0.0207414869987005,"evm.utg145.77/evm.utg207.14/evm.utg324.18/evm.utg324.199/evm.utg2200.45/evm.utg2814.19/evm.utg3470.1/evm.utg3872.40/utg3872.equina_smart_1074056.mrna2/evm.utg4177.54",10,"biological_processes"
"GO:0030414","peptidase inhibitor activity",0.00823257010547981,0.00319378776967154,0.313725490196078,2.57768226920303,5.94084608484892,2.47488106835369e-07,0.000111603208016661,0.000103726905058547,"evm.utg8.10/evm.utg52.99/evm.utg104.63/evm.utg334.78/utg334.equina_smart_1340223.mrna2/evm.utg379.46/evm.utg413.23/evm.utg413.26/evm.utg544.11/evm.utg544.14/evm.utg580.6/evm.utg580.26/evm.utg616.126/evm.utg616.127/evm.utg738.8/evm.utg912.49/evm.utg1609.5/evm.utg1800.5/evm.utg1819.3/evm.utg2858.29/evm.utg5073.2/evm.utg5689.7/evm.utg5689.8/evm.utg8615.4/evm.utg9740.7/evm.utg14703.2/evm.utg15552.12/evm.utg19074.8/utg19074.equina_smart_1694011.mrna2/evm.utg20736.15/evm.utg32458.10/evm.utg37512.1",32,"molecular_functions"
"GO:0015252","proton channel activity",0.0023154103421662,0.000344428092807715,0.818181818181818,6.72247819070562,7.06625541752089,2.5364365458332e-07,0.000111603208016661,0.000103726905058547,"evm.utg432.26/evm.utg432.27/evm.utg432.28/evm.utg432.29/evm.utg4082.49/evm.utg4290.26/evm.utg4290.29/evm.utg9401.4/evm.utg20090.4",9,"molecular_functions"
"GO:0016491","oxidoreductase activity",0.0228968356058657,0.0139336819363121,0.2,1.64327244661693,5.08693198625762,1.47728977391594e-06,0.00043333833368201,0.000402755843625505,"evm.utg4.53/evm.utg78.33/evm.utg101.99/evm.utg116.1/evm.utg116.119/evm.utg116.121/evm.utg160.25/evm.utg172.138/evm.utg194.22/evm.utg239.19/evm.utg243.6/evm.utg301.18/evm.utg307.15/evm.utg324.97/evm.utg348.6/evm.utg356.157/evm.utg411.144/evm.utg413.52/evm.utg415.26/evm.utg438.23/evm.utg467.6/evm.utg470.94/evm.utg479.117/evm.utg498.7/evm.utg526.25/evm.utg532.16/evm.utg597.25/utg700.equina_smart_1421472.mrna1/utg700.equina_smart_1421475.mrna1/evm.utg729.130/evm.utg788.37/evm.utg790.58/evm.utg801.94/evm.utg844.8/evm.utg868.107/evm.utg868.108/evm.utg989.21/evm.utg992.14/evm.utg1005.73/evm.utg1221.19/evm.utg1243.2/evm.utg1355.25/evm.utg1396.13/evm.utg1455.33/evm.utg1455.34/evm.utg1708.37/evm.utg1910.39/evm.utg1910.64/evm.utg1972.1/evm.utg2007.16/evm.utg2417.41/evm.utg2674.7/evm.utg3019.11/evm.utg3019.12/evm.utg3158.43/evm.utg3201.13/evm.utg3380.9/evm.utg3499.4/evm.utg3499.7/evm.utg3499.9/evm.utg3499.10/evm.utg3550.12/evm.utg3753.16/evm.utg3839.96/evm.utg4155.26/evm.utg4155.27/evm.utg4326.30/evm.utg4709.19/evm.utg4709.26/evm.utg4907.69/evm.utg5578.4/evm.utg6806.23/evm.utg6958.34/evm.utg7680.15/evm.utg7931.6/evm.utg7931.7/evm.utg7931.8/utg7950.equina_smart_1791395.mrna2/evm.utg9668.1/evm.utg9668.2/evm.utg14876.8/evm.utg20618.1/evm.utg21766.5/evm.utg27651.3/evm.utg32107.9/evm.utg53426.4/evm.utg97204.6/evm.utg139908.2/evm.utg139908.3",89,"molecular_functions"
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",0.0141497298687934,0.00845414409618937,0.203703703703704,1.67370341785057,4.13836001263617,8.23623977166367e-05,0.0181197274976601,0.0168409429015333,"evm.utg86.58/evm.utg92.89/evm.utg109.23/evm.utg109.26/evm.utg109.42/evm.utg116.210/evm.utg194.35/evm.utg207.64/evm.utg207.76/evm.utg207.80/evm.utg209.38/evm.utg219.26/evm.utg256.12/evm.utg356.130/evm.utg356.131/evm.utg377.30/evm.utg431.3/evm.utg470.38/evm.utg470.49/evm.utg505.42/evm.utg526.19/evm.utg564.44/evm.utg564.47/evm.utg736.39/evm.utg857.16/evm.utg857.24/evm.utg1056.142/evm.utg1204.32/evm.utg1683.61/evm.utg2129.25/evm.utg2129.44/evm.utg2216.22/evm.utg2216.24/evm.utg2298.24/evm.utg2585.8/evm.utg2757.11/evm.utg2757.33/evm.utg2801.42/evm.utg3260.1/evm.utg3283.23/evm.utg3283.25/evm.utg3839.101/evm.utg3839.103/evm.utg4082.36/evm.utg4082.39/evm.utg5513.3/evm.utg5885.86/evm.utg7066.7/evm.utg7289.31/evm.utg7595.8/evm.utg8494.50/evm.utg10541.30/evm.utg15506.3/evm.utg25862.7/evm.utg44416.1",55,"molecular_functions"
"GO:0016836","hydro-lyase activity",0.00102907126318498,0.000125246579202806,1,8.21636223308464,5.37290989558134,0.000219125389927305,0.0385660686272056,0.0358443006260033,"evm.utg48.6/evm.utg48.7/evm.utg4468.34/evm.utg4468.36",4,"molecular_functions"
