"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","context","GO","region","experiment"
"GO:0003857","3-hydroxyacyl-CoA dehydrogenase activity",0.0416666666666667,6.26232896014028e-05,0.5,665.354166666667,25.7657782798892,0.00150241774214477,0.0080128946247721,0.00474447708045716,"evm.utg11814.7",1,"CHG","Molecular Functions","gene","Acute Experiment"
"GO:0004300","enoyl-CoA hydratase activity",0.0416666666666667,6.26232896014028e-05,0.5,665.354166666667,25.7657782798892,0.00150241774214477,0.0080128946247721,0.00474447708045716,"evm.utg11814.7",1,"CHG","Molecular Functions","gene","Acute Experiment"
"GO:0004721","phosphoprotein phosphatase activity",0.0416666666666667,0.000125246579202806,0.25,332.677083333333,18.1923023584267,0.00300267214223848,0.0120106885689539,0.00711159191582799,"evm.utg6459.27",1,"CHH","Molecular Functions","gene","Acute Experiment"
"GO:0003884","D-amino-acid oxidase activity",0.0416666666666667,0.000438363027209819,0.0714285714285714,95.0505952380952,9.65241046741938,0.0104715981666242,0.0299080921732197,0.0177087387867748,"evm.utg35662.1",1,"CpG","Molecular Functions","gene","Acute Experiment"
"GO:0043539","protein serine/threonine kinase activator activity",0.0416666666666667,0.000469674672010521,0.0666666666666667,88.7138888888889,9.31817824706857,0.0112155345649574,0.0299080921732197,0.0177087387867748,"evm.utg40512.5",1,"CHG","Molecular Functions","gene","Acute Experiment"
"GO:0070403","NAD+ binding",0.0416666666666667,0.000845414409618937,0.037037037037037,49.2854938271605,6.88330830165443,0.0201010679819548,0.045945298244468,0.0272044529079087,"evm.utg11814.7",1,"CHG","Molecular Functions","gene","Acute Experiment"
"GO:0071949","FAD binding",0.0416666666666667,0.0022544384256505,0.0138888888888889,18.4820601851852,4.07252690742962,0.0527451797827546,0.0993784532573009,0.0588425052181387,"evm.utg35662.1",1,"CpG","Molecular Functions","gene","Acute Experiment"
"GO:0004540","RNA nuclease activity",0.0416666666666667,0.00272411309766102,0.0114942528735632,15.2954980842912,3.66156091989523,0.0633930329816381,0.0993784532573009,0.0588425052181387,"evm.utg2661.21",1,"CHG","Molecular Functions","gene","Acute Experiment"
"GO:0004197","cysteine-type endopeptidase activity",0.0416666666666667,0.00278673638726242,0.0112359550561798,14.9517790262172,3.61447790846159,0.0648040502923726,0.0993784532573009,0.0588425052181387,"evm.utg4856.49",1,"CpG","Molecular Functions","gene","Acute Experiment"
"GO:0016779","nucleotidyltransferase activity",0.0416666666666667,0.00294329461126593,0.0106382978723404,14.1564716312057,3.5031476038374,0.0683226866143943,0.0993784532573009,0.0588425052181387,"evm.utg6459.27",1,"CHH","Molecular Functions","gene","Acute Experiment"
"GO:0004035","alkaline phosphatase activity",0.0555555555555556,6.26232896014028e-05,0.5,887.138888888889,29.7601563068552,0.00112691919518659,0.00901535356149274,0.00593115365887681,"evm.utg479.60",1,"CHH","Molecular Functions","dispersed_repeat","Acute Experiment"
"GO:0005245","voltage-gated calcium channel activity",0.0555555555555556,0.00090803769922034,0.0344827586206897,61.1819923371648,7.69959075356646,0.0162234189992677,0.0432624506647139,0.0284621385952065,"evm.utg816.25",1,"CpG","Molecular Functions","dispersed_repeat","Acute Experiment"
"GO:0008483","transaminase activity",0.0555555555555556,0.00090803769922034,0.0344827586206897,61.1819923371648,7.69959075356646,0.0162234189992677,0.0432624506647139,0.0284621385952065,"evm.utg30804.6",1,"CpG","Molecular Functions","dispersed_repeat","Acute Experiment"
"GO:0008483","transaminase activity",0.0555555555555556,0.00090803769922034,0.0344827586206897,61.1819923371648,7.69959075356646,0.0162234189992677,0.0432624506647139,0.0284621385952065,"evm.utg30804.6",1,"CHH","Molecular Functions","dispersed_repeat","Acute Experiment"
"GO:0010571","positive regulation of nuclear cell cycle DNA replication",0.0555555555555556,0.000280898876404494,0.166666666666667,197.777777777778,13.9997799803257,0.00504612906532154,0.0252306453266077,0.00531171480560162,"evm.utg40512.5",1,"CHG","Biological Processes","gene","Acute Experiment"
"GO:0043631","RNA polyadenylation",0.0555555555555556,0.000280898876404494,0.166666666666667,197.777777777778,13.9997799803257,0.00504612906532154,0.0252306453266077,0.00531171480560162,"evm.utg6459.27",1,"CHH","Biological Processes","gene","Acute Experiment"
"GO:1901987","regulation of cell cycle phase transition",0.0555555555555556,0.000280898876404494,0.166666666666667,197.777777777778,13.9997799803257,0.00504612906532154,0.0252306453266077,0.00531171480560162,"evm.utg40512.5",1,"CHG","Biological Processes","gene","Acute Experiment"
"GO:0046416","D-amino acid metabolic process",0.0555555555555556,0.000608614232209738,0.0769230769230769,91.2820512820513,9.45613844083545,0.0109028837106049,0.0408858139147683,0.00860753977153017,"evm.utg35662.1",1,"CpG","Biological Processes","gene","Acute Experiment"
"GO:0070507","regulation of microtubule cytoskeleton organization",0.0555555555555556,0.000936329588014981,0.05,59.3333333333333,7.57955549196481,0.0167270674639031,0.0435268750726157,0.00916355264686647,"evm.utg4428.8",1,"CHG","Biological Processes","gene","Acute Experiment"
"GO:0070507","regulation of microtubule cytoskeleton organization",0.0555555555555556,0.000936329588014981,0.05,59.3333333333333,7.57955549196481,0.0167270674639031,0.0435268750726157,0.00916355264686647,"evm.utg4428.8",1,"CHH","Biological Processes","gene","Acute Experiment"
