"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"evm.TU.utg4.1",44.9828328694955,8.52636952262887e-05,0.0113252984469838,0.72593000150928,0.99999995182314
"evm.TU.utg4.3",14.4971952464845,0.000108435063702922,0.0155457086730253,0.676109290306117,0.99999995182314
"evm.TU.utg4.4",131.15858941109,0.000229640125277286,0.0114385077725234,0.408217821497472,0.99999995182314
"evm.TU.utg4.5",1011.60868034036,-7.27892512614244e-05,0.00972163915467535,0.848014518657326,0.99999995182314
"evm.TU.utg4.6",16.9729605759323,-0.000219623201302889,0.0126673597488544,0.404711495097299,0.99999995182314
"evm.TU.utg4.7",425.749199950506,-0.000593237208035287,0.0101937611221666,0.200098769461614,0.99999995182314
"evm.TU.utg4.8",39.9533578808489,0.000431539914252438,0.0113365234139781,0.215136993567486,0.99999995182314
"evm.TU.utg4.9",681.440727832858,-5.4305483016415e-05,0.00972288087936885,0.885326976593718,0.99999995182314
"evm.TU.utg4.10",22.9085652161239,0.000434673357246254,0.0188870735931958,0.186210666657676,0.99999995182314
"evm.TU.utg4.11",225.286313943695,-0.00050532697387902,0.00996275040659358,0.272486414123976,0.99999995182314
"evm.TU.utg4.12",2.40675612238868,-0.000136237422413097,0.0219125720966611,0.673344646851755,NA
"evm.TU.utg4.13",302.035423044095,6.08198938647373e-05,0.00959318451900367,0.899680279700004,0.99999995182314
"evm.TU.utg4.14",661.086065918047,-0.000685709178805676,0.0110583932269125,0.123495558975854,0.99999995182314
"evm.TU.utg4.15",296.177531567931,-0.000284928253517094,0.00955242287667265,0.636973962440207,0.99999995182314
"evm.TU.utg4.16",757.033740650769,-0.000390482560061032,0.00979061495415025,0.391786669231181,0.99999995182314
"evm.TU.utg4.17",173.377218495371,-0.000536064492485084,0.00980379230487919,0.291076447362435,0.99999995182314
"evm.TU.utg4.18",963.699253773686,0.000177693130651731,0.00957409220817368,0.739057572457243,0.99999995182314
"evm.TU.utg4.19",1553.11575877399,-0.000171625025622318,0.00953183182964732,0.785221761359076,0.99999995182314
"tRNAscan-SE.tRNA.utg4.Ser(GGA).1",10.0676139780196,-0.000286397897054601,0.0132618023585544,0.305971211163568,NA
"evm.TU.utg4.20",187.249237591245,0.000233307054227964,0.00970391600418569,0.589256990488157,0.99999995182314
"utg4.equina_smart_817336.path2",63.6020748073786,-5.11278162851162e-05,0.00992311440772699,0.871183673272623,0.99999995182314
"evm.TU.utg4.21",1.43943025696972,-3.34404281445127e-05,0.0199037462294616,0.912192878869839,NA
"evm.TU.utg4.22",0.35886612890702,9.95157659187559e-05,0.0325299801095214,0.768932201005411,NA
"evm.TU.utg4.23",139.958061530832,-0.000369492131546262,0.00990937825141786,0.377298179825828,0.99999995182314
"evm.TU.utg4.24",98.2221826297647,-0.00023458832621496,0.0105485030872837,0.442734573975823,0.99999995182314
"evm.TU.utg4.25",7.83469903110946,1.39285147151083e-05,0.0205077608024009,0.964041637841745,NA
"evm.TU.utg4.26",94.603116804555,-9.18299762292873e-05,0.0101742538892037,0.750230422257847,0.99999995182314
"evm.TU.utg4.27",2120.62197370667,-0.000424163073547176,0.00966410043375185,0.418755735276578,0.99999995182314
"tRNAscan-SE.tRNA.utg4.Pseudo(GTT).1",1.6560693399861,-0.000193604228907174,0.024303292744643,0.575048645607779,NA
"evm.TU.utg4.31",1006.82330818538,-0.000321366461921336,0.00970455765425087,0.487985058676037,0.99999995182314
"evm.TU.utg4.28",0.497268367542034,0.000117539047585241,0.0326786380651422,0.729951578129679,NA
"evm.TU.utg4.29",0.76117699801165,8.66239494469972e-07,0.0319101128887567,0.997943356324937,NA
"evm.TU.utg4.30",1.33527175526594,0.000282479787750933,0.0275440464665517,0.451078238372107,NA
"evm.TU.utg4.32",64.9373380063613,0.00035505015667317,0.0122657824812216,0.247588170311313,0.99999995182314
"tRNAscan-SE.tRNA.utg4.Cys(ACA).1",0.67989168917791,-4.0502933948758e-05,0.0320264402005277,0.904172358833911,NA
"evm.TU.utg4.33",2.36040602543238,7.60918247707094e-05,0.0321673815905725,0.822129694404476,NA
"evm.TU.utg4.34",805.827126183192,-0.000197182621014453,0.00954889580573558,0.737532086535525,0.99999995182314
"tRNAscan-SE.tRNA.utg4.Pseudo(AGA).2",2.1148177389383,0.000231354403047435,0.022537867232096,0.486121539834808,NA
"evm.TU.utg4.35",208.614617109448,-0.00103626733363111,0.0105853250738657,0.0776090193903789,0.99999995182314
"evm.TU.utg4.36",40.5141827942794,-8.39773633749141e-05,0.00978860125938463,0.812962934929705,0.99999995182314
